headline,date,doc_type,type_of_material,snippet,source,news_desk,section_name,keywords
"Winning South Carolina, Biden Makes Case Against Sanders: ‘Win Big or Lose’",2020-03-01,article,News,Joseph R. Biden Jr. drew on his decades-long relationships and leveraged his close bond with black voters to wrap up a state long considered his stronghold.,The New York Times,Politics,U.S.,"['Presidential Elections (US)', 'Primaries and Caucuses', 'Presidential Election of 2020', 'Voting and Voters', 'Black People', 'Blacks', 'Polls and Public Opinion']"
"At CPAC, Trump Takes Aim at Rivals",2020-03-01,article,News,"President Trump appeared eager to bask in the warm reception of a conservative audience, who spent the conference listening to speakers road-testing messages for his re-election campaign.",The New York Times,Washington,U.S.,"['Presidential Election of 2020', 'Tax Cuts and Jobs Act (2017)', 'Appointments and Executive Changes', 'Coronavirus (2019-nCoV)']"
Trump Moves to Calm Fears as First U.S. Death From Coronavirus Is Reported,2020-03-01,article,News,"A person in the Seattle area has died, officials said. Mr. Trump called more cases “likely” but added that “there’s no reason to panic at all.”",The New York Times,Washington,U.S.,"['Coronavirus (2019-nCoV)', 'Presidential Election of 2020']"
"Mother and Daughter Attacked for Speaking Spanish, Prosecutor Says",2020-03-01,article,News,"Officials filed felony hate-crime charges against two women accused of assault in a Boston neighborhood, where more than half of the residents are Latino.",The New York Times,Express,U.S.,"['Assaults', 'Hate Crimes', 'Hispanic-Americans', 'Discrimination', 'Race and Ethnicity', 'Immigration and Emigration']"
"For Buttigieg, a Search for Black Support That Never Arrived",2020-03-01,article,News,"Facing better-known and better-financed opponents, Pete Buttigieg knew he would struggle to attract black voters in South Carolina. On Saturday his efforts came up empty.",The New York Times,Politics,U.S.,"['Primaries and Caucuses', 'Presidential Election of 2020', 'Black People', 'Blacks']"
Tom Steyer Drops Out of 2020 Presidential Race,2020-03-01,article,News,"Mr. Steyer, the former hedge-fund executive, exited the race after a disappointing finish in South Carolina — a state where he had spent considerable resources and pinned the hopes of his campaign.",The New York Times,Politics,U.S.,"['Presidential Election of 2020', 'Campaign Finance', 'Primaries and Caucuses', 'United States Politics and Government']"
In Trump’s Words: Praise for the Taliban and Optimism About the Coronavirus,2020-03-01,article,News,President Trump found himself veering off message in discussing the two big news stories of the day: the signing of an agreement with the Taliban and the spread of the coronavirus.,The New York Times,National,U.S.,"['Politics and Government', 'United States Politics and Government', 'Coronavirus (2019-nCoV)', 'Russian Interference in 2016 US Elections and Ties to Trump Associates']"
Second Death From Virus Is Reported in the U.S.,2020-03-01,article,News,The second death was a man in his 70s in the Seattle area who had underlying health conditions.,The New York Times,Foreign,World,['Coronavirus (2019-nCoV)']
"‘I Only Drink My Coffee Black, and I Cannot Drink It With Sugar’",2020-03-01,article,News,"A morning routine, a Katharine Gibbs student goes to a show and more reader tales of New York City in this week’s Metropolitan Diary.",The New York Times,Metropolitan,New York,[]
"Making a Plague Movie, With Coronavirus on the Doorstep",2020-03-01,article,News,"A British film crew shooting in Italy suddenly found concern about the coronavirus encroaching, including a text from the director’s mother.",The New York Times,Foreign,World,"['Coronavirus (2019-nCoV)', 'Epidemics', 'Movies']"
