headline,date,doc_type,type_of_material,snippet,source,news_desk,section_name,keywords
Two Arrested in Killings of Transgender Women in Puerto Rico,2020-05-01,article,News,The police said they had classified the deaths as a hate crime after the remains of two women were found in a badly burned car last week.,The New York Times,Express,U.S.,"['Murders, Attempted Murders and Homicides', 'Hate Crimes']"
No Graduation Ceremony? You Get Oprah!,2020-05-01,article,News,Oprah Winfrey will give a virtual commencement address on Facebook for college and high school seniors across the United States.,The New York Times,Express,U.S.,"['Commencement Speeches', 'Colleges and Universities', 'Computers and the Internet', 'Coronavirus (2019-nCoV)']"
Labs Across U.S. Join Federal Initiative to Study Coronavirus Genome,2020-05-01,article,News,"The project, announced by the C.D.C., will help trace patterns of transmission, investigate outbreaks and map how the virus is evolving, which can affect a cure.",The New York Times,Investigative,Science,"['Genetics and Heredity', 'Coronavirus (2019-nCoV)', 'Medicine and Health', 'Research', 'Epidemics', 'Vaccination and Immunization', 'Laboratories and Scientific Equipment']"
U.S. Stocks End the Week Lower After Tech Earnings,2020-05-01,article,News,The latest on stock market and business news during the coronavirus outbreak.,The New York Times,Business,Business Day,"['United States Economy', 'Coronavirus (2019-nCoV)', 'Stocks and Bonds', ""Standard & Poor's 500-Stock Index""]"
Companies Sell the Blood of Recovered Coronavirus Patients for Exorbitant Prices,2020-05-01,article,News,"The W.H.O. extends the global health emergency as deaths near 240,000, and our New Delhi correspondent paints a portrait of a fearful city.",The New York Times,Foreign,World,"['Coronavirus (2019-nCoV)', 'AIRLINES AND AIRPLANES', 'Politics and Government']"
Anderson Cooper Announces Birth of His First Child,2020-05-01,article,News,"Wyatt Morgan Cooper, who is named after the newscaster’s late father, was delivered by a surrogate.",The New York Times,Express,U.S.,"['Television', 'Surrogate Motherhood']"
Hundreds of Rohingya Refugees Stuck at Sea With ‘Zero Hope’,2020-05-01,article,News,"At least three boats carrying Rohingya refugees have been adrift for more than two months. As of this week, rights groups that had been tracking the boats lost sight of them.",The New York Times,Foreign,World,"['Rohingya (Ethnic Group)', 'Refugees and Displaced Persons', 'Human Trafficking', 'Coronavirus (2019-nCoV)']"
Michigan Governor Reinstates State of Emergency as Protests Ramp Up,2020-05-01,article,News,The governor’s moves were in response to the Republican-led Legislature’s refusal to extend the original emergency declaration.,The New York Times,National,U.S.,"['Demonstrations, Protests and Riots', 'Coronavirus (2019-nCoV)', 'State Legislatures', 'Quarantines', 'Executive Orders and Memorandums']"
"‘Hospital Needs to Be Quarantined,’ but Works On in Country at War",2020-05-01,article,News,"Twenty percent of the staff at one hospital is quarantined, but doors remain open as the war wounded are brought in.",The New York Times,Foreign,World,"['Quarantines', 'Hospitals', 'Coronavirus (2019-nCoV)', 'Afghanistan War (2001- )', 'Epidemics']"
#CancelRent Is New Rallying Cry for Tenants. Landlords Are Alarmed.,2020-05-01,article,News,"From New York to Los Angeles, tenant groups are encouraging millions of renters to withhold May rent, which landlords warn would be devastating.",The New York Times,Metro,New York,"['Real Estate and Housing (Residential)', 'Renting and Leasing (Real Estate)', 'Landlords', 'Evictions', 'Unemployment', 'United States Economy', 'Coronavirus (2019-nCoV)', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Demonstrations, Protests and Riots']"
"Rome Has Been Sacked, Conquered and Abandoned. Now It’s the Pandemic’s Turn.",2020-05-01,article,News,"The city’s turbulent history has forged an irreverent, anti-authoritarian and, in some ways, cynical character. Can that survive the coronavirus?",The New York Times,Foreign,World,"['Quarantines', 'Coronavirus (2019-nCoV)']"
Consider Virtual Dog Training for Your Pandemic Puppy,2020-05-01,article,News,"You can use this time to address your dog’s behavioral issues, to make sure it has truly found its forever home.",The New York Times,Smarter Living,Well,"['Animal Behavior', 'Dogs', 'Coronavirus (2019-nCoV)']"
The Big Impact of a Small Hobby,2020-05-01,article,News,Drawing mundane things like my dish rack had helped me survive job loss. Could it be helping me through the coronavirus?,The New York Times,Well,Well,"['Unemployment', 'Anxiety and Stress', 'Art', 'Layoffs and Job Reductions', 'Hobbies', 'Cortisol (Hormone)', 'Coronavirus (2019-nCoV)']"
Help! My Flight Was Canceled and I Still Can’t Get a Refund,2020-05-01,article,News,There’s a reason we are deliberately pounding the topic of travel refunds into the ground: It’s a big deal and there’s lots of confusion and contradictory information out there.,The New York Times,Travel,Travel,"['Rebates and Refunds', 'Coronavirus (2019-nCoV)', 'AIRLINES AND AIRPLANES', 'Travel Warnings', 'Delays (Transportation)', 'Travel and Vacations']"
Bored at Work? The Solution Involves a Small Orange Man,2020-05-01,article,News,"Plus: Once we all get back to work, let’s give our pets a vacation. Forever.",The New York Times,SundayBusiness,Business Day,"['Work-Life Balance', 'Careers and Professions', 'Workplace Environment', 'your-feed-selfcare']"
An Upstate N.Y. Backlash Over Virus Shutdown: ‘It’s Not Up Here’,2020-05-01,article,News,"Vast swaths of upstate are largely untouched by the pandemic, and some residents are more worried about the economy than about their health.",The New York Times,Metro,New York,"['Coronavirus (2019-nCoV)', 'Rural Areas', 'Shutdowns (Institutional)', 'Epidemics', 'Quarantines', 'Economic Conditions and Trends']"
How Coronavirus Shifted the Stakes of Teenage Rebellion,2020-05-01,article,News,"Living with an invisible outside threat, and no visible outlet, forced my daughter and me to negotiate and reconcile — and fast.",The New York Times,Well,Well,"['Coronavirus (2019-nCoV)', 'Teenagers and Adolescence', 'Families and Family Life', 'Quarantines', 'Parenting', 'Children and Childhood', 'Curfews']"
Biden Denies Tara Reade’s Assault Allegation: ‘It Never Happened’,2020-05-01,article,News,"Joseph R. Biden Jr., in his first public address of a former Senate aide’s accusation that he sexually assaulted her in 1993, called on the National Archives to release any document related to the allegation.",The New York Times,Politics,U.S.,"['Sexual Harassment', 'Sex Crimes', 'Presidential Election of 2020', '#MeToo Movement', 'United States Politics and Government']"
When Does a Small Business File for Bankruptcy? And 8 More Questions,2020-05-01,article,News,The coronavirus is expected to permanently shut millions of small businesses in the next several months. Here are issues for owners to consider.,The New York Times,Business,Business Day,"['Coronavirus (2019-nCoV)', 'Shutdowns (Institutional)', 'Small Business', 'Bankruptcies', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Credit and Debt']"
‘The Streets Look So Empty’: How a Child Killer Haunted My First Novel,2020-05-01,article,News,"The still-unsolved Oakland County Child Killer case lodged in the author Megan Abbott’s psyche, even if she didn’t know it at the time.",The New York Times,SpecialSections,U.S.,"['Kidnapping and Hostages', 'Murders, Attempted Murders and Homicides', 'Sex Crimes', 'Children and Childhood']"
An Accidental Navy Chief Steers His Service Through a Storm,2020-05-01,article,News,Adm. Michael M. Gilday appears determined that his recommendations on the Roosevelt case will be made based on Navy principles and not on fears of what the White House might want.,The New York Times,Washington,U.S.,"['Aircraft Carriers', 'USS Theodore Roosevelt (CVN-71) (Ship)', 'United States Defense and Military Forces', 'United States Politics and Government']"
Find a Vaccine. Next: Produce 300 Million Vials of It.,2020-05-01,article,News,Scaling up the manufacturing of syringes and other medical products required to deliver a vaccine to millions of Americans will be just as important as the vaccine itself.,The New York Times,Science,Health,"['Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Medical Devices', 'Hypodermic Needles and Syringes', 'Medicine and Health', 'Factories and Manufacturing', 'Shortages', 'Epidemics', 'your-feed-healthcare']"
"For Most Food Stamp Users, Online Shopping Isn’t an Option",2020-05-01,article,News,"Rules and store technology can impede Supplemental Nutrition Assistance Program recipients, but a pilot effort to expand access is picking up speed.",The New York Times,Business,Your Money,"['Shopping and Retail', 'E-Commerce', 'Supermarkets and Grocery Stores', 'Coronavirus (2019-nCoV)', 'Food Stamps']"
‘This Feels Very Different’,2020-05-01,article,News,"For over a decade, the Permian Basin has been the epicenter of the American oil boom. Now, it’s the epicenter of its demise.",The New York Times,Business,Business Day,"['Oil (Petroleum) and Gasoline', 'Layoffs and Job Reductions', 'Prices (Fares, Fees and Rates)', 'Production', 'Coronavirus (2019-nCoV)']"
3 Africans in Mexico City Grave Tell Stories of Slavery’s Toll,2020-05-01,article,News,The men might have been among the earliest to be stolen from their homeland and brought to the Americas.,The New York Times,Science,Science,"['ARCHAEOLOGY AND ANTHROPOLOGY', 'Slavery (Historical)', 'Indigenous People', 'Skeletons', 'Genetics and Heredity', 'Skull (Body Part)', 'Teeth and Dentistry', 'Research', 'your-feed-science', 'Infections']"
A Life and Death Battle: 4 Days of Kidney Failure but No Dialysis,2020-05-01,article,News,"At the peak of the pandemic in New York, a longtime city employee joined a crush of patients in desperate need of treatment.",The New York Times,Science,Health,"['Coronavirus (2019-nCoV)', 'Kidneys', 'Dialysis', 'Shortages', 'Emergency Medical Treatment', 'Hospitals', 'Deaths (Fatalities)', 'your-feed-healthcare']"
Streets Should Be Car-Free During Lockdown. And After.,2020-05-01,article,News,Cholera changed the face of Paris. Will Covid-19 change the streets of New York?,The New York Times,Metropolitan,New York,"['ARCHITECTURE', 'Urban Areas', 'Coronavirus (2019-nCoV)', 'Cholera', 'Area Planning and Renewal', 'City Councils']"
"How De Niro Gave Us Sinatra’s ‘New York, New York,’ Our 7 P.M. Anthem",2020-05-01,article,News,Frank Sinatra can thank Robert De Niro and two annoyed songwriters for the song that revived his career and now is the theme music of the city’s nightly tribute.,The New York Times,Metro,New York,"['Music', 'Coronavirus (2019-nCoV)']"
How a Food Bank Manager Spends His Sundays,2020-05-01,article,News,"Most pantries are closed on Sundays, but Jorge Negron opens his to make and provide brown-bag lunches.",The New York Times,Metropolitan,New York,"['Food', 'Quarantine (Life and Culture)', 'Food Banks and Pantries', 'Coronavirus (2019-nCoV)']"
Street Art Confronts the Pandemic,2020-05-01,article,News,"From Norway to Colorado, street artists depict a world of masks and hand-washing (and toilet paper). One recurrent theme: a deep appreciation of health care workers.",The New York Times,Culture,Travel,"['Art', 'Murals', 'Coronavirus (2019-nCoV)', 'Travel and Vacations', 'Masks', 'Protective Clothing and Gear', 'Hygiene and Cleanliness', 'Quarantines']"
The Business of Burps: Scientists Smell Profit in Cow Emissions,2020-05-01,article,News,Cattle produce more methane than many large countries. A solution could be an ecological and financial breakthrough — and a Swiss biotech company may be on the cusp.,The New York Times,SundayBusiness,Business Day,"['Cattle', 'Methane', 'Research', 'Greenhouse Gas Emissions', 'Global Warming']"
"As More States Reopen, Protesters Chafe at Restrictions",2020-05-01,article,News,The F.D.A. issued emergency approval for an antiviral drug. High school seniors appear reluctant to commit to a college for the fall.,The New York Times,National,U.S.,['Coronavirus (2019-nCoV)']
It’s Not Too Late for a Flower Garden,2020-05-01,article,News,Never has the cheer of homegrown color been more essential. Here’s how to get it — even if you haven’t started planting yet.,The New York Times,RealEstate,Real Estate,"['Real Estate and Housing (Residential)', 'Gardens and Gardening', 'Quarantine (Life and Culture)', 'Flowers and Plants']"
Jeff Bezos Doubles Down on Amazon’s Pandemic Response,2020-05-01,article,News,Amazon’s chief said that pandemic-related expenses would consume all profits in the current quarter — and that it was part of a deliberate strategy.,The New York Times,Business,Business Day,"['Stock Buybacks', 'Coronavirus (2019-nCoV)']"
"Big Government? For Now, Most Americans Say Bring It On",2020-05-01,article,News,"Battered by the coronavirus, the American public is increasingly looking to the federal government to provide an economic lifeline, polls suggest.",The New York Times,Politics,U.S.,"['Polls and Public Opinion', 'United States Economy', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Coronavirus (2019-nCoV)', 'Federal Budget (US)', 'States (US)', 'Local Government']"
New York Closes Schools Through End of Academic Year,2020-05-01,article,News,Governor Cuomo said it was impossible to reopen schools “in a way that would keep our children and students and educators safe.”,The New York Times,Metro,New York,['Coronavirus (2019-nCoV)']
"In Philanthropy, Race Is Still a Factor in Who Gets What, Study Shows",2020-05-01,article,News,"Nonprofit groups led by black and Latino directors lag behind peers with white leaders, but two leading philanthropic organizations hope to change that.",The New York Times,Business,Your Money,"['Race and Ethnicity', 'Philanthropy', 'Nonprofit Organizations']"
"Health Savings Accounts Add Options in Pandemic, Including Telehealth",2020-05-01,article,News,Insurance plans with H.S.A.s may also cover coronavirus testing while keeping the tax perks.,The New York Times,Business,Your Money,"['Health Insurance and Managed Care', 'Tax Credits, Deductions and Exemptions', 'Coronavirus (2019-nCoV)', 'Savings', 'Personal Finances', 'Telemedicine']"
A Record Sale in Brooklyn Among April’s Closings,2020-05-01,article,News,"As the pandemic hobbled the real estate industry, several huge deals crossed the finish line, including a record sale at Brooklyn Bridge Park and another Jeff Bezos acquisition in Manhattan.",The New York Times,RealEstate,Real Estate,"['Real Estate and Housing (Residential)', 'Condominiums']"
Tanzanian Cartoonist Has a Stick for Every Powerful Eye,2020-05-01,article,News,"Godfrey Mwampembwa, popularly known as Gado, has been holding politicians accountable for nearly 30 years. Now, his concern has shifted to the coronavirus.",The New York Times,Foreign,World,"['Cartoons and Cartoonists', 'Coronavirus (2019-nCoV)', 'Quarantine (Life and Culture)']"
Sheltering in Place in an R.V. Is Not as Fun as It Sounds,2020-05-01,article,News,"With parks shut down and utilities harder to come by, drivers of motor homes are finding themselves trapped in the vehicles meant to liberate them.",The New York Times,RealEstate,Real Estate,"['Recreational Vehicles', 'Real Estate and Housing (Residential)', 'National Parks, Monuments and Seashores', 'Parks and Other Recreation Areas', 'Road Trips', 'Coronavirus (2019-nCoV)', 'Quarantines', 'Travel Warnings']"
Setback for Harry and Meghan in Legal Battle With U.K. Tabloids,2020-05-01,article,News,"A judge ruled that The Mail on Sunday would not be judged on whether it had acted dishonestly in publishing a letter from the Duchess of Sussex to her father, Thomas Markle.",The New York Times,Foreign,World,"['Suits and Litigation (Civil)', 'Newspapers']"
Job Interviews Are Broken. There’s a Way to Fix Them.,2020-05-01,article,News,"Instead of focusing on credentials, let’s give candidates the chance to showcase their will and skill to learn.",The New York Times,Smarter Living,Smarter Living,"['Hiring and Promotion', 'Careers and Professions', 'Draft and Recruitment (Sports)']"
A Private Equity Firm Is Blocked From Buying .Org,2020-05-01,article,News,The deal for the internet domain for nonprofit organizations had set off fierce opposition.,The New York Times,Business,Technology,"['Domain Names (Internet)', 'Nonprofit Organizations', 'Computers and the Internet', 'Mergers, Acquisitions and Divestitures', 'Private Equity']"
The Healing Power of Baseball,2020-05-01,article,News,"During epidemics, war and national tragedy, baseball was medicine for the masses. During this crisis, we’re still waiting for the prescription to be filled.",The New York Times,Well,Well,"['Baseball', 'Coronavirus (2019-nCoV)', 'Epidemics', 'World Series', 'September 11 (2001)', 'World War II (1939-45)', 'Quarantines', 'Influenza']"
Congress Calls on Jeff Bezos of Amazon to Testify,2020-05-01,article,News,"Lawmakers want to question Mr. Bezos, Amazon’s chief executive, as part of its antitrust investigation.",The New York Times,Business,Technology,"['Antitrust Laws and Competition Issues', 'United States Politics and Government', 'Computers and the Internet']"
Full Transcript: Joe Biden Addresses Tara Reade Allegations on ‘Morning Joe’,2020-05-01,article,News,The former vice president was interviewed about the allegation made by his former Senate aide that he sexually assaulted her in 1993.,The New York Times,Politics,U.S.,"['Archives and Records', 'United States Politics and Government', 'Presidential Election of 2020', 'Sex Crimes']"
Bonds Beat Stocks Over the Last 20 Years,2020-05-01,article,News,"Over the long run, stocks are supposed to beat bonds. But they haven’t managed to do that uniformly since 2000, a sign of how difficult things have gotten for ordinary investors.",The New York Times,SundayBusiness,Business Day,"['Stocks and Bonds', 'Credit and Debt', 'Inflation (Economics)', 'Presidential Election of 2020', 'Subprime Mortgage Crisis', ""Standard & Poor's 500-Stock Index"", 'Asset Allocation (Personal Finances)', 'Pensions and Retirement Plans']"
The C.E.O. at the Center of New York’s Coronavirus Crisis,2020-05-01,article,News,"“It’s something I’ve never witnessed in 40 years of medicine,” said Dr. Steven Corwin, the chief executive of NewYork-Presbyterian.",The New York Times,SundayBusiness,Business Day,"['Hospitals', 'Executives and Management (Theory)', 'Coronavirus (2019-nCoV)']"
"Fatigue Is Here, but the Economic Fight Is Just Beginning",2020-05-01,article,News,"Precious public support will be squandered if the economic relief effort isn’t handled with full transparency and accountability, a former presidential adviser says.",The New York Times,SundayBusiness,Business Day,"['Coronavirus (2019-nCoV)', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'United States Economy', 'Recession and Depression', 'Small Business', 'Unemployment', 'Unemployment Insurance', 'Quarantines', 'Banking and Financial Institutions', 'United States Politics and Government', 'Polls and Public Opinion']"
"Blood Pressure Drugs Don’t Increase Coronavirus Risk, Studies Find",2020-05-01,article,News,"People taking widely used medicines did not face higher rates of infection or more severe illness, new research indicates.",The New York Times,Science,Health,"['Blood Pressure', 'Coronavirus (2019-nCoV)', 'Quarantines', 'your-feed-healthcare']"
Now Is the Time to Learn to Play Bridge,2020-05-01,article,News,It’s easier to pick up the world’s best card game at home on your own.,The New York Times,AtHome,Smarter Living,"['Bridge (Card Game)', 'Cards and Card Games', 'Quarantine (Life and Culture)']"
Elon Musk Says Tesla Share Price Is Too High,2020-05-01,article,News,The electric car company’s stock fell 10 percent after the chief executive took to Twitter to try to talk down its recent surge.,The New York Times,Business,Business Day,"['Securities and Commodities Violations', 'Electric and Hybrid Vehicles', 'Automobiles', 'Stocks and Bonds', 'Regulation and Deregulation of Industry', 'Company Reports']"
Big Tech’s Worries Should Worry You,2020-05-01,article,News,"When the most successful companies are anxious, you know we’re in scary times.",The New York Times,Business,Technology,['Coronavirus (2019-nCoV)']
"As Students Put Off College, Anxious Universities Tap Wait Lists",2020-05-01,article,News,"Uncertain that campuses will reopen, students are reluctant to commit for the fall. For schools, enrollment drops and lost revenue could be devastating.",The New York Times,National,U.S.,"['ADMISSIONS STANDARDS', 'Colleges and Universities', 'Coronavirus (2019-nCoV)', 'Foreign Students (in US)']"
Hotelier’s Push for $126 Million in Small-Business Aid Draws Scrutiny,2020-05-01,article,News,"Monty Bennett says the government should help companies like his. Now, Senator Chuck Schumer is asking for a review of use of the Paycheck Protection Program by Mr. Bennett’s companies.",The New York Times,Washington,Business Day,"['Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Small Business', 'Hotels and Travel Lodgings', 'United States Politics and Government', 'Coronavirus (2019-nCoV)']"
Canada Bans Assault Weapons in Wake of Deadly Mass Shooting,2020-05-01,article,News,Prime Minister Justin Trudeau said the government had been in the process of introducing the ban when its agenda was overturned by the pandemic.,The New York Times,Foreign,World,"['Politics and Government', 'Gun Control', 'Nova Scotia, Canada, Shooting (April, 2020)', 'Mass Shootings']"
What Is ‘Covid Toe’? Maybe a Strange Sign of Coronavirus Infection,2020-05-01,article,News,"Dermatologists say the lesions should prompt testing for the virus, even though many patients have no other symptoms.",The New York Times,Science,Health,"['Coronavirus (2019-nCoV)', 'Feet', 'Skin', 'Tests (Medical)', 'your-feed-science']"
Democrats Seek Investigation Into Claims of Meddling at Consumer Bureau,2020-05-01,article,News,A memo from a Consumer Financial Protection Bureau employee who described pressure by political appointees over a payday lending rule prompted lawmakers’ request.,The New York Times,Business,Business Day,"['Consumer Protection', 'United States Politics and Government', 'Regulation and Deregulation of Industry', 'Payday Loans']"
"Blood Samples, Vital for Antibody Tests, Sold at Exorbitant Rates",2020-05-01,article,News,"In short supply, the samples are essential for the creation of coronavirus antibody tests that can help end lockdowns. Several companies are racing to capitalize on that.",The New York Times,Foreign,World,"['Tests (Medical)', 'Blood Donation', 'Coronavirus (2019-nCoV)', 'Laboratories and Scientific Equipment', 'Antibodies']"
"Bolsonaro Fights for Survival, Turning to Empowered Military Elders",2020-05-01,article,News,A flailing leader has given Brazil’s generals an opening to insert themselves onto the front lines of politics.,The New York Times,Foreign,World,"['Politics and Government', 'Defense and Military Forces', 'Corruption (Institutional)', 'Impeachment', 'Coronavirus (2019-nCoV)', 'Deaths (Fatalities)']"
"The Coronavirus Still Is a Global Health Emergency, W.H.O. Warns",2020-05-01,article,News,"Even as some governments contemplate reopening, the spread of the virus has accelerated in countries in Africa and South America.",The New York Times,Science,Health,"['your-feed-science', 'Coronavirus (2019-nCoV)', 'Epidemics', 'United States Politics and Government', 'Rumors and Misinformation', 'Quarantines']"
"In Odd Turn With Israel, Gazans Get Economic Adrenaline Shot from Virus",2020-05-01,article,News,"With demand for masks and protective gear soaring worldwide, Israeli merchants have flooded Gaza garment factories with new orders since early March.",The New York Times,Foreign,World,"['Palestinians', 'Coronavirus (2019-nCoV)']"
Drive-Throughs Are Now a Lifeline for Fast-Food Chains,2020-05-01,article,News,"With dine-in restaurants shuttered and social distancing paramount, drive-throughs are now providing a crucial source of revenue during the pandemic.",The New York Times,Business,Business Day,"['Fast Food Industry', 'Restaurants', 'Coronavirus (2019-nCoV)', 'Food', 'Epidemics', 'Quarantines', 'Franchises']"
Your Life or Your Livelihood: Americans Wrestle With Impossible Choice,2020-05-01,article,News,"As states begin to loosen restrictions, the act of reopening will be carried out not by governors or the president, but the millions of individuals being asked to do it.",The New York Times,National,U.S.,"['Coronavirus (2019-nCoV)', 'Unemployment Insurance', 'Labor and Jobs', 'Shutdowns (Institutional)', 'Unemployment']"
"In a City Frozen in Fear, Time Freezes, Too",2020-05-01,article,News,"Unusually clear skies, sunny days and empty parks beckon, but in a city locked down by the coronavirus, almost no one is heeding their call.",The New York Times,Foreign,World,"['Coronavirus (2019-nCoV)', 'Quarantines']"
How to Also Keep Your Car Healthy,2020-05-01,article,News,"Along with making medical equipment, the car industry is finding ways to keep their customers safer, like coming to you when your car needs service.",The New York Times,Smarter Living,Smarter Living,"['Automobiles', 'Coronavirus (2019-nCoV)', 'Quarantines', 'Protective Clothing and Gear']"
Your Chicken Is No Longer Pink. That Doesn’t Mean It’s Safe to Eat.,2020-05-01,article,News,"Next time you cook chicken, don’t rely on the color of the meat to tell you if it’s cooked enough to avoid food poisoning.",The New York Times,Science,Science,"['Poultry', 'Cooking and Cookbooks', 'Food Contamination and Poisoning', 'Salmonella (Bacteria)', 'Thermometers', 'Research', 'your-feed-science']"
"U.K. Virus Tests Surpass Target, but Britain’s Deaths May Overtake Italy’s",2020-05-01,article,News,"There was good news and bad news for Britons on Friday in the statistical barometers of the pandemic, which experts say have become an understandable but misplaced fixation in the country.",The New York Times,Foreign,World,"['Coronavirus (2019-nCoV)', 'Tests (Medical)']"
A Texas-Size Reopening Has Many Wondering: Too Much or Not Enough?,2020-05-01,article,News,"Texas opened a wide range of malls, restaurants and businesses just a day after the state reported its highest death toll from the coronavirus.",The New York Times,National,U.S.,"['Coronavirus (2019-nCoV)', 'Shopping Centers and Malls', 'Shopping and Retail', 'Quarantines']"
Is It Safe to Come Out of Lockdown? Check the Sewer,2020-05-01,article,News,"Wastewater could provide early, painless and localized data about the rise or fall of coronavirus levels.",The New York Times,Science,Science,"['Coronavirus (2019-nCoV)', 'Sewers and Sewage', 'Tests (Medical)', 'Quarantines', 'your-feed-science']"
