headline,date,doc_type,type_of_material,snippet,source,news_desk,section_name,keywords
Facebook Could Block Sharing of News Stories in Australia,2020-09-01,article,News,"The move, a response to pressure to pay publishers when their stories are posted on the social network, could add to internet silos springing up around the world.",The New York Times,Business,Technology,"['Computers and the Internet', 'News and News Media', 'Social Media', 'Regulation and Deregulation of Industry', 'Rumors and Misinformation', 'Search Engines', 'Law and Legislation']"
A Long History of Language That Incites and Demonizes,2020-09-01,article,News,President Trump has employed provocative and sometimes incendiary words and images to focus attention on demonstrations and away from the human and economic costs of the pandemic.,The New York Times,Washington,U.S.,"['George Floyd Protests (2020)', 'Demonstrations, Protests and Riots', 'Presidential Election of 2020', 'Antifa Movement (US)', 'Black Lives Matter Movement', 'Police Brutality, Misconduct and Shootings', 'United States Politics and Government', 'Black People', 'Blacks', 'Charlottesville, Va, Violence (August, 2017)', 'Republican National Convention']"
How the Fatal Shooting at a Portland Protest Unfolded,2020-09-01,article,News,"We followed the final moments of a man shot and killed in Portland, Ore., as supporters of President Trump clashed with those protesting police violence.",The New York Times,Video,Video,"['Demonstrations, Protests and Riots', 'Murders, Attempted Murders and Homicides', 'George Floyd Protests (2020)', 'Black Lives Matter Movement', 'Video Recordings, Downloads and Streaming', 'Fringe Groups and Movements']"
Los Angeles Sheriff’s Deputies Fatally Shoot a Black Man They Say Had a Gun,2020-09-01,article,News,"The man, who was identified as Dijon Kizzee, 29, had been stopped while riding a bicycle, the Sheriff’s Department said.",The New York Times,Express,U.S.,"['Police Reform', 'George Floyd Protests (2020)', 'Black Lives Matter Movement', 'Black People', 'Blacks', 'Police Brutality, Misconduct and Shootings', 'Demonstrations, Protests and Riots']"
Walmart Announces Membership Service in Attempt to Compete With Amazon,2020-09-01,article,News,Walmart+ will cost $98 a year to receive free delivery for orders over $35. The company hopes to build on the success of its pickup grocery business.,The New York Times,Business,Business Day,"['Shopping and Retail', 'E-Commerce', 'Delivery Services']"
Samsung Heir Is Indicted but Avoids Jail,2020-09-01,article,News,Lee Jae-yong stands accused of stock price manipulation and other offenses as he sought to tighten his control over the major corporate empire.,The New York Times,Business,Business Day,"['Mergers, Acquisitions and Divestitures', 'Securities and Commodities Violations', 'Stocks and Bonds']"
"From the Seabed, Figures of an Ancient Cult",2020-09-01,article,News,"A trove of Phoenician artifacts was long ascribed to a single shipwreck. More likely they were tossed overboard, and over centuries, a new study suggests.",The New York Times,Science,Science,"['Shipwrecks (Historic)', 'ARCHAEOLOGY AND ANTHROPOLOGY', 'your-feed-science']"
These Scientists Are Giving Themselves D.I.Y. Coronavirus Vaccines,2020-09-01,article,News,"Impatient for a coronavirus vaccine, dozens of scientists around the world are giving themselves — and sometimes, friends and family — their own unproven versions.",The New York Times,Science,Science,"['Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Clinical Trials', 'Research', 'Antibodies', 'Suits and Litigation (Civil)', 'Regulation and Deregulation of Industry', 'Ethics and Official Misconduct', 'your-feed-healthcare']"
‘Sudden’ Cardiac Arrests Often Aren’t So Sudden,2020-09-01,article,News,Researchers found that 57 percent of patients had contacted either a doctor or a hospital in the two weeks before the event.,The New York Times,Well,Well,"['Hospitals', 'Heart']"
9 Major N.Y.C. Roads Get Lower Speed Limits as Traffic Deaths Surge,2020-09-01,article,News,"More drivers, passengers and motorcyclists have been killed so far this year than all of last year. Reckless driving is a major factor, officials say.",The New York Times,Metro,New York,"['Traffic Accidents and Safety', 'Drunken and Reckless Driving', 'Coronavirus (2019-nCoV)', 'Roads and Traffic', 'Deaths (Fatalities)']"
New York City Delays Start of School to Ready for In-Person Classes,2020-09-01,article,News,The system’s 1.1 million children will not return to school until Sept. 21.,The New York Times,Metro,New York,"['Coronavirus Reopenings', 'Education (K-12)', 'Shutdowns (Institutional)', 'Teachers and School Employees']"
Young People Are Fighting Hunger and Finding Purpose,2020-09-01,article,News,"“These amazing young kids are running the whole show,” said the owner of the Wood Cafe, which gives away food. “Their energy propels it.”",The New York Times,Well,Well,"['Food', 'Food Insecurity', 'Coronavirus (2019-nCoV)', 'Empathy', 'Volunteers and Community Service', 'Youth', 'Teenagers and Adolescence']"
"As Guns Get Drawn at Protest Sites, Demonstrators Fear a Volatile New Phase",2020-09-01,article,News,"As right-wing groups increasingly move to confront unrest in cities, clashes are breaking out between demonstrators with starkly different views on how to keep cities safe.",The New York Times,National,U.S.,"['George Floyd Protests (2020)', 'Black Lives Matter Movement', 'Demonstrations, Protests and Riots', 'Murders, Attempted Murders and Homicides', 'Fringe Groups and Movements']"
Virtual Tours Are Here to Stay. This Is How to Do Them Right.,2020-09-01,article,News,The open house is dead. Long live the open house.,The New York Times,RealEstate,Real Estate,"['Real Estate and Housing (Residential)', 'Real Estate Brokers', 'Content Type: Service', 'Video Recordings, Downloads and Streaming', 'Quarantine (Life and Culture)', '3-D Devices and Effects']"
Help! What Are the Best Precautions When Traveling by Car?,2020-09-01,article,News,Our columnist answers your coronavirus-related questions about health and safety on road trips.,The New York Times,Business,Travel,"['Road Trips', 'Coronavirus Risks and Safety Concerns', 'Travel and Vacations', 'Content Type: Service', 'Bathrooms and Toilets', 'Hygiene and Cleanliness', 'Hotels and Travel Lodgings', 'Restaurants']"
"What It Took to Free a Whale Entangled in 4,000 Pounds of Fishing Gear",2020-09-01,article,News,The influx of whales to cleaner waters off New York City has meant that the number of them injured or killed there is on the rise.,The New York Times,Metropolitan,New York,"['Whales and Whaling', 'Endangered and Extinct Species']"
Small-Business Failures Loom as Federal Aid Dries Up,2020-09-01,article,News,Many owners face tough choices after a federal loan program and other government moves to bolster the economy have run their course.,The New York Times,Business,Business Day,"['Small Business', 'Coronavirus (2019-nCoV)', 'Shutdowns (Institutional)', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Stimulus (Economic)', 'United States Economy', 'Federal Aid (US)']"
‘Fixing the Damage We’ve Done’: Rewilding Jaguars in Argentina,2020-09-01,article,News,"Bringing back the top predator to Argentina’s wetlands could restore the health of an entire ecosystem. But inducing five felines with troubled pasts to hunt, and mate, is not easy.",The New York Times,Foreign,World,"['Jaguars', 'Endangered and Extinct Species', 'Conservation of Resources', 'Wetlands', 'ANIMALS', 'Wildlife Sanctuaries and Nature Reserves', 'National Parks, Monuments and Seashores']"
‘I Am Stuck Until That Border Opens’: Marooned in Paradise,2020-09-01,article,News,"This geographically isolated community in Washington State has avoided the coronavirus, but at a considerable cost.",The New York Times,National,U.S.,"['Coronavirus (2019-nCoV)', 'Quarantines']"
"C.D.C. Halts Evictions, Citing Covid-19 Risks",2020-09-01,article,News,The agency said it wanted to keep renters out of shelters. Apple and Google are making it easier for states to adopt contact tracing apps. Australia’s economy fell into recession.,The New York Times,Foreign,World,['Coronavirus (2019-nCoV)']
"As summer wanes and federal aid winds down, small businesses are in jeopardy.",2020-09-01,article,News,,The New York Times,Business,Business Day,[]
Bird-Watching With Nick Flynn and Lili Taylor,2020-09-01,article,News,"The couple have been quarantining in upstate New York, using a camera and baby monitors to bring the outdoors inside.",The New York Times,RealEstate,Real Estate,['Real Estate and Housing (Residential)']
Tit for Tat for TikTok,2020-09-01,article,News,"The app is the latest front in an intensifying tech Cold War between the U.S. and China, with collateral damage for companies around the world.",The New York Times,Business,Business Day,"['United States International Relations', 'Mergers, Acquisitions and Divestitures']"
Biden Lashes Back at Trump,2020-09-01,article,News,"The president heads to Kenosha, despite worries of further unrest: This is your politics tip sheet.",The New York Times,Politics,U.S.,['Presidential Election of 2020']
University of South Carolina Cracks Down on Greek Houses for Virus Violations,2020-09-01,article,News,Disciplinary action is taken over parties and large gatherings as cases mount on campus.,The New York Times,Express,U.S.,"['Colleges and Universities', 'Fraternities and Sororities', 'Coronavirus (2019-nCoV)', 'School Discipline (Students)', 'Shutdowns (Institutional)', 'Quarantines', 'Parties (Social)', 'Tests (Medical)']"
Massachusetts Primary Elections: What to Watch For,2020-09-01,article,News,"Senator Edward J. Markey is facing off against Joseph P. Kennedy III, while the powerful Representative Richard E. Neal is confronting a challenge from the young mayor Alex Morse.",The New York Times,Politics,U.S.,"['Elections, Senate', 'Elections, House of Representatives', 'United States Politics and Government', 'Primaries and Caucuses', 'Presidential Election of 2020']"
A House panel plans to subpoena Louis DeJoy over mail delays and his Trump communications.,2020-09-01,article,News,"The chairwoman of the House Oversight Committee said the postmaster general had withheld requested documents, telling her panel his verbal testimony should suffice.",The New York Times,Politics,U.S.,[]
"The flood of Trump books keeps coming, and readers can’t stop buying them.",2020-09-01,article,News,"White House memoirs, journalistic exposés, full-throated defenses of the president: Publishers are producing books for every partisan and wondering if the gravy train ends on Election Day.",The New York Times,Politics,U.S.,[]
Trump has a long history of language that incites and demonizes.,2020-09-01,article,News,President Trump has employed provocative and sometimes incendiary words and images to focus attention on demonstrations and away from the human and economic costs of the pandemic.,The New York Times,Politics,U.S.,[]
The president’s trip represents a consequential political bet.,2020-09-01,article,News,,The New York Times,Politics,U.S.,[]
Biden hit firmly back at Trump. Will he now take that message on the road?,2020-09-01,article,News,,The New York Times,Politics,U.S.,[]
Recent Commercial Real Estate Transactions,2020-09-01,article,News,Recent commercial real estate transactions in New York.,The New York Times,Business,Business Day,"['Real Estate and Housing (Residential)', 'Real Estate (Commercial)']"
"In Coming Wave of Pandemic-Induced Vacancies, Some See Opportunity",2020-09-01,article,News,"As the outlook for retail, hotel and office space shifts, some developers are already planning to convert empty properties to new uses.",The New York Times,Business,Business Day,"['Real Estate (Commercial)', 'Real Estate and Housing (Residential)', 'Coronavirus (2019-nCoV)', 'Building (Construction)', 'Area Planning and Renewal']"
A Parent’s Toughest Call: In-Person Schooling or Not?,2020-09-01,article,News,Parents are wrestling with difficult choices over sending their children to school. Here’s how one science reporter made the decision.,The New York Times,Science,Health,"['your-feed-science', 'Coronavirus Reopenings', 'Pediatric Inflammatory Multisystem Syndrome (PIMS)', 'Education (K-12)', 'Coronavirus (2019-nCoV)', 'Parenting', 'Children and Childhood', 'Masks', 'Shutdowns (Institutional)']"
Trump Administration Promise to Focus on Extremism Remains Unfulfilled,2020-09-01,article,News,"A year after the Department of Homeland Security promised to focus more on violent extremism, the plan to carry out that shift remains hidden while the atmosphere worsens.",The New York Times,Washington,U.S.,"['Black Lives Matter Movement', 'Demonstrations, Protests and Riots', 'Antifa Movement (US)', 'Federal-State Relations (US)', 'Local Government', 'Whites', 'Fringe Groups and Movements', 'Terrorism', 'Presidential Election of 2020', 'United States Politics and Government']"
Face Shields and Valved Masks Offer More Comfort but Less Protection,2020-09-01,article,News,"While any face covering is better than nothing, clear plastic shields and masks with exhale valves allow large plumes of particles to escape and may also expose the wearer to more germs.",The New York Times,Well,Well,"['Masks', 'Coronavirus Risks and Safety Concerns', 'Protective Clothing and Gear', 'Content Type: Service', 'Coughs', 'Coronavirus (2019-nCoV)']"
U.S.-Russia Military Tensions Intensify in the Air and on the Ground Worldwide,2020-09-01,article,News,"Recent altercations in Europe, the Middle East and off the coast of Alaska have heightened tensions between the two rival powers.",The New York Times,Washington,U.S.,"['United States Defense and Military Forces', 'Defense and Military Forces', 'Military Aircraft', 'United States International Relations', 'United States Politics and Government']"
"Explore which combinations of states would give Trump, or Biden, a victory.",2020-09-01,article,News,,The New York Times,Politics,U.S.,[]
Why the Coronavirus More Often Strikes Children of Color,2020-09-01,article,News,"Children in minority communities are much more likely to become infected and severely ill. Many have parents who are frontline workers, experts say.",The New York Times,Science,Health,"['your-feed-science', 'Pediatric Inflammatory Multisystem Syndrome (PIMS)', 'Black People', 'Blacks', 'Children and Childhood', 'Coronavirus Risks and Safety Concerns', 'Coronavirus (2019-nCoV)', 'Race and Ethnicity', 'Obesity', 'Hispanic-Americans', 'Deaths (Fatalities)', 'Infections', 'Whites', 'Medicine and Health']"
"Roanoke’s ‘Lost Colony’ Was Never Lost, New Book Says",2020-09-01,article,News,A new book aims to settle a centuries-old question of what happened to a group of English colonists. Archaeologists said that its theory was plausible but that more evidence was needed.,The New York Times,Science,U.S.,"['Books and Literature', 'Colonization', 'Native Americans', 'ARCHAEOLOGY AND ANTHROPOLOGY']"
"Biden Expected to Surpass $300 Million Raised in August, Shattering Record",2020-09-01,article,News,The fund-raising total would exceed previous monthly hauls and is more than double what the former vice president raised in July.,The New York Times,Politics,U.S.,"['Presidential Election of 2020', 'Campaign Finance', 'United States Politics and Government']"
"Trump Visits Kenosha, Offering Support for Police With Little Mention of Shooting",2020-09-01,article,News,"The president, touring the city that is the latest focal point of anger over police shootings of Black Americans, called attention instead to the street violence that he blamed on liberal politicians.",The New York Times,Washington,U.S.,"['Police Brutality, Misconduct and Shootings', 'Black Lives Matter Movement', 'Demonstrations, Protests and Riots', 'Conspiracy Theories', 'Presidential Election of 2020', 'United States Politics and Government']"
"In Lebanon, Macron Dangles Sanctions to Push for Change",2020-09-01,article,News,"President Macron of France met with Lebanese leaders to demand changes to a political system seen as ineffective and corrupt, and has privately threatened them with sanctions, officials said.",The New York Times,Foreign,World,"['Beirut, Lebanon, Explosions (2020)', 'Corruption (Institutional)']"
Trump’s claim that ‘thugs’ in ‘black uniforms’ were planning attack echoes far-right social media posts.,2020-09-01,article,News,,The New York Times,Politics,U.S.,[]
Yes to Tech Optimism. And Pessimism.,2020-09-01,article,News,We need tech optimists to shoot for the moon. But we also need those looking for problems.,The New York Times,NewsDesk,Technology,"['Computers and the Internet', 'Mobile Applications']"
Barr Imposes Limits on F.B.I. Surveillance of Political Candidates,2020-09-01,article,News,The directives came in response to the flawed monitoring of a former Trump adviser that the president has falsely held up as proof of spying on his campaign.,The New York Times,Washington,U.S.,"['Surveillance of Citizens by Government', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Wiretapping and Other Eavesdropping Devices and Methods', 'Foreign Intelligence Surveillance Act (FISA)', 'Espionage and Intelligence Services', 'United States Politics and Government', 'Presidential Election of 2020']"
Kenosha closes streets and halts trains as it prepares for Trump’s visit.,2020-09-01,article,News,,The New York Times,Politics,U.S.,[]
Watch live: Mnuchin calls for ‘additional relief’ for pandemic-induced recession.,2020-09-01,article,News,,The New York Times,Business,Business Day,[]
Twitter to Add Context to Trending Topics,2020-09-01,article,News,"The social media company is trying to clean up a feature that has been used for disinformation, but stopped short of what critics want.",The New York Times,Business,Technology,"['Rumors and Misinformation', 'Social Media', 'Computers and the Internet', 'Presidential Election of 2020', 'Fringe Groups and Movements', 'Conspiracy Theories']"
"Across the Globe, Students Head Back to School",2020-09-01,article,News,"Students and teachers returned to classrooms around the world, hopeful, excited — and wary.",The New York Times,Foreign,World,"['Coronavirus Reopenings', 'Education (K-12)']"
Turkey Announces Arrest of a Major Islamic State Militant,2020-09-01,article,News,"The country’s interior minister said Mahmut Ozden, described as a top Islamic State figure in Turkey, had been planning attacks and kidnappings.",The New York Times,Foreign,World,"['Terrorism', 'Politics and Government', 'Muslims and Islam']"
Trump Wins Another Delay in Turning Over Tax Returns,2020-09-01,article,News,A federal appeals panel ruled the president does not have to furnish his records to the Manhattan district attorney while the court considers his appeal.,The New York Times,Metro,New York,"['United States Politics and Government', 'Trump Tax Returns']"
Trump Spread Multiple Conspiracy Theories on Monday. Here Are Their Roots.,2020-09-01,article,News,The unfounded ideas have been circulating online for months.,The New York Times,Business,Technology,"['Conspiracy Theories', 'QAnon', 'Demonstrations, Protests and Riots', 'Antifa Movement (US)', 'Presidential Election of 2020', 'United States Politics and Government']"
"As Summer Comes to a Close, Squeeze in One Last Beach Day",2020-09-01,article,News,"Here’s how to plan a safe, relaxing Labor Day beach trip, even during the time of Covid-19.",The New York Times,Smarter Living,Smarter Living,"['Content Type: Service', 'Quarantine (Life and Culture)', 'Beaches', 'Coronavirus Risks and Safety Concerns', 'Labor Day']"
Twitter Hack May Have Had Another Mastermind: A 16-Year-Old,2020-09-01,article,News,"On Tuesday, federal agents served a Massachusetts teenager with a search warrant. He appears to have played a significant role in the July 15 Twitter attack, investigators and fellow hackers said.",The New York Times,Business,Technology,"['Cyberattacks and Hackers', 'Social Media', 'Computer Security', 'Bitcoin (Currency)', 'Frauds and Swindling', 'Phishing (Computer Fraud)']"
Trump’s conspiracy theory claims have floated around online for months.,2020-09-01,article,News,,The New York Times,Politics,U.S.,[]
"Russians Again Targeting Americans With Disinformation, Facebook and Twitter Say",2020-09-01,article,News,The companies said the F.B.I. had warned them that the Kremlin-backed Internet Research Agency set up a network of fake user accounts and a website.,The New York Times,Business,Technology,"['Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Social Media', 'Rumors and Misinformation', 'Presidential Election of 2020', 'News and News Media']"
‘Not Unlike the Postal Service’: Advocates Want Amtrak to Prioritize Service Over Profit,2020-09-01,article,News,Amtrak says it needs more money to avoid slashing service on routes in areas where the rail network is often the only mode of long-distance public transportation.,The New York Times,Washington,U.S.,"['Finances', 'Railroads', 'Coronavirus (2019-nCoV)', 'Federal Aid (US)', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'United States Politics and Government']"
How a Bus Ride Turned Into a Coronavirus Superspreader Event,2020-09-01,article,News,"One-third of passengers aboard a bus were infected by a fellow passenger, scientists reported.",The New York Times,Science,Health,"['your-feed-science', 'Coronavirus Risks and Safety Concerns', 'Buses', 'Coronavirus (2019-nCoV)', 'Buddhism']"
Apple and Google to Make It Easier to Opt In to Virus Tracing,2020-09-01,article,News,"The tech giants said states could soon send notices directly to smartphones asking people to opt in to the technology, which helps trace the coronavirus.",The New York Times,Business,Technology,"['Contact Tracing (Public Health)', 'Coronavirus (2019-nCoV)', 'Mobile Applications', 'Computers and the Internet', 'States (US)', 'Smartphones', 'Quarantines', 'Privacy']"
"In Hard Times, a Barrage of Ads Promises Peace of Mind",2020-09-01,article,News,"Meditation apps, tinctures, stress-busting gummies — spending on commercials for all of them is rising amid the pandemic’s climbing death toll and economic strain.",The New York Times,Business,Business Day,"['Anxiety and Stress', 'ADVERTISING AND MARKETING', 'Coronavirus (2019-nCoV)', 'Online Advertising', 'Mental Health and Disorders', 'Depression (Mental)', 'Drugs (Pharmaceuticals)', 'Therapy and Rehabilitation', 'Mobile Applications', 'Cannabis Foods and Products', 'Quarantine (Life and Culture)']"
"1 Million Primary Ballots Were Mailed Late, Postal Service Watchdog Says",2020-09-01,article,News,The findings underscore deep concerns about whether the agency will be able to process what is expected to be a significant increase in mail-in votes for the presidential election.,The New York Times,Washington,U.S.,"['Absentee Voting', 'Postal Service and Post Offices', 'Inspectors General', 'Voter Registration and Requirements', 'States (US)', 'Primaries and Caucuses', 'Presidential Election of 2020', 'United States Politics and Government']"
A Top Fed Official Warns That Economic Risks Aren’t Over,2020-09-01,article,News,"Lael Brainard, a Federal Reserve governor, said government support would be needed to support households and businesses as pandemic-induced pain continued.",The New York Times,Business,Business Day,"['United States Economy', 'Interest Rates', 'Banking and Financial Institutions', 'Inflation (Economics)', 'Coronavirus (2019-nCoV)']"
"Paul Rusesabagina of ‘Hotel Rwanda’ Fame Was ‘Kidnapped,’ Daughter Says",2020-09-01,article,News,"He was in Dubai for a meeting, then reappeared in Rwanda, where authorities said the famed hotelier was arrested on charges including terrorism, arson and murder.",The New York Times,Foreign,World,[]
Army to Investigate Chain of Command’s Actions at Fort Hood After Killing,2020-09-01,article,News,Army Secretary Ryan D. McCarthy asked those leading the inquiry to examine whether commanders at the Texas base allowed a climate of harassment to spread.,The New York Times,Washington,U.S.,"['Murders, Attempted Murders and Homicides', 'Sexual Harassment', 'United States Defense and Military Forces']"
"A Statue of Canada’s First Prime Minister Is Toppled, but Politicians Want It Restored",2020-09-01,article,News,John A. Macdonald was a divisive figure who tried to wipe out Indigenous Canadian culture. Some leading politicians — including Trudeau — criticized the vandalism of his statue.,The New York Times,Foreign,World,"['Monuments and Memorials (Structures)', 'Indigenous People']"
Biden Campaign Courts the Animal Crossing Island Vote With Yard Signs,2020-09-01,article,News,"Past candidates have tried to capitalize on popular video games, with mixed results. Will it be different this time, in the island paradises of the Nintendo Switch?",The New York Times,Express,U.S.,"['Presidential Election of 2020', 'Computer and Video Games', 'Voting and Voters', 'Politics and Government', 'Political Advertising', 'Coronavirus (2019-nCoV)', 'ADVERTISING AND MARKETING', 'Social Media']"
Charlie Hebdo Republishes Cartoons That Prompted Deadly 2015 Attack,2020-09-01,article,News,The decision by the French satirical magazine to recirculate cartoons about the Prophet Muhammad and Islam coincides with the start of a long-awaited trial for the attack that killed 11 of its staff.,The New York Times,Foreign,World,"['Terrorism', 'Politics and Government', 'Freedom of Speech and Expression', 'Freedom of the Press', 'Magazines', 'Muslims and Islam', 'Cartoons and Cartoonists']"
