headline,date,doc_type,type_of_material,snippet,source,news_desk,section_name,keywords
Celebrities lend Biden a hand in turning out the vote in Philadelphia.,2020-11-01,article,News,,The New York Times,Politics,U.S.,[]
"‘They’re coming after our state,’ McSally warns Arizona Republicans.",2020-11-01,article,News,,The New York Times,Politics,U.S.,[]
Got Worries? Make Newspaper Dolls to Catch Them,2020-11-01,article,News,Whispering your fears to these little dolls made of rolled newspaper might help you sleep better.,The New York Times,AtHome,At Home,"['Quarantine (Life and Culture)', 'Dolls', 'Handicrafts']"
Learn the Etiquette of Virtual Weddings,2020-11-01,article,News,The answers to all your 2020 pandemic wedding dilemmas.,The New York Times,AtHome,At Home,"['Quarantine (Life and Culture)', 'Content Type: Service', 'Weddings and Engagements', 'Videophones and Videoconferencing', 'Parties (Social)', 'Customs, Etiquette and Manners']"
Listen to the Globe,2020-11-01,article,News,Radio programming from around the world is available on the internet or through apps.,The New York Times,AtHome,At Home,"['Quarantine (Life and Culture)', 'Radio', 'Music']"
Tap LinkedIn for Career Opportunities,2020-11-01,article,News,"Whether you’re looking for a new role or just trying to expand your professional network, here’s how to use the website’s services to your full advantage.",The New York Times,AtHome,At Home,"['Quarantine (Life and Culture)', 'Content Type: Service', 'Social Media', 'Careers and Professions', 'Hiring and Promotion']"
Don’t Give In to ‘Election Stress Disorder’,2020-11-01,article,News,"Voting day won’t bring an end to the strain of this political season, but you don’t have to let things get contentious.",The New York Times,AtHome,At Home,"['Quarantine (Life and Culture)', 'Content Type: Service', 'Presidential Election of 2020', 'Anxiety and Stress', 'Politics and Government']"
"This Election Week, Revisit the Constitution, Then Soothe Your Stressed Mind",2020-11-01,article,News,"Calm your nerves with a meditation guide, a night at the Seattle Symphony and a day among the sea otters at the Monterey Bay Aquarium.",The New York Times,AtHome,At Home,"['Quarantine (Life and Culture)', 'Theater', 'Dancing', 'Meditation', 'Music', 'Classical Music', 'Art']"
Vehicles flying Trump flags try to force a Biden-Harris campaign bus off a highway in Texas.,2020-11-01,article,News,Vehicles flying Trump flags tried to force a Biden-Harris campaign bus off a highway in Texas. Trump chuckled about it at a rally later that evening.,The New York Times,Politics,U.S.,[]
"Trump moves Florida rally up by two hours, but it could still run afoul of a local curfew.",2020-11-01,article,News,A Trump rally planned for late Sunday in Florida could run afoul of a local curfew.,The New York Times,Politics,U.S.,[]
"With just two days until Election Day, all eyes are on Pennsylvania.",2020-11-01,article,News,"All eyes are on Pennsylvania, which both presidential campaigns seem to believe could determine the outcome of the race.",The New York Times,Politics,U.S.,[]
8 Pro-Democracy Politicians Arrested in Hong Kong Over Heated Meeting,2020-11-01,article,News,"The Hong Kong politicians were arrested in connection with a contentious meeting in May, when the local legislature’s chambers were filled with protest over a battle for control over a key committee.",The New York Times,Foreign,World,"['Politics and Government', 'Law and Legislation', 'Hong Kong Protests (2019)', 'Demonstrations, Protests and Riots']"
Halloween Stabbing Attack in Quebec City Leaves 2 Dead,2020-11-01,article,News,The police arrested a 24-year-old man who they said was dressed in medieval garb and carrying a sword when he went on a rampage.,The New York Times,Foreign,World,"['Murders, Attempted Murders and Homicides', 'Halloween']"
‘He Managed a Smile and Thanked Charles for the Compliment’,2020-11-01,article,News,"A reunion with a well-dressed teacher, a tricky census question and more reader tales of New York City in this week’s Metropolitan Diary.",The New York Times,Metropolitan,New York,[]
Inside One Brooklyn Restaurant’s Desperate Fight to Survive the Pandemic,2020-11-01,article,News,"Half of New York City’s 24,000 restaurants could go out of business. Gertie is fighting to avoid becoming one of them.",The New York Times,Metro,New York,"['Restaurants', 'Coronavirus (2019-nCoV)', 'Renting and Leasing (Real Estate)', 'Landlords', 'Bars and Nightclubs', 'Shutdowns (Institutional)']"
"Preaching or Avoiding Politics, Conservative Churches Walk a Delicate Line",2020-11-01,article,News,"Pastors can’t endorse or oppose candidates from the pulpit, and many of them don’t want to. But that doesn’t mean they’re ignoring politics.",The New York Times,National,U.S.,"['Ministers (Protestant)', 'Presidential Election of 2020', 'Christians and Christianity', 'Endorsements', 'Religion-State Relations']"
