headline,date,doc_type,type_of_material,snippet,source,news_desk,section_name,keywords
"A poll reveals another U.S. vaccine divide, this one by household.",2021-07-01,article,News,Workers were more likely to get a shot when their employers encouraged them and provided paid time off.,The New York Times,Foreign,U.S.,"['Vaccination and Immunization', 'Paid Time Off', 'Polls and Public Opinion']"
Judge Blocks Florida Law Regulating Social Media Companies,2021-07-01,article,News,"It would fine companies like Facebook, YouTube and Twitter if they permanently bar candidates for office in the state.",The New York Times,Business,Technology,"['Social Media', 'Censorship', 'Computers and the Internet', 'Decisions and Verdicts', 'Law and Legislation']"
James Franco Agrees to Pay $2.2 Million to Settle Sexual Misconduct and Fraud Lawsuits,2021-07-01,article,News,"Two former students of Mr. Franco’s acting school had accused him of subjecting them to sexually exploitative auditions and film shoots. In the proposed settlement, he did not admit wrongdoing.",The New York Times,Express,U.S.,"['Suits and Litigation (Civil)', 'Compensation for Damages (Law)', 'Women and Girls', 'Sex Crimes', 'Frauds and Swindling', 'Actors and Actresses']"
Pictures From a Revolution: China’s Communists Mark a Centennial,2021-07-01,article,News,The improbable rise of a superpower that was born in the rubble of dynasty and fears it may yet meet the same fate.,The New York Times,Foreign,World,"['Politics and Government', 'Hong Kong Protests (2019)']"
Infighting and Poor Planning Leave Condo Sites in Disrepair,2021-07-01,article,News,"Under pressure to keep costs down, many condo boards around the country have little money set aside for big repairs like the ones needed in Surfside, Fla. Some are looking to force a change.",The New York Times,National,U.S.,"['Surfside, Fla, Building Collapse (2021)', 'Condominiums', 'Home Repairs and Improvements']"
President Biden meets with rescue workers during his visit to Florida.,2021-07-01,article,News,"Mr. Biden and his wife, Jill Biden, are scheduled to meet with families of the victims of the condo collapse in Surfside, Fla.",The New York Times,National,U.S.,"['Surfside, Fla, Building Collapse (2021)']"
"Digital vaccination cards go into effect in Europe, with some turbulence.",2021-07-01,article,News,"“This can only work for travelers if member states implement it in a harmonized way,” said an official representing Europe’s largest air carriers.",The New York Times,Foreign,World,"['Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Travel and Vacations']"
Knowing What Your Co-Worker Makes Doesn’t Close the Pay Gap,2021-07-01,article,News,Salary transparency is intended to help address inequities. But making the number public doesn’t seem to move the needle.,The New York Times,SundayBusiness,Business Day,"['Wages and Salaries', 'Income Inequality', 'Discrimination', 'Women and Girls', 'Men and Boys', 'Labor and Jobs']"
Shrinking Elephants Once Called Sicily Home,2021-07-01,article,News,"New research suggests that in as little as 40 generations, elephants could have become dwarf size on the island off Italy’s boot.",The New York Times,Science,Science,"['Elephants', 'Endangered and Extinct Species', 'Paleontology', 'Evolution (Biology)', 'Genetics and Heredity', 'Fossils', 'your-feed-science', 'your-feed-animals']"
"A Covid Epicenter Hustles Back to Life: ‘What You See, It’s Survival’",2021-07-01,article,News,The neighborhoods in Queens that reeled during the pandemic are buzzing. But recovery feels very far away.,The New York Times,Metro,New York,"['Quarantine (Life and Culture)', 'Coronavirus (2019-nCoV)', 'Shutdowns (Institutional)', 'Labor and Jobs', 'Renting and Leasing (Real Estate)', 'Real Estate and Housing (Residential)', 'Unemployment', 'Evictions', 'Real Estate (Commercial)', 'Immigration and Emigration', 'Coronavirus Reopenings', 'audio-neutral-informative', 'audio-negative-tragedy']"
"In Greece, It’s Almost Normal",2021-07-01,article,News,"In Athens and on the island of Paros, a visitor joins other international travelers in search of that idyllic European vacation they’ve been yearning for.",The New York Times,Travel,Travel,"['Travel and Vacations', 'Coronavirus Reopenings', 'Quarantine (Life and Culture)']"
What Happens to the ‘Weed Spot’ Now That Weed Is Legal?,2021-07-01,article,News,New Yorkers on not having to sneak off to smoke marijuana.,The New York Times,Metropolitan,New York,"['Marijuana', 'Law and Legislation', 'Black People', 'Blacks']"
"Nissan plans a U.K. battery factory, a lift for the post-Brexit auto industry.",2021-07-01,article,News,"The Japanese carmaker will also make a new electric vehicle in England as part of a £1 billion investment, partly supported by the government.",The New York Times,Business,Business Day,"['Automobiles', 'Electric and Hybrid Vehicles', 'Factories and Manufacturing', 'Great Britain Withdrawal from EU (Brexit)', 'International Trade and World Market', 'Batteries']"
"Marking Party’s Centennial, Xi Warns That China Will Not Be Bullied",2021-07-01,article,News,"A century after the Communist Party’s founding, China’s leader said foreign powers would “crack their heads and spill blood” if they tried to stop its rise.",The New York Times,Foreign,World,[]
Indonesia announces restrictions for two major islands as the Delta variant spreads.,2021-07-01,article,News,,The New York Times,Foreign,World,"['Shutdowns (Institutional)', 'Quarantine (Life and Culture)', 'Coronavirus (2019-nCoV)', 'Deaths (Fatalities)']"
Automania at MoMA Balances Celebration and Criticism of Cars,2021-07-01,article,News,"The exhibition opens on July Fourth, a holiday that has come to symbolize motorized freedom and parade-queen convertibles.",The New York Times,Business,Business Day,"['Automobiles', 'Art', 'Museums']"
