headline,date,doc_type,type_of_material,snippet,source,news_desk,section_name,keywords
Investment Firm’s Collapse Put Unseen Risks on Full Display,2021-04-01,article,News,Archegos Capital Management’s use of swaps helped conceal its exposure to huge blocks of shares but showed once again how lightly regulated derivatives can shake the financial system.,The New York Times,Business,Business Day,"['Derivatives (Financial Instruments)', 'Regulation and Deregulation of Industry', 'Banking and Financial Institutions', 'Stocks and Bonds', 'Hedge Funds']"
Clerk Who Questioned $20 Bill Watched Floyd Arrest With ‘Disbelief and Guilt’,2021-04-01,article,News,"During the third day of Derek Chauvin’s trial, witness after witness agonized over whether they could have done anything to stop what would eventually happen to George Floyd.",The New York Times,National,U.S.,"['Murders, Attempted Murders and Homicides', 'Police Brutality, Misconduct and Shootings', 'Black People', 'Blacks']"
Investigators say a Trump aide took it upon himself to award hefty pandemic contracts.,2021-04-01,article,News,"Peter Navarro, frustrated by the snail’s pace response to Covid-19, gave contracts worth hundreds of millions of dollars to politically connected or novice companies, according to a House inquiry.",The New York Times,Washington,World,"['internal-essential', 'Coronavirus (2019-nCoV)', 'Government Contracts and Procurement']"
"Jill Biden, in California, Lends Support to Farmworkers Seeking Vaccinations",2021-04-01,article,News,"The first lady was in Delano, Calif., to mark the birthday of César Chávez, the labor organizer who formed the country’s first successful farmworkers’ union.",The New York Times,Washington,U.S.,"['Agriculture and Farming', 'Workplace Hazards and Violations', 'Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Organized Labor', 'Citizenship and Naturalization', 'American Rescue Plan (2021)', 'United States Economy', 'United States Politics and Government']"
Man Is Charged With Smuggling in Crash That Killed 13 Migrants in California,2021-04-01,article,News,More than two dozen people were crowded into an S.U.V. that collided with a tractor-trailer near the border. Jose Cruz Noguez was accused of coordinating the smuggling attempt.,The New York Times,Express,U.S.,"['Traffic Accidents and Safety', 'Illegal Immigration', 'Smuggling']"
"For many college students, pandemic life is disappointing. For others, it is a financial crisis.",2021-04-01,article,News,"As campuses struggle under the shadow of the pandemic, many students report having trouble paying for food, housing and other basic needs.",The New York Times,Foreign,World,"['internal-essential', 'Coronavirus (2019-nCoV)', 'Colleges and Universities', 'Poverty']"
Child Care in Crisis: Can Biden’s Plan Save It?,2021-04-01,article,News,"Child-care centers improvised during the pandemic, scrambling to stay open with razor-thin budgets and little government guidance. How long will the short-term solutions last?",The New York Times,Business,U.S.,"['Child Care', 'Labor and Jobs', 'Women and Girls', 'Coronavirus (2019-nCoV)', 'Small Business']"
"Ray LaHood, Obama’s transportation secretary, failed to disclose a $50,000 check from an associate of a Lebanese-Nigerian billionaire.",2021-04-01,article,News,"Mr. LaHood did not disclose the check on two government ethics forms, federal prosecutors said.",The New York Times,Washington,U.S.,"['Ethics and Official Misconduct', 'Fines (Penalties)']"
Hong Kong Court Convicts Democracy Leaders Over Protest March,2021-04-01,article,News,"The defendants, including the media tycoon Jimmy Lai and the barristers Martin Lee and Margaret Ng, were some of the city’s most prominent activists.",The New York Times,Foreign,World,"['Hong Kong Protests (2019)', 'Politics and Government', 'Freedom of Speech and Expression', 'Freedom of Assembly', 'Political Prisoners']"
A 9-Year-Old Boy Is Among 4 Killed in Southern California Shooting,2021-04-01,article,News,"The authorities said the boy died in the arms of a woman, believed to be his mother, who was trying to protect him. The woman was wounded and hospitalized.",The New York Times,National,U.S.,"['Mass Shootings', 'Murders, Attempted Murders and Homicides']"
