headline,date,doc_type,type_of_material,snippet,source,news_desk,section_name,keywords
"Glum to Gleeful, Israeli Media React to Possible End of Netanyahu Era",2021-06-01,article,News,In Israel’s newspapers — as fractured as its electorate — the opinions on the possible fall of Prime Minister Benjamin Netanyahu were as emphatic as they were varied.,The New York Times,Foreign,World,[]
Illinois Lawmakers Bar Police From Using Deception When Interrogating Minors,2021-06-01,article,News,A bill that passed the General Assembly with bipartisan support on Sunday would make Illinois the first state to prohibit officers from lying when interrogating those under 18.,The New York Times,Express,U.S.,"['Confessions', 'State Legislatures', 'False Arrests, Convictions and Imprisonments', 'Interrogations', 'Criminal Justice', 'Youth']"
Australia’s softball players are among the first Olympic athletes to arrive in Japan.,2021-06-01,article,News,"The team will be confined to one floor of a hotel as it prepares for the Tokyo Games, which are scheduled to begin July 23 despite a coronavirus outbreak and growing public opposition.",The New York Times,Foreign,World,"['internal-essential', 'Olympic Games', 'Softball', 'Athletics and Sports', 'Coronavirus (2019-nCoV)']"
Something Bothering You? Tell It to Woebot.,2021-06-01,article,News,"When your therapist is a bot, you can reach it at 2 a.m. But will it really understand your problems?",The New York Times,Science,Health,"['Therapy and Rehabilitation', 'Anxiety and Stress', 'Mental Health and Disorders', 'Psychology and Psychologists', 'Artificial Intelligence', 'Mobile Applications', 'Depression (Mental)', 'Psychiatry and Psychiatrists']"
Four Lessons From Your Anxious Brain,2021-06-01,article,News,Pandemic life has saddled us with lots of conflicting emotions. Here’s how to cope with feelings of uncertainty and make a fresh start.,The New York Times,Well,Well,"['Content Type: Service', 'Quarantine (Life and Culture)', 'Anxiety and Stress', 'Habits and Routines (Behavior)', 'Coronavirus (2019-nCoV)', 'Brain']"
Why a New Mexico House Race Is a Crucial Test of the G.O.P. Focus on Crime,2021-06-01,article,News,"In a special election to replace Deb Haaland, Democrats are bolstering their nominee, taking no chances that a law-and-order argument against her will cost them what should be a safe House seat.",The New York Times,Politics,U.S.,"['United States Politics and Government', 'Elections, House of Representatives', 'Police Reform', 'Race and Ethnicity']"
"Will the Excelsior Pass, New York’s Vaccine Passport, Catch On?",2021-06-01,article,News,"More than one million Excelsior passes have been downloaded since they were introduced, but officials are hoping they will be adopted more widely.",The New York Times,Metro,New York,"['Vaccination Proof and Immunization Records', 'Coronavirus (2019-nCoV)', 'Bars and Nightclubs', 'Mobile Applications', 'Vaccination and Immunization', 'Privacy', 'Identification Devices']"
China Wants More Babies. Some Men Choose Vasectomies.,2021-06-01,article,News,"As the Chinese government tries to increase the country’s falling birthrate, some millennials are striving for a lifestyle commonly known as “Double Income, No Kids.”",The New York Times,Foreign,World,"['Vasectomy', 'Birth Control and Family Planning', 'Population', 'Single Persons', 'Sterilization (Reproductive)', 'Census', 'Parenting']"
Why Teens Need a Break This Summer,2021-06-01,article,News,The pandemic has been the psychological workout of their lives. The next few months can be a time of recovery.,The New York Times,Well,Well,"['Summer (Season)', 'Coronavirus (2019-nCoV)', 'Teenagers and Adolescence', 'Youth', 'Friendship', 'Parenting']"
China’s Concrete Jungles Make Room for Green Space,2021-06-01,article,News,"A national push to build urban parks is transforming Chinese cities, as the country tries to improve the quality of daily life.",The New York Times,Business,Business Day,"['Parks and Other Recreation Areas', 'Urban Areas', 'Area Planning and Renewal', 'Building (Construction)', 'Real Estate (Commercial)', 'Politics and Government']"
How to Rearrange Your Post-Pandemic ‘Friendscape’,2021-06-01,article,News,Re-entry offers an opportunity to choose which relationships we wish to resurrect and which are better left dormant.,The New York Times,Well,Well,"['Content Type: Service', 'Friendship', 'Quarantine (Life and Culture)', 'Coronavirus (2019-nCoV)', 'Loneliness', 'Dating and Relationships']"
"Dream Trips Without the Crowds? That’s the Hope, Anyway.",2021-06-01,article,News,"Tour companies are reporting a resurgence in interest for trips to bucket-list destinations, where travelers can still see the sites without being jostled.",The New York Times,Travel,Travel,"['Travel and Vacations', 'Vaccination and Immunization', 'Coronavirus (2019-nCoV)']"
Seasonal Affective Disorder Isn’t Just for Winter,2021-06-01,article,News,Feeling blue even though everyone seems to be basking in perfect summer weather? There might be a good reason for that.,The New York Times,Well,Well,"['Summer (Season)', 'Seasonal Affective Disorder (SAD)', 'Depression (Mental)', 'Therapy and Rehabilitation', 'Psychiatry and Psychiatrists', 'Weather', 'Pollen', 'Research', 'Content Type: Service']"
"As Biden Vows to ‘Fight Like Heck,’ Voting Overhaul Falters in Congress",2021-06-01,article,News,Opposition from Republicans and some of their own senators has left Democrats struggling to determine whether they should try to nix the filibuster to save a top priority.,The New York Times,Washington,U.S.,"['Voter Registration and Requirements', 'Absentee Voting', 'Campaign Finance', 'Redistricting and Reapportionment', 'Political Action Committees', 'Elections', 'Law and Legislation', 'Filibusters and Debate Curbs', 'United States Politics and Government', 'States (US)', 'Civil Rights and Liberties']"
"A Rural-Urban Broadband Divide, but Not the One You Think Of",2021-06-01,article,News,"Many more people in cities lack broadband access than in rural areas, but lawmakers are primarily focused on extending high-speed access to remote areas.",The New York Times,Business,Business Day,"['Urban Areas', 'Rural Areas', 'Computers and the Internet', 'Prices (Fares, Fees and Rates)', 'Poverty', 'Income Inequality', 'Telephones and Telecommunications', 'Fiber Optics', 'American Jobs Plan (2021)', 'United States Politics and Government']"
How the World Ran Out of Everything,2021-06-01,article,News,Global shortages of many goods reflect the disruption of the pandemic combined with decades of companies limiting their inventories.,The New York Times,Business,Business Day,"['Shortages', 'Factories and Manufacturing', 'International Trade and World Market', 'Automobiles', 'Computer Chips', 'Shutdowns (Institutional)', 'Ships and Shipping', 'Stockpiling', 'Stock Buybacks', 'United States Economy', 'Coronavirus (2019-nCoV)']"
"Amid Historic Drought, a New Water War in the West",2021-06-01,article,News,"A drought crisis has erupted in the Klamath Basin along the California-Oregon border, with fish dying en masse and farmers infuriated that they have been cut off from their main water source.",The New York Times,National,U.S.,"['Drought', 'Agriculture and Farming', 'Endangered and Extinct Species', 'Water', 'Fish and Other Marine Life', 'Wildlife Die-Offs', 'Native Americans', 'Salmon', 'Irrigation']"
"Disputing Racism’s Reach, Republicans Rattle American Schools",2021-06-01,article,News,"In a culture-war brawl that has spilled into the country’s educational system, Republicans at the local, state and national levels are trying to block curriculums that emphasize systemic racism.",The New York Times,Politics,U.S.,"['Education (K-12)', 'Race and Ethnicity', 'History (Academic Subject)', 'Discrimination', 'Black People', 'Blacks', 'Whites', 'Slavery (Historical)', 'State Legislatures', 'Politics and Government', 'United States Politics and Government']"
Want Your Nails Done? Let a Robot Do It.,2021-06-01,article,News,"Start-ups are using technology to take a robotic approach to manicures, offering a simple way to provide foolproof nail polish.",The New York Times,Business,Technology,"['Nails (Body Part)', 'Robots and Robotics', 'Artificial Intelligence', 'Beauty Salons', 'Start-ups', 'Computer Vision']"
The Fantasy of a Cotswolds Country Home Meets Reality in Westchester,2021-06-01,article,News,"The plan was to do a quick cosmetic update. Then a couple found out the plumbing, electrical and septic systems were shot. And the house was sinking.",The New York Times,RealEstate,Real Estate,"['Real Estate and Housing (Residential)', 'Interior Design and Furnishings', 'Restoration and Renovation', 'Home Repairs and Improvements', 'Content Type: Service', 'Furniture', 'Quarantine (Life and Culture)']"
