headline,date,doc_type,type_of_material,snippet,source,news_desk,section_name,keywords
‘Battling a Demon’: Drifter Sought Help Before Texas Church Shooting,2020-01-01,article,News,"The gunman who shot two parishioners at the West Freeway Church of Christ had come earlier looking for food and money, church leaders said.",The New York Times,National,U.S.,"['Churches (Buildings)', 'Murders, Attempted Murders and Homicides']"
F.D.A. Plans to Ban Most E-Cigarette Flavors but Menthol,2020-01-01,article,News,The tobacco and vaping industries and conservative allies intensively lobbied against a ban on popular flavored e-cigarettes.,The New York Times,Science,Health,"['E-Cigarettes', 'Recalls and Bans of Products', 'Menthol', 'Nicotine', 'Teenagers and Adolescence', 'Regulation and Deregulation of Industry', 'Smoking and Tobacco', 'Lobbying and Lobbyists', 'United States Politics and Government', 'your-feed-healthcare']"
Hong Kong Protesters Return to Streets as New Year Begins,2020-01-01,article,News,"Weeks of relative calm ended on Wednesday, as people marched in large numbers and the police deployed tear gas and pepper spray.",The New York Times,Foreign,World,"['Demonstrations, Protests and Riots', 'Hong Kong Protests (2019)', 'New Year']"
Kevin Spacey Accuser’s Estate Drops Sexual Assault Lawsuit,2020-01-01,article,News,"A Los Angeles County massage therapist, who died in September, had accused Mr. Spacey of groping him and making improper advances during a 2016 massage.",The New York Times,Express,U.S.,"['Sexual Harassment', 'Suits and Litigation (Civil)', 'Movies', '#MeToo Movement', 'Television', 'ACTORS AND ACTRESSES', 'Massage', 'Sex Crimes', 'Academy Awards (Oscars)', 'Golden Globes (Awards)', 'Tony Awards (Theater Awards)']"
Dizzying Day for Trump Caps a Year Full of Them,2020-01-01,article,News,"The president monitored a Middle East crisis from his golf club, threatened Iran and implored reporters to be “honorable” in 2020.",The New York Times,Washington,U.S.,"['United States International Relations', 'United States Politics and Government', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry']"
Meteor Showers in 2020 That Will Light Up Night Skies,2020-01-01,article,News,"All year long, Earth passes through streams of cosmic debris. Here’s a list of major meteor showers and how to spot one.",The New York Times,Science,Science,"['Meteors and Meteorites', 'Space and Astronomy', 'Earth', 'Solar System']"
"Rocket Launches, Trips to Mars and More 2020 Space and Astronomy Events",2020-01-01,article,News,"A year full of highs and lows in space just ended, and the 12 months to come  will be full of new highlights in orbit and beyond.",The New York Times,Science,Science,"['Space and Astronomy', 'Private Spaceflight', 'Rocket Science and Propulsion', 'Moon', 'Mars (Planet)', 'Sun', 'Mars 2020 (Mars Rover)', 'Satellites', 'International Space Station', 'Comets', 'Perseverance (Mars Rover)', 'Emirates Mars Mission', 'Tianwen-1 (Mars Mission)']"
How the U.S. Embassy in Iraq Became a Target,2020-01-01,article,News,"After months of turmoil in Iraq, U.S. airstrikes against a pro-Iranian militia drew a backlash.",The New York Times,Foreign,World,"['Politics and Government', 'United States International Relations', 'United States Defense and Military Forces', 'Defense and Military Forces', 'Demonstrations, Protests and Riots', 'Diplomatic Service, Embassies and Consulates', 'Corruption (Institutional)']"
10 Electric Vehicles to Watch,2020-01-01,article,News,"Sales doubled in 2019, but the industry’s tipping point — severing ties to the gas pump — still lies ahead. These cars will help make that happen.",The New York Times,Business,Business Day,"['Electric and Hybrid Vehicles', 'Automobile Service and Charging Stations', 'Batteries']"
Why the Fires in Australia Are So Bad,2020-01-01,article,News,"Bush fire season is nothing new to Australians, but this summer has been calamitous — and it’s far from over.",The New York Times,Foreign,World,"['Fires and Firefighters', 'Wildfires', 'Global Warming']"
