headline,date,doc_type,type_of_material,snippet,source,news_desk,section_name,keywords
Full Text of Cuomo’s Statement in Response to Harassment Accusations,2021-03-01,article,News,Gov. Andrew Cuomo issued a statement on Sunday in response to accusations of sexual harassment.,The New York Times,Metro,New York,"['Sexual Harassment', 'Speeches and Statements']"
Forget ‘Succession.’ You Can Watch ‘90 Day Fiancé’ for 100 Hours Straight.,2021-03-01,article,News,"Discovery’s new app has taken off largely because viewers love watching people fix houses, tour diners and bicker about their relationships.",The New York Times,Business,Business Day,"['Mobile Applications', 'Video Recordings, Downloads and Streaming', 'Reality Television', 'Television']"
"CPAC Takeaways: Trump Dominates, and DeSantis and Noem Stand Out",2021-03-01,article,News,"At their three-day gathering, pro-Trump conservatives tried to turn “cancel culture” into their new “fake news” and spent little time on policy (either their own or President Biden’s).",The New York Times,Politics,U.S.,"['Presidential Election of 2020', 'Voter Fraud (Election Fraud)']"
Trump Revives Familiar Falsehoods in CPAC Speech,2021-03-01,article,News,The former president attacked his successor and continued to claim that he won the 2020 election.,The New York Times,Washington,U.S.,"['United States Politics and Government', 'Rumors and Misinformation']"
Ron Johnson Says He Still Has Many Unanswered Questions,2021-03-01,article,News,"The Republican senator from Wisconsin is known for regularly promoting fringe theories favored by the right, most recently questioning the fact that pro-Trump rioters attacked the Capitol.",The New York Times,Politics,U.S.,"['Storming of the US Capitol (Jan, 2021)', 'Antifa Movement (US)', 'Elections, Senate', 'United States Politics and Government', 'Fringe Groups and Movements', 'Right-Wing Extremism and Alt-Right']"
Thousands of Farmworkers Are Prioritized for the Coronavirus Vaccine,2021-03-01,article,News,"A landmark initiative in California is taking vaccines to the fields, targeting an immigrant work force that is at high risk for Covid-19. Many of the workers are undocumented.",The New York Times,National,U.S.,"['Vaccination and Immunization', 'Migrant Labor (Agriculture)', 'Coronavirus (2019-nCoV)']"
How Pro-Trump Forces Pushed a Lie About Antifa at the Capitol Riot,2021-03-01,article,News,"On social media, on cable networks and even in the halls of Congress, supporters of Donald J. Trump tried to rewrite history in real time, pushing the fiction that left-wing agitators were to blame for the violence on Jan. 6.",The New York Times,Politics,U.S.,"['Antifa Movement (US)', 'Storming of the US Capitol (Jan, 2021)', 'Demonstrations, Protests and Riots', 'Capitol Building (Washington, DC)', 'United States Politics and Government', 'News and News Media', 'Right-Wing Extremism and Alt-Right']"
Diagnosing Autism in the Pandemic,2021-03-01,article,News,Autism spectrum disorder is often suspected when young children stand out as being different from their peers. That can be much harder in this isolated time.,The New York Times,Well,Well,"['Children and Childhood', 'Autism', 'Quarantine (Life and Culture)', 'Telemedicine', 'Anxiety and Stress', 'Parenting', 'Families and Family Life']"
Why I Overcame My Vaccine Hesitancy,2021-03-01,article,News,"The more people who become immune to the virus, the less this scourge will be able to mutate and evade the vaccines already available.",The New York Times,Well,Well,"['Coronavirus (2019-nCoV)', 'Vaccination and Immunization']"
She Was Seen as a Victim in the Sarah Lawrence Cult Case. Now She’s Charged.,2021-03-01,article,News,"Isabella Pollok was one of the students at Sarah Lawrence College who prosecutors said was exploited by a classmate’s father, Lawrence V. Ray. Now she is under indictment, too.",The New York Times,Metro,New York,"['Women and Girls', 'Human Trafficking', 'Psychology and Psychologists', 'Sex Crimes', 'Religious Cults']"
Biden Seeks Help on Border From Mexican President,2021-03-01,article,News,"As the president looks to undo his predecessor’s immigration policies, he is hoping for cooperation from a Mexican counterpart who was a contributor to them.",The New York Times,Washington,U.S.,"['United States Politics and Government', 'United States International Relations', 'Immigration and Emigration', 'Illegal Immigration']"
"Warren Revives Wealth Tax, Citing Pandemic Inequalities",2021-03-01,article,News,"A tax on the net worth of America’s wealthiest individuals remains popular with voters, but has yet to be embraced by President Biden.",The New York Times,Washington,Business Day,"['Taxation', 'High Net Worth Individuals', 'United States Economy', 'United States Politics and Government', 'Federal Taxes (US)', 'Coronavirus (2019-nCoV)', 'Law and Legislation']"
A Texas Couple Try a Rent-to-Own Apartment on the Lower East Side,2021-03-01,article,News,Most apartments are either for sale or for rent. The one they chose was both.,The New York Times,RealEstate,Real Estate,"['Renting and Leasing (Real Estate)', 'Real Estate and Housing (Residential)', 'Quarantine (Life and Culture)']"
China Charges Ahead With a National Digital Currency,2021-03-01,article,News,"The electronic Chinese yuan is now being tested in cities such as Shenzhen, Shanghai and Beijing. No other major power is as far along with a homegrown digital currency.",The New York Times,Business,Technology,"['Virtual Currency', 'Renminbi (Currency)', 'Politics and Government', 'Bitcoin (Currency)', 'Banking and Financial Institutions', 'Currency', 'Mobile Commerce and Payments', 'Mobile Applications', 'Innovation', 'Computers and the Internet']"
Sexual Harassment Claims Against Cuomo: What We Know So Far,2021-03-01,article,News,"Multiple women have accused Gov. Andrew Cuomo of sexual harassment or inappropriate behavior, prompting calls for his resignation.",The New York Times,Metro,New York,"['Politics and Government', 'Sexual Harassment', 'Nursing Homes', 'Coronavirus (2019-nCoV)', 'Special Prosecutors (Independent Counsel)']"
"Cuomo in Crisis, Republicans Emerging: Updates From New York’s Mayoral Race",2021-03-01,article,News,"Several major candidates called for an investigation into Gov. Andrew M. Cuomo, as two Republicans vied for key endorsements.",The New York Times,Metro,New York,"['Elections, Mayors', 'Primaries and Caucuses', 'Sexual Harassment', 'Endorsements', 'Coronavirus Reopenings']"
Surf’s Up. The Temperature Isn’t.,2021-03-01,article,News,Growing numbers of surfers are taking to the Great Lakes — even when the weather is well below freezing.,The New York Times,Travel,Travel,"['Surfing', 'Lakes', 'Snow and Snowstorms', 'Travel and Vacations']"
Thousands of farmworkers are prioritized for vaccinations.,2021-03-01,article,News,,The New York Times,Foreign,World,['internal-essential']
"In a packed intensive care unit, here’s a glimpse behind the lines of Britain’s Covid war.",2021-03-01,article,News,,The New York Times,Foreign,World,['internal-essential']
"The Philippines begins its inoculation campaign, but public distrust runs deep.",2021-03-01,article,News,,The New York Times,Foreign,World,['internal-essential']
Meteor Streaks Like a Firework Across U.K. Night Sky,2021-03-01,article,News,Those who looked up just before 10 p.m. on Sunday were treated to the sight of a fireball meteor.,The New York Times,Foreign,World,"['Meteors and Meteorites', 'Space and Astronomy']"
Hundreds in Rare Hong Kong Protest as Opposition Figures Are Charged,2021-03-01,article,News,A Chinese official has called for severe punishment of opposition figures facing charges under a new national security law.,The New York Times,Foreign,World,"['Hong Kong Protests (2019)', 'Politics and Government']"
Welcome to Heidelberg. Please leave your car at the gates.,2021-03-01,article,News,,The New York Times,Business,Business Day,[]
Massachusetts is one of the first states to create rules around facial recognition in criminal investigations.,2021-03-01,article,News,,The New York Times,Business,Business Day,[]
What Warren Buffett Is Buying,2021-03-01,article,News,The Oracle of Omaha isn’t taking as many risks as he used to.,The New York Times,Business,Business Day,"['Mergers, Acquisitions and Divestitures', 'Private Equity']"
U.K. officials search for a person who tested positive for a concerning variant.,2021-03-01,article,News,,The New York Times,Foreign,World,['internal-essential']
United Adds to Its Orders for Boeing 737 Max Planes,2021-03-01,article,News,"The airline is also speeding up deliveries of the planes in a show of confidence in the jet, which was recently allowed to fly again after major updates.",The New York Times,Business,Business Day,"['AIRLINES AND AIRPLANES', 'Coronavirus (2019-nCoV)', 'Boeing 737 Max Groundings and Safety Concerns (2019)']"
"Amid turmoil over elections, rising cases in Somalia fuel talk of a new lockdown.",2021-03-01,article,News,,The New York Times,Foreign,World,[]
Ex-President Sarkozy Gets Jail Sentence for Corruption in France,2021-03-01,article,News,"Nicolas Sarkozy was accused of trying to obtain confidential information from a judge by offering to help him land a job. He received a sentence of at least one year, but said he would appeal.",The New York Times,Foreign,World,"['Politics and Government', 'Decisions and Verdicts', 'Bribery and Kickbacks', 'Courts and the Judiciary']"
‘Your Personality Deforms’: Navalny Sent to Notoriously Harsh Prison,2021-03-01,article,News,"Convicts in the isolation unit at Penal Colony No. 2 are forced to stand for hours with their hands clasped behind their backs, forbidden to make eye contact with the guards.",The New York Times,Foreign,World,"['Political Prisoners', 'Human Rights and Human Rights Violations', 'Embargoes and Sanctions', 'Prisons and Prisoners', 'Poisoning and Poisons']"
"Dissatisfied with remote learning, some parents start to mobilize.",2021-03-01,article,News,,The New York Times,Foreign,World,['internal-essential']
"Prince Philip Is Moved to 2nd Hospital, Raising Concerns About His Health",2021-03-01,article,News,Buckingham Palace says the husband of Queen Elizabeth is being treated for an infection and tested for a pre-existing heart condition.,The New York Times,Foreign,World,['Hospitals']
$2.7 Million Homes in California,2021-03-01,article,News,"A Cape Cod-style home in Los Angeles, a four-bedroom house in Sonoma and a contemporary Craftsman in Santa Barbara.",The New York Times,RealEstate,Real Estate,['Real Estate and Housing (Residential)']
Trump’s speech at CPAC was full of falsehoods and exaggerations. Here’s a fact check.,2021-03-01,article,News,,The New York Times,Washington,U.S.,[]
Scruffy no more: Germany’s hair salons rush to throw open their doors again.,2021-03-01,article,News,,The New York Times,Foreign,World,['internal-essential']
Photos From Myanmar: A Street-Level View of Coup Protests,2021-03-01,article,News,"As a civil disobedience movement entered its second month, the military rulers added charges against Daw Aung San Suu Kyi.",The New York Times,Foreign,World,"[""Coups D'Etat and Attempted Coups D'Etat"", 'Demonstrations, Protests and Riots']"
Trump supporters are still pushing false claims that antifa was behind the Capitol riot.,2021-03-01,article,News,,The New York Times,Washington,U.S.,[]
How Can Biden Bring Back Manufacturing Jobs? Weaken the Dollar,2021-03-01,article,News,Critics of a strong currency say it hurts American factory workers by making imports cheap.,The New York Times,Business,Business Day,"['United States Economy', 'Currency', 'International Trade and World Market', 'US Dollar (Currency)', 'Labor and Jobs', 'Customs (Tariff)', 'Renminbi (Currency)', 'Factories and Manufacturing', 'United States Politics and Government']"
Biden expresses solidarity with Alabama workers attempting to unionize an Amazon warehouse.,2021-03-01,article,News,"Around 6,000 workers at an Amazon warehouse in Bessemer, a former steel town outside of Birmingham, are voting over the next week on whether they want to be represented by a union.",The New York Times,Washington,U.S.,['Organized Labor']
Major Evangelical Adoption Agency Will Now Serve Gay Parents Nationwide,2021-03-01,article,News,The decision comes as more cities and states require organizations to accept applications from L.G.B.T.Q. couples or risk losing government contracts.,The New York Times,National,U.S.,"['Adoptions', 'Christians and Christianity', 'Homosexuality and Bisexuality']"
"The Capitol Police union endorses recommendations for adding officers, fencing and an urgent response force.",2021-03-01,article,News,Retired Lt. Gen. Russel L. Honoré is recommending an array of security enhancements in response to the Jan. 6 assault at the Capitol.,The New York Times,Washington,U.S.,"['Storming of the US Capitol (Jan, 2021)']"
"Durbin, New Judiciary Chair, Warns Republicans on Blocking Judges",2021-03-01,article,News,"Senator Richard J. Durbin of Illinois, the No. 2 Senate Democrat, discussed how he would push through President Biden’s judicial nominees, tackle immigration and address domestic terrorism.",The New York Times,Washington,U.S.,"['Content Type: Personal Profile', 'Courts and the Judiciary', 'Federal Courts (US)', 'Legal Profession', 'Appointments and Executive Changes', 'United States Politics and Government', 'Immigration and Emigration', 'Citizenship and Naturalization', 'Dream Act (Development, Relief and Education for Minors Act)', 'Race and Ethnicity', 'Terrorism', 'Right-Wing Extremism and Alt-Right', 'Storming of the US Capitol (Jan, 2021)']"
Virus Did Not Bring Financial Rout That Many States Feared,2021-03-01,article,News,"Grim forecasts held up for a few states, but many took in about as much tax revenue as before the pandemic — sometimes a lot more.",The New York Times,Business,Business Day,"['States (US)', 'Coronavirus (2019-nCoV)', 'Taxation', 'Stimulus (Economic)', 'Income Tax', 'Sales and Excise Taxes', 'United States Politics and Government', 'Layoffs and Job Reductions', 'Federal Aid (US)', 'Unemployment Insurance', 'Budgets and Budgeting', 'Recession and Depression', 'Coronavirus Aid, Relief, and Economic Security Act (2020)']"
Student Is Wounded in Shooting at Arkansas School,2021-03-01,article,News,"The shooting took place at Watson Chapel Junior High School in Pine Bluff, Ark. Another student was arrested, the police said.",The New York Times,Express,U.S.,['School Shootings and Armed Attacks']
"Can’t Get a Covid Vaccine? In This County, Everybody is Eligible",2021-03-01,article,News,The rural area outside Phoenix is one of the first places in the U.S. to open vaccinations up to the general public. This is what success looks like.,The New York Times,National,U.S.,"['Vaccination and Immunization', 'Hospitals', 'Rural Areas', 'Coronavirus (2019-nCoV)']"
Copying China’s Online Blockade,2021-03-01,article,News,How other countries’ efforts to control the internet compare with China’s Great Firewall.,The New York Times,Business,Technology,"['Censorship', 'Computers and the Internet']"
Myanmar’s Military Deploys Digital Arsenal of Repression in Crackdown,2021-03-01,article,News,"The generals who staged a coup last month use surveillance drones, iPhone cracking devices and hacking software, some of it from Western countries that bar sales of such technology to Myanmar.",The New York Times,Foreign,World,"[""Coups D'Etat and Attempted Coups D'Etat"", 'Surveillance of Citizens by Government', 'Defense and Military Forces', 'Cyberwarfare and Defense', 'Embargoes and Sanctions', 'Arms Trade']"
Nigeria’s Boarding Schools Have Become a Hunting Ground for Kidnappers,2021-03-01,article,News,"Northern Nigeria’s kidnap-for-ransom industry is growing, and it’s not just the well-off who are at risk. The new targets are poor villagers and ordinary schoolchildren.",The New York Times,Foreign,World,"['Kidnapping and Hostages', 'Politics and Government', 'School Shootings and Armed Attacks', 'Corruption (Institutional)']"
"Workhorse, the electric-truck maker, will meet with the Postal Service about the contract it lost.",2021-03-01,article,News,,The New York Times,Business,Business Day,"['Electric and Hybrid Vehicles', 'Postal Service and Post Offices']"
Ex-Times Reporter Who Used Racial Slur Publishes a Lengthy Defense,2021-03-01,article,News,"Donald McNeil, who resigned last month after the publication of an article on his conduct during a student trip, writes that he left the paper after “a series of misunderstandings and blunders.”",The New York Times,Business,Business Day,"['News and News Media', 'Indecency, Obscenity and Profanity', 'Discrimination', 'Race and Ethnicity', 'Newspapers', 'internal-storyline-no']"
Virginia Fraternity Is Suspended After Death of Student,2021-03-01,article,News,"Virginia Commonwealth University said it had suspended its Delta Chi chapter after Adam Oakes, 19, was found dead at an off-campus party where he was reportedly blindfolded and given alcohol.",The New York Times,Express,U.S.,"['Deaths (Fatalities)', 'Hazing', 'Fraternities and Sororities', 'Colleges and Universities']"
American Accused of Killing Italian Officer Says He Acted in Self-Defense,2021-03-01,article,News,"Finnegan Elder, of San Francisco, told a Rome court that the officer did not identify himself and that he “panicked” and believed the officer would kill him.",The New York Times,NewsDesk,World,"['Attacks on Police', 'Youth']"
"Cuomo Must Admit to His ‘Predatory Behavior,’ Accuser Says",2021-03-01,article,News,"“These are not the actions of someone who simply feels misunderstood; they are the actions of an individual who wields his power to avoid justice,” Charlotte Bennett said.",The New York Times,Metro,New York,"['Sexual Harassment', 'Politics and Government', '#MeToo Movement']"
"A Covid Vaccine Side Effect, Enlarged Lymph Nodes, Can Be Mistaken for Cancer",2021-03-01,article,News,The condition is becoming more common as immunization rates increase. Experts are suggesting ways to ease patients’ fears and avoid needless testing.,The New York Times,Science,Health,"['Breast Cancer', 'Vaccination and Immunization', 'Lymph Nodes and Lymphatic System', 'Mammography', 'Coronavirus (2019-nCoV)', 'Tumors', 'your-feed-science', 'your-feed-healthcare']"
This Bird Wasn’t Seen for 170 Years. Then It Appeared in an Indonesian Forest.,2021-03-01,article,News,The black-browed babbler has long been one of Indonesia’s most enigmatic birds.,The New York Times,Science,Science,"['Birds', 'Birdwatching', 'Endangered and Extinct Species', 'your-feed-science']"
Trump and his wife received coronavirus vaccine before leaving the White House.,2021-03-01,article,News,"Former President Donald J. Trump and his wife, Melania, quietly received coronavirus vaccinations in January before leaving the White House, an adviser said on Monday.",The New York Times,Politics,U.S.,"['Vaccination and Immunization', 'Coronavirus (2019-nCoV)']"
"Michaels, bolstered by the pandemic craft boom, is attracting buyout interest from private equity.",2021-03-01,article,News,"Michaels has seen its business boosted by the pandemic, as people turn to hobbies during stay-at-home orders.",The New York Times,Business,Business Day,"['Mergers, Acquisitions and Divestitures', 'Private Equity', 'Hobbies']"
High Staff Turnover at U.S. Nursing Homes Poses Risks for Residents’ Care,2021-03-01,article,News,"A new study highlights the persistent problems caused by an unstable work force, an underlying threat that may have led to staggering death tolls in the pandemic.",The New York Times,Science,Health,"['Workplace Hazards and Violations', 'Nursing Homes', 'Coronavirus (2019-nCoV)', 'Nursing and Nurses', 'Research', 'your-feed-healthcare']"
Supreme Court Considers Whether Patent Judges Were Properly Appointed,2021-03-01,article,News,Several justices seemed concerned that judges should have been appointed by the president and confirmed by the Senate. But there was no consensus about how to fix that flaw.,The New York Times,Washington,U.S.,"['Appointments and Executive Changes', 'Courts and the Judiciary', 'Appeals Courts (US)', 'Constitution (US)', 'Inventions and Patents', 'United States Politics and Government']"
Two Americans Tied to Carlos Ghosn’s Escape Are Extradited to Japan,2021-03-01,article,News,"The father and son face trial on charges that they helped Mr. Ghosn, Nissan’s former chief, flee in a speaker box to Lebanon in 2019.",The New York Times,Business,Business Day,"['Automobiles', 'Suits and Litigation (Civil)', 'Fugitives', 'Extradition', 'Securities and Commodities Violations']"
Here is what we know about the rollout of the Johnson & Johnson vaccine.,2021-03-01,article,News,"Much is still to be determined about how this new tool will be used, but some things are already clear.",The New York Times,National,U.S.,"['internal-essential', 'Vaccination and Immunization', 'Coronavirus (2019-nCoV)', 'Drugs (Pharmaceuticals)']"
Trumpism Grips a Post-Policy G.O.P. as Traditional Conservatism Fades,2021-03-01,article,News,"Despite falling from power in Washington, the Republican Party has done little soul-searching or reflection on a new agenda, instead focusing on attacking Democrats and the news media.",The New York Times,Politics,U.S.,"['Conservatism (US Politics)', 'United States Politics and Government', 'Presidential Election of 2020']"
Israeli Court Says Converts to Non-Orthodox Judaism Can Claim Citizenship,2021-03-01,article,News,"People who convert in Israel to Reform or Conservative Judaism have a right to citizenship, the Supreme Court ruled, chipping at the power of Orthodox authorities that see them as non-Jewish.",The New York Times,Foreign,World,"['Jews and Judaism', 'Orthodox Judaism', 'Citizenship and Naturalization', 'Decisions and Verdicts']"
"After Stimulus, Biden to Tackle Another Politically Tricky Issue: Infrastructure",2021-03-01,article,News,"Strengthening the country’s highways, bridges and broadband networks has broad popular support, but Washington remains bitterly divided on the details.",The New York Times,Washington,Business Day,"['Infrastructure (Public Works)', 'Stimulus (Economic)', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Bridges and Tunnels', 'United States Politics and Government']"
Coronavirus Briefing: What Happened Today,2021-03-01,article,News,March is shaping up to be a critical month for the vaccine rollout in the United States.,The New York Times,NYTNow,U.S.,[]
"After El Salvador Election, Bukele Is on Verge of Near-Total Control",2021-03-01,article,News,"The party of President Nayib Bukele is set to take a sweeping majority in El Salvador’s Congress, giving the populist leader broad new powers.",The New York Times,Foreign,World,"['Elections', 'Politics and Government', 'United States International Relations']"
"Frontier Cancels Flight, Citing Maskless Passengers",2021-03-01,article,News,"The airline’s treatment of the passengers, all Orthodox Jews, drew condemnation and accusations of anti-Semitism from Jewish groups.",The New York Times,Express,U.S.,"['AIRLINES AND AIRPLANES', 'Jews and Judaism', 'Hasidism', 'ANTI-SEMITISM', 'Discrimination', 'Coronavirus (2019-nCoV)']"
Biden’s Pick Confirmed as Education Secretary,2021-03-01,article,News,"Miguel A. Cardona, a career educator from Connecticut, will lead the Biden administration’s efforts to reopen most of the nation’s schools shuttered by the coronavirus.",The New York Times,Washington,U.S.,"['United States Politics and Government', 'Coronavirus Reopenings', 'Education (K-12)', 'Private and Sectarian Schools']"
Prosecutors Investigating Trump Focus on His Finance Chief,2021-03-01,article,News,"Manhattan district attorney investigators who are examining possible financial fraud have asked witnesses about Allen Weisselberg, the chief financial officer at the Trump Organization.",The New York Times,Metro,New York,"['Trump Tax Returns', 'Frauds and Swindling', 'United States Politics and Government']"
Where Biden’s Foreign Policy Is Taking the U.S.,2021-03-01,article,News,The president diverges from both Donald Trump and Barack Obama with a complex vision of coalition-building.,The New York Times,Politics,U.S.,"['United States International Relations', 'United States Defense and Military Forces', 'United States Politics and Government', 'War and Armed Conflicts', 'Assassinations and Attempted Assassinations', 'Afghanistan War (2001- )']"
Neanderthals Listened to the World Much Like Us,2021-03-02,article,News,A reconstructed Neanderthal ear adds a new piece to the puzzle of whether the early humans could speak.,The New York Times,Science,Science,"['Neanderthal Man', 'Archaeology and Anthropology', 'Language and Languages', 'Ears and Hearing', 'Paleontology', 'Fossils', 'Voice and Speech', 'Research', 'your-feed-science']"
Far-Right Groups Are Splintering in Wake of the Capitol Riot,2021-03-02,article,News,"The breakdown of larger organizations sets the stage for small groups or lone offenders, who are more difficult to track.",The New York Times,National,U.S.,"['Storming of the US Capitol (Jan, 2021)', 'Right-Wing Extremism and Alt-Right', 'Fringe Groups and Movements']"
Minneapolis Abandons Plan to Pay Influencers During Officers’ Trials,2021-03-02,article,News,"The city had faced criticism over plans to pay social media influencers $2,000 each to fight misinformation during the trials of Derek Chauvin and three other former police officers charged in George Floyd’s death.",The New York Times,Express,U.S.,"['George Floyd Protests (2020)', 'Black Lives Matter Movement', 'Social Media', 'Black People', 'Blacks', 'Police Brutality, Misconduct and Shootings', 'Murders, Attempted Murders and Homicides']"
Cuomo Accused of Unwanted Advance at a Wedding: ‘Can I Kiss You?’,2021-03-02,article,News,The young woman’s account follows two separate accusations that Gov. Andrew Cuomo sexually harassed two female state employees.,The New York Times,Metro,New York,"['Sexual Harassment', '#MeToo Movement']"
Leader of Texas Utility Regulator Resigns After Extensive Storm Outages,2021-03-02,article,News,"DeAnn T. Walker, the chairwoman of the Public Utility Commission of Texas, had been caught in a tide of fury that swelled after millions were left without power.",The New York Times,National,U.S.,"['Electric Light and Power', 'Snow and Snowstorms', 'Power Failures and Blackouts', 'Regulation and Deregulation of Industry', 'Appointments and Executive Changes']"
Lady Gaga’s Dog Walker Recalls Being Shot and Cradling ‘Guardian Angel’ Dog,2021-03-02,article,News,Ryan Fischer wrote on Instagram about his “recovery from a very close call with death.”,The New York Times,Express,U.S.,"['Murders, Attempted Murders and Homicides', 'Robberies and Thefts', 'Dogs']"
Virus Variant in Brazil Infected Many Who Had Already Recovered From Covid-19,2021-03-02,article,News,The first detailed studies of the so-called P.1 variant show how it devastated a Brazilian city. Now scientists want to know what it will do elsewhere.,The New York Times,Science,Health,"['Coronavirus (2019-nCoV)', 'Research', 'Vaccination and Immunization', 'Genetics and Heredity', 'your-feed-science', 'your-feed-healthcare']"
"Hundreds of Girls Abducted From Nigerian School Are Freed, Official Says",2021-03-02,article,News,It was the second time in less than a week that gunmen in the country had released kidnapped schoolchildren.,The New York Times,Foreign,World,"['Kidnapping and Hostages', 'Women and Girls']"
Once Upon a Time on Mars,2021-03-02,article,News,A dune buggy is about to set off on behalf of its human owners to fulfill a primordial yearning.,The New York Times,Science,Science,"['Perseverance (Mars Rover)', 'Space and Astronomy', 'Mars (Planet)', 'Planets', 'Solar System', 'Robots and Robotics', 'your-feed-science']"
Criminal Inquiries Loom Over al-Assad’s Use of Chemical Arms in Syria,2021-03-02,article,News,Investigations in France and Germany could lead to prosecutions of President Bashar al-Assad and members of his upper echelon over one of the Syrian war’s signature atrocities.,The New York Times,Foreign,World,"['Biological and Chemical Warfare', 'War Crimes, Genocide and Crimes Against Humanity', 'Civilian Casualties', 'Refugees and Displaced Persons', 'Politics and Government', 'International Relations']"
Why These 2 N.Y.C. Mayoral Candidates Are on a Collision Course,2021-03-02,article,News,"Eric Adams, the Brooklyn borough president, and Ray McGuire, a former Citi executive, have become fast rivals in the New York City mayoral race.",The New York Times,Metro,New York,"['Elections, Mayors', 'Black People', 'Blacks', 'Race and Ethnicity', 'Primaries and Caucuses', 'Content Type: Personal Profile']"
There Is No Vaccine for Grief,2021-03-02,article,News,But there are ways to prepare to face it.,The New York Times,Well,Well,"['Grief (Emotion)', 'Love (Emotion)', 'Coronavirus (2019-nCoV)', 'Content Type: Service']"
