headline,date,doc_type,type_of_material,snippet,source,news_desk,section_name,keywords
Senate Approves Extending Small-Business Program,2020-07-01,article,News,The Senate granted five additional weeks for the remaining money left in the program to be spent.,The New York Times,Washington,U.S.,"['Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Small Business', 'United States Politics and Government', 'Coronavirus (2019-nCoV)', 'United States Economy']"
"Tulsa Police Sergeant, One of Two Officers Shot During Traffic Stop, Dies",2020-07-01,article,News,"David Anthony Ware was charged with first-degree murder in the death of Sgt. Craig Johnson, the authorities said.",The New York Times,Express,U.S.,"['Murders, Attempted Murders and Homicides']"
Mississippi Governor Signs Law to Remove Flag With Confederate Emblem,2020-07-01,article,News,"The state flag, which features the blue bars and white stars of the Confederate battle flag, had flown over Mississippi for 126 years. It must be removed within 15 days.",The New York Times,National,U.S.,"['Flags, Emblems and Insignia', 'George Floyd Protests (2020)', 'Black Lives Matter Movement', 'Civil War (US) (1861-65)', 'Law and Legislation']"
Eight Police Officers in Louisiana Face Charges of Excessive Force,2020-07-01,article,News,"A driver and his passenger had their hands raised after a police pursuit but wound up with broken bones, a district attorney said.",The New York Times,Express,U.S.,"['Police Brutality, Misconduct and Shootings']"
"Harsh Penalties, Vaguely Defined Crimes: Hong Kong’s Security Law Explained",2020-07-01,article,News,"The legislation grants Beijing broad powers to crack down on a variety of political crimes, including meting out life imprisonment for “grave” offenses. But the law is rife with ambiguities.",The New York Times,Foreign,World,"['Law and Legislation', 'Hong Kong Protests (2019)', 'Secession and Independence Movements', 'Politics and Government', 'International Relations']"
Jared Kushner Makes Trump Campaign Change After Rally Fiasco,2020-07-01,article,News,"After thousands of empty seats at the president’s rally in Tulsa, Okla., his son-in-law moved Michael Glassner, an original Trump campaign hire in 2015, from his role of chief operating officer.",The New York Times,Politics,U.S.,['Presidential Election of 2020']
"Lauren Boebert, Gun-Rights Activist, Upsets House G.O.P. Incumbent in Colorado",2020-07-01,article,News,"The political novice, who has defied pandemic restrictions to keep her restaurant open and has spoken approvingly of the QAnon conspiracy theory, challenged Scott Tipton on his conservative credentials.",The New York Times,Washington,U.S.,"['United States Politics and Government', 'Elections, House of Representatives']"
The Theatrical Method in Putin’s Vote Madness,2020-07-01,article,News,Russia’s constitutional “referendum” delivered its expected outcome — President Putin can serve until 2036 — but an elaborate spectacle of public affirmation was vital to his legitimacy.,The New York Times,Foreign,World,"['Referendums', 'Elections', 'Polls and Public Opinion', 'Term Limits (Political Office)', 'Politics and Government', 'Constitutional Amendments']"
China Announces New Retaliation Against U.S. News Outlets,2020-07-01,article,News,"Beijing demanded that four organizations submit information about their operations in China, adding to tensions with the U.S. over the treatment of journalists.",The New York Times,Business,Business Day,"['News and News Media', 'Newspapers']"
How We Get Stronger,2020-07-01,article,News,Weight training prompts changes in the nervous system that prime the muscles to get bigger and stronger.,The New York Times,Well,Well,"['Muscles', 'Monkeys and Apes', 'Research', 'Nerves and Nervous System', 'Exercise', 'Weight Lifting', 'Content Type: Service']"
Man Falls Through the Floor and Discovers a Well Beneath a Connecticut House,2020-07-01,article,News,"Chris Town, 67, was helping a friend move into a house when the floor gave way beneath him. Firefighters rescued him from a 19th-century fieldstone well.",The New York Times,Express,New York,"['Rescues', 'Wells', 'Falls']"
That Healing Jazz Thing on a Porch in Brooklyn,2020-07-01,article,News,"For 82 days straight, a diverse group of musicians found their way to a stoop in Flatbush, and everybody followed the sax player. (It was his house.)",The New York Times,Metropolitan,New York,"['Jazz', 'Quarantine (Life and Culture)', 'Coronavirus (2019-nCoV)']"
The Perfect Ending to Our Pandemic Honeymoon Road Trip,2020-07-01,article,News,The original plan was a drive through the Rust Belt. It turns out that New York City without tourists is a lot like Indianapolis or Toledo. Maybe even better.,The New York Times,Metropolitan,New York,"['Honeymoons', 'Cocktails and Mixed Drinks', 'Bars and Nightclubs', 'Travel and Vacations', 'Road Trips', 'Coronavirus (2019-nCoV)']"
Talking With Your Teen About Anti-Racism? Be Ready to Listen,2020-07-01,article,News,"Many of today’s teenagers have a keener understanding of what constitutes racism than their predecessors, based on what they have learned both in school and online.",The New York Times,Well,Well,"['Content Type: Service', 'Demonstrations, Protests and Riots', 'Discrimination', 'George Floyd Protests (2020)', 'Youth', 'Teenagers and Adolescence', 'Parenting']"
"China’s Software Stalked Uighurs Earlier and More Widely, Researchers Learn",2020-07-01,article,News,"A new report revealed a broad campaign that targeted Muslims in China and their diaspora in other countries, beginning as early as 2013.",The New York Times,Business,Technology,"['Uighurs (Chinese Ethnic Group)', 'Surveillance of Citizens by Government', 'Cyberwarfare and Defense', 'Mobile Applications', 'Smartphones', 'Computers and the Internet', 'Android (Operating System)', 'Muslims and Islam', 'Privacy']"
5 Caribbean Destinations Reopening This Summer,2020-07-01,article,News,"As the region reopens, it faces hurricane season, pandemic-related restrictions and the absence of cruise ships.",The New York Times,Travel,Travel,"['Travel and Vacations', 'Summer (Season)', 'Coronavirus Reopenings']"
Progressives Begin New Push to Elevate Supreme Court as a Campaign Issue,2020-07-01,article,News,The first step in the project is $2 million in ads in competitive states highlighting the consequences for the court if President Trump secures a second term.,The New York Times,Washington,U.S.,"['Presidential Election of 2020', 'United States Politics and Government', 'Courts and the Judiciary']"
Did Floyd Protests Lead to a Virus Surge? Here’s What We Know,2020-07-01,article,News,Epidemiologists have braced for a surge of coronavirus cases. But it has not come yet.,The New York Times,Metro,New York,"['George Floyd Protests (2020)', 'Coronavirus (2019-nCoV)', 'Disease Rates', 'Quarantines']"
"Red, White and Blue When You’re Black",2020-07-01,article,News,“I support the protests but I feel like the biggest way I can support the cause and contribute is by keeping this Black-owned business open.”,The New York Times,SundayBusiness,Business Day,"['Small Business', 'Independence Day (US) (July 4)', 'George Floyd Protests (2020)']"
Why Surviving the Virus Might Come Down to Which Hospital Admits You,2020-07-01,article,News,"In New York City’s poor neighborhoods, some patients have languished in understaffed hospitals, with substandard equipment. It was a different story in Manhattan’s private medical centers.",The New York Times,Metro,New York,"['Coronavirus (2019-nCoV)', 'Deaths (Fatalities)', 'Hospitals', 'Income Inequality']"
City That Once Guided a Nation Now Shows Its Cracks,2020-07-01,article,News,"Peoria, Ill., was a place where marketers and politicians honed their messages. The pandemic and protests have made clear the sharply different realities of its Black and white residents.",The New York Times,Business,Business Day,"['George Floyd Protests (2020)', 'Black Lives Matter Movement', 'Black People', 'Blacks', 'Discrimination', 'Income Inequality', 'Shopping and Retail', 'Looting (Crime)', 'Coronavirus Reopenings']"
A Nostalgic Look at Independence Days of Yesteryear,2020-07-01,article,News,"Viewed now in the midst of a pandemic, these archival Fourth of July photographs — showing large crowds, close contact and communal celebrations — elicit an added measure of nostalgia.",The New York Times,Travel,Travel,"['Independence Day (US) (July 4)', 'Fireworks', 'Photography']"
"Mahopac, N.Y.: A ‘Bedroom Community’ With an Elegant Past",2020-07-01,article,News,"If living in the Putnam County hamlet feels like being on vacation, that’s no accident: It was developed in the 19th century as a summer resort.",The New York Times,RealEstate,Real Estate,['Real Estate and Housing (Residential)']
