headline,date,doc_type,type_of_material,snippet,source,news_desk,section_name,keywords
Three Colorado Officers Resign After Arrest of Woman With Dementia,2021-05-01,article,News,"Body-camera footage of the arrest of Karen Garner has drawn widespread outrage, as has another video that showed officers laughing at the footage.",The New York Times,Express,U.S.,"['Police Brutality, Misconduct and Shootings', 'Suits and Litigation (Civil)', 'Dementia']"
Manchin says he won’t support a D.C. statehood bill.,2021-05-01,article,News,"Senator Joe Manchin III, Democrat of West Virginia, told local news reporters that he believed making Washington, D.C., a state would require a constitutional amendment.",The New York Times,Washington,U.S.,"['Statehood Movement for Washington, DC', 'United States Politics and Government']"
Pandemic Inspector General Warns of Oversight Breakdown,2021-05-01,article,News,An internal dispute at the Treasury Department shows the challenge of tracking trillions of dollars of economic relief money.,The New York Times,Washington,U.S.,"['United States Politics and Government', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Stimulus (Economic)', 'Inspectors General']"
23 Candidates Are on Ballot for Open Texas Congressional Seat,2021-05-01,article,News,"The front-runner in Saturday’s election is Susan Wright, who has been endorsed by Donald J. Trump and is the widow of Representative Ron Wright, who died of Covid-19 in February.",The New York Times,National,U.S.,"['Elections, House of Representatives', 'United States Politics and Government', 'Endorsements']"
"As New York City Reopens, Its Recovery Will Hinge on the Next Mayor",2021-05-01,article,News,The Democratic candidates are making radically different bets about the mood and priorities of New Yorkers as the city moves toward reopening after the pandemic.,The New York Times,Metro,New York,"['Elections, Mayors', 'Primaries and Caucuses', 'Coronavirus Reopenings']"
"Why a $10,000 Tax Deduction Could Hold Up Trillions in Stimulus Funds",2021-05-01,article,News,The fight over SALT is a case study in the age-old conflict between constituent politics and national policy.,The New York Times,SundayBusiness,Business Day,"['Tax Credits, Deductions and Exemptions', 'Federal Taxes (US)', 'Property Taxes', 'Income Tax', 'United States Politics and Government', 'Tax Cuts and Jobs Act (2017)', 'High Net Worth Individuals', 'Stimulus (Economic)', 'Infrastructure (Public Works)', 'American Jobs Plan (2021)']"
Decorating Scandal Engulfs Boris Johnson and Puts Fiancée in Spotlight,2021-05-01,article,News,Critics see the hand of Carrie Symonds in the costly makeover of the couple’s apartment and other political dust-ups. Supporters see “outdated sexist tropes.”,The New York Times,Foreign,World,"['Politics and Government', 'Interior Design and Furnishings', 'Embezzlement', 'Women and Girls', 'Discrimination', 'Content Type: Personal Profile']"
"After Years of Protests, a New Jersey County Ends Its ICE Jail Contract",2021-05-01,article,News,"The Essex County executive said the decision to stop holding undocumented immigrants for ICE in the county jail was based on money, not politics.",The New York Times,Metro,New York,"['Immigration Detention', 'Illegal Immigration', 'Politics and Government', 'Demonstrations, Protests and Riots']"
N.J. Teacher Suspended After Calling George Floyd a ‘Criminal’,2021-05-01,article,News,"The New Jersey high school teacher, Howard Zlotkin, has been suspended with pay after appearing to target Black students in an online class.",The New York Times,Metro,New York,"['Black People', 'Blacks', 'Black Lives Matter Movement', 'Education (K-12)', 'Discrimination', 'Police Brutality, Misconduct and Shootings', 'Teachers and School Employees']"
Arnold Schwarzenegger Is No Longer the Governor of California. Right?,2021-05-01,article,News,"Amid a pandemic and a recall, Mr. Schwarzenegger has been in demand at his Los Angeles mansion, embracing his unlikely role as California’s “elderly statesman.”",The New York Times,National,U.S.,"['Governors (US)', 'Politics and Government', 'Content Type: Personal Profile']"
Should You Renovate the Kitchen Before You Sell?,2021-05-01,article,News,"One outdated room can stand out and hurt a sale. But before you do any last-minute work, set a budget and make sure you finish what you start.",The New York Times,RealEstate,Real Estate,"['Real Estate and Housing (Residential)', 'Restoration and Renovation', 'Home Repairs and Improvements', 'Content Type: Service', 'Kitchens']"
"Joe Biden, the Reverse Ronald Reagan",2021-05-01,article,News,"Four decades later, another elder statesman seeks to transform Americans’ ideas about the size of government.",The New York Times,Politics,U.S.,['United States Politics and Government']
"Fierce Foes, Iran and Saudi Arabia Secretly Explore Defusing Tensions",2021-05-01,article,News,"Talks between the two regional powers, if successful, could start to lower the temperature on several conflicts across the Middle East.",The New York Times,Foreign,World,"['United States International Relations', 'War and Armed Conflicts', 'International Relations']"
"‘Every Time I’m Calling, Someone Has Died’: The Anguish of India’s Diaspora",2021-05-01,article,News,"In WhatsApp chats, video calls, Facebook groups and forums, a global community has scrambled to save, and sometimes mourn, Covid-stricken loved ones.",The New York Times,Foreign,World,"['Politics and Government', 'Families and Family Life', 'Indian-Americans', 'Coronavirus (2019-nCoV)', 'Grief (Emotion)']"
A Search for Remembrance After the Sandy Hook Massacre,2021-05-01,article,News,"The residents of Newtown, Conn., have approved a memorial to the children and staff killed at Sandy Hook Elementary School, but the sadness has yet to abate.",The New York Times,Washington,U.S.,"['Newtown, Conn, Shooting (2012)', 'Monuments and Memorials (Structures)']"
"G.O.P. Seeks to Empower Poll Watchers, Raising Intimidation Worries",2021-05-01,article,News,Republicans in several states are pushing bills to give poll watchers more autonomy. Alarmed election officials and voting rights activists say it’s a new attempt to target voters of color.,The New York Times,Politics,U.S.,"['Elections', 'Voting and Voters', 'Discrimination', 'Black People', 'Blacks', 'Voter Fraud (Election Fraud)', 'Rumors and Misinformation', 'United States Politics and Government', 'Law and Legislation', 'Presidential Election of 2020']"
India’s Covid-19 Crisis Shakes Modi’s Image of Strength,2021-05-01,article,News,"Overconfidence and missteps contributed to the country’s devastating second wave, his critics say, tarnishing the prime minister’s aura of political invulnerability.",The New York Times,Foreign,World,"['Politics and Government', 'Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Nationalism (Theory and Philosophy)', 'Deaths (Fatalities)', 'Disease Rates']"
