headline,date,doc_type,type_of_material,snippet,source,news_desk,section_name,keywords
"Citing Pardon, Justice Dept. Asks Judge to ‘Immediately’ Dismiss Flynn Case",2020-12-01,article,News,Prosecutors also revealed in a court filing that President Trump’s pardon of Michael Flynn was written broadly to end the former aide’s legal jeopardy.,The New York Times,Washington,U.S.,"['Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Amnesties, Commutations and Pardons', 'United States Politics and Government', 'Special Prosecutors (Independent Counsel)']"
"As Trump Attacks Georgia Republicans, Party Worries About Senate Races",2020-12-01,article,News,Some Republicans in the state fear that the doubt President Trump is sowing about the fairness of the election could depress turnout for the crucial Senate runoff races.,The New York Times,Politics,U.S.,"['Presidential Election of 2020', 'Elections, Senate', 'United States Politics and Government']"
Biden’s Inauguration: Expect Smaller Crowds and More Social Distancing,2020-12-01,article,News,"Unlike President Trump, who was expected to shrug off health threats in favor of huge crowds, President-elect Joseph R. Biden Jr. has indicated that his inauguration will not be business as usual.",The New York Times,Washington,U.S.,"['Inaugurations', 'Presidents and Presidency (US)', 'Presidential Transition (US)', 'Presidential Election of 2020', 'United States Politics and Government', 'Coronavirus (2019-nCoV)', 'Coronavirus Risks and Safety Concerns']"
"Dr. Atlas, Trump’s coronavirus adviser, resigns.",2020-12-01,article,News,,The New York Times,Washington,U.S.,['internal-essential']
"Scott Atlas, a Trump Coronavirus Adviser, Resigns",2020-12-01,article,News,"Dr. Atlas joined the White House in August as a special government employee for a limited term, prompting clashes with government scientists over his contentious theories.",The New York Times,Washington,U.S.,"['Coronavirus (2019-nCoV)', 'United States Politics and Government', 'Appointments and Executive Changes']"
"Navy Won’t Repair Fire-Damaged Warship, Saying It Would Cost Billions",2020-12-01,article,News,"The U.S.S. Bonhomme Richard will instead be decommissioned and some of its spare parts will be used in other naval vessels, officials said.",The New York Times,Express,U.S.,"['Ships and Shipping', 'Arson', 'Maritime Accidents and Safety', 'USS Bonhomme Richard (LHD-6) (Ship)', 'United States Defense and Military Forces', 'Fires and Firefighters']"
Trump Raises $170 Million as He Denies His Loss and Eyes the Future,2020-12-01,article,News,"The president’s campaign has ratcheted up its appeals for cash, but the first 75 percent of every contribution is going to a new political action committee that could fund his next political move.",The New York Times,Politics,U.S.,"['Presidential Election of 2020', 'Campaign Finance', 'Political Action Committees']"
Los Angeles Reverses Decision to Close Virus Testing Site for a Film Shoot,2020-12-01,article,News,Testing was going to be disrupted at a major transit hub because of the filming of a movie featuring the TikTok star Addison Rae. The city then backtracked.,The New York Times,Culture,U.S.,['Shutdowns (Institutional)']
"Bank Robbers in Brazil Terrorize a Sleepy City, Overpowering Police",2020-12-01,article,News,"An organized gang struck the southern city of Criciúma with guns and explosives, robbing a bank and briefly taking hostages. Hours later, Brazilians reported another gang robbery over 2,000 miles away.",The New York Times,Foreign,World,"['Bank Robberies', 'Organized Crime']"
"He Was a Stick, She Was a Leaf; Together They Made History",2020-12-01,article,News,A surprise clutch of eggs has solved a century-old leaf insect mystery.,The New York Times,Science,Science,"['your-feed-science', 'your-feed-animals', 'Insects', 'Reproduction (Biological)', 'Research', 'Museums']"
"Without Crowds, Is Times Square Really Times Square? Take a Look",2020-12-01,article,News,"The throngs of visitors have disappeared from New York City’s famous neighborhood, and there is an eeriness to the emptiness.",The New York Times,Metro,New York,"['Quarantine (Life and Culture)', 'Shutdowns (Institutional)', 'Coronavirus (2019-nCoV)', 'Homeless Persons', 'Travel and Vacations']"
New ‘BTS Law’ Is Passed in South Korea. An Army of Fans Rejoices.,2020-12-01,article,News,The oldest member of BTS was saved at the last minute from having to join the military under the country’s conscription system.,The New York Times,Foreign,World,"['K-Pop', 'Defense and Military Forces', 'Draft and Recruitment (Military)', 'Law and Legislation']"
"France has kept schools open without driving up infections, and other news from around the world.",2020-12-01,article,News,,The New York Times,Foreign,World,['internal-essential']
"The C.D.C. discusses who should get vaccinated first, but the decision will fall to states.",2020-12-01,article,News,,The New York Times,National,U.S.,['internal-essential']
The Evolution of the Robot-Doctor,2020-12-01,article,News,"Where just last year, communication with patients and families through a screen felt crass, now it’s the compassionate thing to do.",The New York Times,Well,Well,"['Telemedicine', 'Videophones and Videoconferencing', 'Families and Family Life', 'Hospitals', 'iPad', 'Coronavirus (2019-nCoV)', 'Computers and the Internet', 'Robots and Robotics']"
Why the Pandemic Has Made Streets More Dangerous for Blind People,2020-12-01,article,News,Audible crossing signals help visually impaired pedestrians. A court ordered New York City to come up with a plan to install more of the devices.,The New York Times,Metro,New York,"['Blindness', 'Suits and Litigation (Civil)', 'Walking', 'Coronavirus (2019-nCoV)']"
