headline,date,doc_type,type_of_material,snippet,source,news_desk,section_name,keywords
Facebook will forbid ads that undermine the legitimacy of the coming election.,2020-10-01,article,News,,The New York Times,Politics,U.S.,[]
"Tokyo Stock Market Halts Trading for a Day, Citing Glitch",2020-10-01,article,News,The exchange resumed trading on Friday after a technical problem left investors unable to place orders on Thursday.,The New York Times,Business,Business Day,['Stocks and Bonds']
"For Voters Still Mulling, One Thing Is Clear: That Debate Didn’t Help",2020-10-01,article,News,A small but crucial segment of likely voters say they remain uncommitted — to a candidate or to voting at all — and nothing they heard on Tuesday clinched things for them.,The New York Times,Politics,U.S.,"['Presidential Election of 2020', 'Debates (Political)', 'Voting and Voters']"
"At the Edge of Time, a Litter of Galactic Puppies",2020-10-01,article,News,The discovery of a black hole surrounded by protogalaxies provides astronomers with a rare glimpse of the web of matter permeating the cosmos.,The New York Times,Science,Science,"['Space and Astronomy', 'Quasars', 'Stars and Galaxies', 'Hubble Space Telescope', 'Telescopes and Observatories', 'Black Holes (Space)', 'your-feed-science']"
Layoffs grow as companies gauge the course of the pandemic — and prospects for federal aid.,2020-10-01,article,News,,The New York Times,Foreign,World,[]
"‘I feel like crying’: In Rio, the pandemic has stopped an unstoppable parade.",2020-10-01,article,News,,The New York Times,Foreign,World,[]
Finding Help to Take Their Next Steps,2020-10-01,article,News,"Moving beyond challenges at home, these New Yorkers sought assistance to reach their goals.",The New York Times,Neediest,Neediest Cases,[]
She Was Resting With Her Sons. Then a Shot Was Fired.,2020-10-01,article,News,"Bertha Arriaga heard a noise and went to the window of her Queens home, where a stray bullet killed her.  An arrest was made on Saturday.",The New York Times,Metro,New York,"['Murders, Attempted Murders and Homicides']"
New York Becomes First Big City in U.S. to Reopen All Its Schools,2020-10-01,article,News,"It’s a significant moment for the recovery in a city hit hard by the pandemic in the spring. The system, the nation’s largest, is welcoming back 500,000 students.",The New York Times,Metro,New York,"['Coronavirus Reopenings', 'Education (K-12)', 'Teachers and School Employees', 'Coronavirus (2019-nCoV)']"
"Why This Artist Is Paying Bodegas With 120,000 Pennies",2020-10-01,article,News,"A message about the pandemic, inscribed on $1,200 worth of coins, is trickling into New York’s shops, and possibly your pocket.",The New York Times,Metropolitan,New York,"['Art', 'Quarantine (Life and Culture)']"
"With Evictions Looming, Cities Revisit a Housing Experiment From the ’70s",2020-10-01,article,News,Proposals giving tenants the right to purchase their building are being revived as the coronavirus puts renters at risk.,The New York Times,National,U.S.,"['Evictions', 'Renting and Leasing (Real Estate)', 'Landlords', 'Coronavirus (2019-nCoV)']"
Laughter May Be Effective Medicine for These Trying Times,2020-10-01,article,News,"Doctors, nurses and therapists have a prescription for helping all of us to get through these difficult times: Try a little laughter.",The New York Times,Well,Well,"['Content Type: Service', 'Anxiety and Stress', 'Laughter', 'Comedy and Humor', 'Emergency Medical Treatment', 'Hospitals', 'Coronavirus (2019-nCoV)', 'Doctors', 'Heart', 'Pain']"
When Your Job Is to Make Sure Nov. 3 Isn’t a Disaster,2020-10-01,article,News,"As the top elections officials in many states, secretaries of state are managing a level of chaos they never expected.",The New York Times,Politics,U.S.,"['Presidential Election of 2020', 'Absentee Voting', 'Elections', 'States (US)', 'United States Politics and Government']"
The Army Rolls Out a New Weapon: Strategic Napping,2020-10-01,article,News,"Because fatigue can corrode mission performance, a new physical training manual tells soldiers to grab 40 winks when they can, part of a new holistic approach to health in the ranks.",The New York Times,National,U.S.,"['Exercise', 'Sleep', 'Fatigue', 'Medicine and Health']"
"In U.S.-China Tech Feud, Taiwan Feels Heat From Both Sides",2020-10-01,article,News,The island’s biggest chip maker has been a coveted partner to both battling giants. But rising nationalism is making it harder to keep the middle ground.,The New York Times,Business,Technology,"['5G (Wireless Communications)', 'United States International Relations', 'Computers and the Internet', 'Computer Chips', 'United States Politics and Government']"
‘A Battle for the Souls of Black Girls’,2020-10-01,article,News,Discipline disparities between Black and white boys have driven reform efforts for years. But Black girls are arguably the most at-risk student group in the United States.,The New York Times,Washington,U.S.,"['Black People', 'Blacks', 'Women and Girls', 'Discrimination', 'Education (K-12)', 'School Discipline (Students)', 'Civil Rights and Liberties', 'Suits and Litigation (Civil)']"
Russian Opposition Leader Navalny Says Putin Is Behind His Poisoning,2020-10-01,article,News,"In an interview with Der Spiegel, Aleksei Navalny said the use of a military-grade nerve agent was proof that Russia’s president was involved.",The New York Times,Foreign,World,['Poisoning and Poisons']
"Jacinda Ardern Admits Past Cannabis Use. New Zealanders Shrug: ‘Us, Too.’",2020-10-01,article,News,"As a former marijuana smoker, the prime minister has plenty of company in New Zealand. But she stopped short of backing legalization in a referendum this month.",The New York Times,Foreign,World,"['Elections', 'Marijuana', 'Referendums', 'Politics and Government']"
"Fans celebrate the Stanley Cup champions, well outside the N.H.L.’s pandemic bubble.",2020-10-01,article,News,,The New York Times,Foreign,World,[]
A YouTuber Hangs His Own Shingle With an Auction Website,2020-10-01,article,News,"Doug DeMuro has a strong following for his giddy videos about exotic and quirky cars. Cars & Bids, his new site, got off to a roaring start.",The New York Times,Business,Business Day,"['Automobiles', 'Auctions', 'Computers and the Internet', 'Video Recordings, Downloads and Streaming', 'Entrepreneurship']"
E.U. Brings Suit Against U.K. on Eve of Crucial Trade Talks,2020-10-01,article,News,The move came after Britain refused to withdraw legislation that it admits could break international law by potentially overriding commitments on Northern Ireland.,The New York Times,Foreign,World,['Great Britain Withdrawal from EU (Brexit)']
The Trump Debate Fallout,2020-10-01,article,News,The president reluctantly walks back his nod to a far-right group: This is your morning tip sheet.,The New York Times,Politics,U.S.,"['Presidential Election of 2020', 'Voting and Voters', 'Voter Fraud (Election Fraud)', 'Absentee Voting']"
Take It or Leave It,2020-10-01,article,News,"Palantir’s C.E.O. defended the founders’ tight control over the company, citing defense of its corporate mission.",The New York Times,Business,Business Day,"['Customer Loyalty Programs', 'Initial Public Offerings']"
China’s ‘Golden Week’ Kicks Off in Boost to Battered Tourism Industry,2020-10-01,article,News,"Chinese travelers are expected to fan out across the country in droves, even as anxiety about the virus and the economy lingers.",The New York Times,Foreign,World,"['Travel and Vacations', 'Coronavirus (2019-nCoV)', 'Shopping and Retail']"
Is It Time to Rethink Milton Friedman?,2020-10-01,article,News,"Leo Strine, the former Delaware chief justice, and Joey Zwillinger of the shoe brand Allbirds discuss whether the economist’s influential essay ignored social inequality.",The New York Times,Business,Business Day,['Corporate Social Responsibility']
"Breaking Impasse, E.U. Imposes Sanctions on Belarus",2020-10-01,article,News,The delay in punishing Belarus for the crackdown that followed its flawed elections had been a huge embarrassment for the bloc.,The New York Times,Foreign,World,"['Embargoes and Sanctions', 'Coronavirus (2019-nCoV)']"
Corporate America’s Role in the Fight for Racial Justice,2020-10-01,article,News,A conversation with The Times’s Nikole Hannah-Jones on how businesses can help whittle away social inequities — and why they should.,The New York Times,Business,Business Day,"['Race and Ethnicity', 'Discrimination', 'Civil Rights and Liberties']"
"Amid a surge in cases, India plans to reopen cinemas, entertainment parks and some schools.",2020-10-01,article,News,,The New York Times,Foreign,World,[]
Facebook bans ads that aim to undermine the election.,2020-10-01,article,News,,The New York Times,Politics,U.S.,[]
A far-right group that trades in political violence has gotten a boost from Trump.,2020-10-01,article,News,"During this week’s presidential debate, President Trump said an extremist organization should “stand back and stand by.” Some saw it as an endorsement of a group known for street brawls.",The New York Times,Politics,U.S.,[]
"For undecided voters, one thing is clear: The debate didn’t help.",2020-10-01,article,News,A small but crucial segment of likely voters say they remain uncommitted — to a candidate or to voting at all — and nothing they heard on Tuesday clinched things for them.,The New York Times,Politics,U.S.,[]
Trump renews fears of voter intimidation as G.O.P. poll watchers mobilize.,2020-10-01,article,News,Republicans are putting together what they call an army of Trump supporters to monitor election procedures.,The New York Times,Politics,U.S.,[]
A study found the ‘single largest driver’ of coronavirus misinformation. It was the president.,2020-10-01,article,News,Cornell University researchers analyzing 38 million English-language articles about the pandemic found that President Trump was the largest driver of the “infodemic.”,The New York Times,Politics,U.S.,[]
Will Trump participate in the next two debates? The White House won’t commit.,2020-10-01,article,News,"Democrats and Republicans alike have speculated that after Tuesday’s debacle, the presidential candidates might not debate again. Both have decent incentives to give it another shot.",The New York Times,Politics,U.S.,[]
Where Does America Sit in a Pandemic World?,2020-10-01,article,News,A conversation with The Times’s Tom Friedman about how Covid-19 has changed the United States’ position in global affairs.,The New York Times,Business,Business Day,"['Coronavirus (2019-nCoV)', 'United States International Relations']"
The Calculus Behind Trump’s Covid Response,2020-10-01,article,News,A conversation with The Times’s Maggie Haberman about how President Trump has managed the federal response to the pandemic.,The New York Times,Business,Business Day,"['Presidential Election of 2020', 'Coronavirus (2019-nCoV)']"
Inside the New Tech Cold War,2020-10-01,article,News,A conversation with The Times’s David Sanger on how Washington and Beijing are battling over the future of technology.,The New York Times,Business,Business Day,"['5G (Wireless Communications)', 'Telephones and Telecommunications']"
Turkey admits not including asymptomatic people in its count.,2020-10-01,article,News,,The New York Times,Foreign,World,[]
"Pence heads to Iowa, as Biden and Trump catch their breath and host fund-raisers.",2020-10-01,article,News,,The New York Times,Politics,U.S.,[]
The battle over restrictions in Madrid moves to the courtroom.,2020-10-01,article,News,,The New York Times,Foreign,World,[]
