headline,date,doc_type,type_of_material,snippet,source,news_desk,section_name,keywords
This Extinct Eagle May Have Gulped Guts Like a Vulture,2021-12-01,article,News,Scientists suggest the largest eagle that ever existed hunted down its 500-pound prey and then stuck its head inside to gorge on organs.,The New York Times,Science,Science,"['Eagles (Birds)', 'Vultures (Birds)', 'Condors', 'Endangered and Extinct Species', 'Paleontology', 'Caves and Caverns', 'Research', 'your-feed-science', 'your-feed-animals']"
Republican Recriminations Point to a Rocky Path to a House Majority,2021-12-01,article,News,"Simmering tensions between the far-right flank and more traditional conservatives burst into the open on Tuesday, while Republican leaders stayed silent.",The New York Times,Washington,U.S.,"['Conservatism (US Politics)', 'Right-Wing Extremism and Alt-Right', 'United States Politics and Government']"
A Times editor who attended Oxford recalls a decade-old shooting drill.,2021-12-01,article,News,Three teenage students were killed on Tuesday in the school district I graduated from.,The New York Times,National,U.S.,['School Shootings and Armed Attacks']
"Omicron Variant, in at Least 20 Nations, Spread Earlier Than Was Known",2021-12-01,article,News,"With evidence growing that a worrisome new coronavirus variant is highly contagious, health officials issued warnings that vulnerable people should not travel.",The New York Times,Foreign,World,"['Coronavirus Omicron Variant', 'Travel Warnings', 'Vaccination and Immunization', 'Disease Rates']"
Accuser Describes Maxwell and Epstein Ensnaring and Abusing Her at 14,2021-12-01,article,News,"During the second day of Ghislaine Maxwell’s trial, a woman accused Ms. Maxwell of befriending her when she was a girl, only to join in the sexual abuse that followed.",The New York Times,Metro,New York,"['Sex Crimes', 'Child Abuse and Neglect', 'Prostitution', 'Human Trafficking']"
Appeals Court Questions Trump’s Bid for Secrecy on Jan. 6 Papers,2021-12-01,article,News,The case presents the novel question of what happens when a current president and a former one disagree about invoking executive privilege.,The New York Times,Washington,U.S.,"['Executive Privilege, Doctrine of', 'Storming of the US Capitol (Jan, 2021)', 'Suits and Litigation (Civil)', 'Archives and Records', 'Subpoenas', 'Appeals Courts (US)', 'United States Politics and Government']"
"After 110 Years, an Overdue Book Is Returned to a Library in Idaho",2021-12-01,article,News,"It’s unclear who checked out “New Chronicles of Rebecca” by Kate Douglas Wiggin from a library in Boise, or who had it all these decades. But the book remained in immaculate shape.",The New York Times,Express,U.S.,"['Books and Literature', 'Libraries and Librarians']"
"Andre Dickens, a Veteran City Council Member, Is Elected Mayor of Atlanta",2021-12-01,article,News,Mr. Dickens and Felicia Moore had advanced to the runoff election by beating former Mayor Kasim Reed.,The New York Times,National,U.S.,"['Elections, Mayors', 'Black People', 'Blacks']"
LeBron James enters N.B.A. health and safety protocols.,2021-12-01,article,News,"Comments from Anthony Davis indicated James has tested positive for the coronavirus, which could keep him out for 10 days.",The New York Times,Foreign,World,['Coronavirus (2019-nCoV)']
The gun used in the Michigan school shooting was purchased by the suspect’s father.,2021-12-01,article,News,"The semiautomatic gun used in the shooting at Oxford high school was purchased by the suspect’s father on Nov. 26, four days before Tuesday’s shooting.",The New York Times,National,U.S.,"['Weapons', 'Education (K-12)', 'School Shootings and Armed Attacks', 'Oxford Charter Township, Mich, Shooting (2021)']"
The four victims killed in the school shooting were all students.,2021-12-01,article,News,Authorities released their names and the conditions of those who were wounded in the Michigan high school shooting.,The New York Times,National,U.S.,"['Education (K-12)', 'School Shootings and Armed Attacks', 'Oxford Charter Township, Mich, Shooting (2021)']"
