headline,date,doc_type,type_of_material,snippet,source,news_desk,section_name,keywords
Human Rights Group Says Two U.S. Strikes Killed Somali Civilians,2020-04-01,article,News,A report by Amnesty International challenges the American military’s claim that the February strikes hit only terrorists and no innocent bystanders.,The New York Times,Washington,World,"['Civilian Casualties', 'Terrorism', 'United States Defense and Military Forces']"
‘Never Thought I Would Need It’: Americans Put Pride Aside to Seek Aid,2020-04-01,article,News,"With coronavirus-related job losses, many workers are reluctantly seeking charity and unemployment benefits for the first time in their lives.",The New York Times,Culture,U.S.,"['Unemployment', 'Food Banks and Pantries', 'Layoffs and Job Reductions', 'Philanthropy', 'Coronavirus (2019-nCoV)']"
"$30 Million in Illegal Drugs Seized From Cross-Border Tunnel in San Diego, U.S. Says",2020-04-01,article,News,The tunnel’s entrance was not far from a newly constructed portion of the border wall that President Trump visited last September in the Otay Mesa section of San Diego.,The New York Times,Express,U.S.,"['Drug Abuse and Traffic', 'Border Barriers', 'Smuggling', 'Immigration and Emigration', 'Organized Crime']"
Trump Calls New Fuel Economy Rule a Boon. Some Experts See Steep Costs.,2020-04-01,article,News,"The president said the measure,  announced Tuesday, would lift the economy, but outside analysts said the administration's rosy numbers did not represent an accurate accounting of its costs. ",The New York Times,Climate,Climate,"['Global Warming', 'Environment', 'Greenhouse Gas Emissions', 'United States Politics and Government', 'Fuel Efficiency', 'Regulation and Deregulation of Industry', 'United States Economy']"
Fire at Bronx Apartment Building Kills 4,2020-04-01,article,News,The cause of the three-alarm blaze remains under investigation.,The New York Times,Express,New York,"['Fires and Firefighters', 'Deaths (Fatalities)']"
"Coronavirus Spreads Amid Supply Shortages, Stay-at-Home Orders and Sobering Economics",2020-04-01,article,News,"Florida’s governor belatedly directed residents to stay home, but only after a call with President Trump. States raised new concerns about medical supplies, and fears grew about a prolonged global downturn.",The New York Times,Foreign,World,"['Coronavirus (2019-nCoV)', 'Epidemics', 'Deaths (Fatalities)']"
Retailers Under Pressure to Protect Workers,2020-04-01,article,News,Live updates on stock market and business news during the coronavirus outbreak.,The New York Times,Business,Business Day,"['United States Economy', ""Standard & Poor's 500-Stock Index"", 'Stocks and Bonds', 'Coronavirus (2019-nCoV)', 'Economic Conditions and Trends', 'International Trade and World Market']"
They Made New Lives in the U.S. The Coronavirus Sent Them Fleeing.,2020-04-01,article,News,"Expatriates, especially in New York, have abandoned the lives they built over fear of the inequalities in the American health care system.",The New York Times,Foreign,World,"['Coronavirus (2019-nCoV)', 'Health Insurance and Managed Care', 'Foreign Workers', 'Immigration and Emigration']"
Coronavirus Battle Creates a Global ‘Free-for-All’ to Find Masks,2020-04-01,article,News,"Traders scour factories and warehouses, find planes and pilots and look for buyers as hospitals and governments beg for protective gear.",The New York Times,Business,Business Day,"['Coronavirus (2019-nCoV)', 'Masks', 'Protective Clothing and Gear', 'Factories and Manufacturing', 'Medical Devices', 'Freight (Cargo)', 'International Trade and World Market', 'Shortages']"
Au Pairs Caught Between Work and a Pandemic,2020-04-01,article,News,Coronavirus fears and lockdowns on travel have complicated the lives of families who rely on the in-home child care help of au pairs.,The New York Times,Smarter Living,Well,"['Child Care', 'Quarantines', 'Coronavirus (2019-nCoV)', 'Families and Family Life', 'Visas']"
"If You Have Coronavirus Symptoms, Assume You Have the Illness, Even if You Test Negative",2020-04-01,article,News,Just because a coronavirus test says you don’t have the virus doesn’t mean you aren’t infected — or infectious.,The New York Times,Well,Well,"['Tests (Medical)', 'Coronavirus (2019-nCoV)', 'Quarantines', 'ANTIBIOTICS', 'Influenza', 'Hygiene and Cleanliness']"
"He Said Mass Via Live Stream. 8 Days Later, He Fell to the Virus.",2020-04-01,article,News,"The death of Father Jorge Ortiz-Garay, the first Catholic priest known to have died of the coronavirus in the United States, rattled a community that is unable to congregate and mourn.",The New York Times,Metro,New York,"['Coronavirus (2019-nCoV)', 'Clergy']"
Stuck Inside? Keep Walking,2020-04-01,article,News,"Taking an extra 4,000 steps a day, even if it’s around your living room, may lower your risk of dying prematurely.",The New York Times,Well,Well,"['Longevity', 'Coronavirus (2019-nCoV)', 'Heart', 'Walking', 'Quarantines', 'Exercise']"
Why Outdoor Farmers’ Markets Matter More Than Ever,2020-04-01,article,News,"Some customers prefer greenmarkets to shopping inside during the coronavirus outbreak. Last week, rules were introduced to keep the markets safe.",The New York Times,Metropolitan,New York,"[""Farmers' Markets"", 'Shopping and Retail', 'Vegetables', 'Agriculture and Farming', 'Coronavirus (2019-nCoV)']"
Too Much Time on Your Hands? Try Rearranging the Furniture,2020-04-01,article,News,"If staying at home 24/7 is making you climb the walls, here’s something productive to do with your time.",The New York Times,RealEstate,Real Estate,"['Real Estate and Housing (Residential)', 'Home Repairs and Improvements', 'Restoration and Renovation', 'Interior Design and Furnishings', 'Coronavirus (2019-nCoV)', 'Furniture']"
"As Demand Surges, Supplying and Shipping Take on New Importance",2020-04-01,article,News,Short-term needs and shortages have brought “dramatic changes” to the inner workings of transporting goods by truck.,The New York Times,SpecialSections,Business Day,"['Freight (Cargo)', 'Trucks and Trucking', 'Small Business', 'Coronavirus (2019-nCoV)', 'E-Commerce', 'Entrepreneurship']"
Coronavirus Misbehavior: When Was Licking a Toilet Ever a Good Idea?,2020-04-01,article,News,"The coronavirus pandemic has brought fear, panic and pranksters. In some cases, bad behavior has crossed the line into criminal terrorist acts.",The New York Times,National,U.S.,"['Coronavirus (2019-nCoV)', 'Hoaxes and Pranks', 'Terrorism']"
How ‘Never Bernie’ Voters Threw In With Biden and Changed the Primary,2020-04-01,article,News,"After Bernie Sanders won New Hampshire and Nevada, his campaign hit a roadblock: a wide range of Democrats who would do anything to stop him. Joe Biden became their vehicle.",The New York Times,Politics,U.S.,"['Presidential Election of 2020', 'Primaries and Caucuses', 'Voting and Voters', 'Polls and Public Opinion', 'United States Politics and Government']"
"Covid-19 Changed How the World Does Science, Together",2020-04-01,article,News,"Never before, scientists say, have so many of the world’s researchers focused so urgently on a single topic. Nearly all other research has ground to a halt.",The New York Times,Foreign,World,"['Coronavirus (2019-nCoV)', 'Research', 'Clinical Trials', 'Laboratories and Scientific Equipment', 'Vaccination and Immunization', 'Drugs (Pharmaceuticals)', 'Science and Technology', 'Academic and Scientific Journals', 'Epidemics', 'Politics and Government']"
How to Digitize Your Most Important Documents,2020-04-01,article,News,"If you have some spare time at home and want a productive project, consider creating a digital archive of your personal papers.",The New York Times,Business,Technology,"['Archives and Records', 'Scanning Devices', 'Data Storage', 'Mobile Applications', 'Smartphones', 'Computers and the Internet', 'Privacy']"
"Lewisboro, N.Y.: More Rural Than Suburban, With a Range of Housing",2020-04-01,article,News,"With more than 4,000 acres of protected land, this Westchester town is ideal for ‘forest bathing.’ But it’s only about an hour from Grand Central.",The New York Times,RealEstate,Real Estate,['Real Estate and Housing (Residential)']
Why the Global Recession Could Last a Long Time,2020-04-01,article,News,"Fears are growing that the worldwide economic downturn could be especially deep and lengthy, with recovery limited by continued anxiety.",The New York Times,Business,Business Day,"['Recession and Depression', 'United States Economy', 'Economic Conditions and Trends', 'International Trade and World Market', 'Consumer Behavior', 'Shutdowns (Institutional)', 'Quarantines', 'Coronavirus (2019-nCoV)']"
The Spiky Blob Seen Around the World,2020-04-01,article,News,How C.D.C. medical illustrators created the coronavirus pandemic’s most iconic image.,The New York Times,Science,Health,"['Coronavirus (2019-nCoV)', 'Art', 'Software', 'Media', 'your-feed-science']"
