headline,date,doc_type,type_of_material,snippet,source,news_desk,section_name,keywords
"2 Dead in Random Shooting at ‘Purge’ Movie, Officials Say",2021-08-01,article,News,"Anthony Barajas, who was popular on TikTok, and Rylee Goodrich were each shot in the head at a theater in Corona, Calif., in what the district attorney said was an unprovoked attack.",The New York Times,Express,U.S.,"['Murders, Attempted Murders and Homicides', 'Theaters (Buildings)', 'Movies']"
Gov. Greg Abbott bars mandates for vaccinations and masks in Texas.,2021-08-01,article,News,"The state’s daily average of cases has risen more than 200 percent over the past 14 days and hospitalizations are surging, but an executive order ensures that masking and vaccinations remain voluntary.",The New York Times,National,World,"['Masks', 'Coronavirus (2019-nCoV)', 'Vaccination and Immunization']"
‘We Banged on the Trunk of His Cab and Reprimanded Him’,2021-08-01,article,News,"A nice walk interrupted, a front seat solo and more reader tales of New York City in this week’s Metropolitan Diary.",The New York Times,Metropolitan,New York,[]
A Fire in Minnesota. An Arrest in Mexico. Cameras Everywhere.,2021-08-01,article,News,"One night in the Twin Cities, shortly after the killing of George Floyd, someone set a fire in a Goodwill. That led to an international search for the culprits — and it exposed a growing system of global surveillance.",The New York Times,SundayBusiness,Technology,"['Arson', 'Fugitives', 'Surveillance of Citizens by Government', 'George Floyd Protests (2020)', 'Facial Recognition Software', 'Computer Vision', 'Privacy', 'Civil Rights and Liberties']"
Even the Pope Has Prayed to Venezuela’s Beloved ‘Doctor of the Poor’,2021-08-01,article,News,"In a deeply polarized country, suffering an extreme health crisis, one of the few uniting beliefs is the admiration across the political spectrum for a doctor recently beatified by the Vatican.",The New York Times,Foreign,World,"['Hospitals', 'Medicine and Health', 'Beatifications and Canonizations', 'Coronavirus (2019-nCoV)', 'Politics and Government', 'Monuments and Memorials (Structures)']"
"With Undersea Robots, an Air Force Navigator Lost Since 1967 Is Found",2021-08-01,article,News,A recovery mission off Vietnam’s coast showed how advances in technology have given new reach to the Pentagon’s search for American war dead.,The New York Times,Foreign,World,"['United States Defense and Military Forces', 'Deaths (Fatalities)', 'Missing in Action', 'Oceans and Seas']"
Top Myanmar General Says Military Rule Will Continue Into 2023,2021-08-01,article,News,"Six months after seizing power, the junta’s leader on Sunday extended a state of emergency for two more years. Protesters said they would persevere.",The New York Times,Foreign,World,"[""Coups D'Etat and Attempted Coups D'Etat"", 'Demonstrations, Protests and Riots']"
Can Paramount+ Succeed? One Producer Hopes to Make It So.,2021-08-01,article,News,"“He’s our future,” one CBS Studios executive said of Alex Kurtzman, who has a lucrative contract to expand the “Star Trek” universe — and with it the streaming service’s audience.",The New York Times,Business,Business Day,"['Television', 'Video Recordings, Downloads and Streaming', 'Movies', 'Content Type: Personal Profile']"
‘It Looked Like an Atomic Bomb’: Surveying the Bootleg Fire’s Devastation,2021-08-01,article,News,"For one couple, Oregon’s Bootleg Fire all but erased their home, leaving little except memories and a tan chimney spire.",The New York Times,National,U.S.,['Wildfires']
Why Trust Is in Short Supply on Capitol Hill,2021-08-01,article,News,Suspicion and skepticism among lawmakers complicates deal-making.,The New York Times,Washington,U.S.,"['United States Politics and Government', 'Law and Legislation', 'Infrastructure (Public Works)']"
Riots Shatter Veneer of Coexistence in Israel’s Mixed Towns,2021-08-01,article,News,Israel’s Jewish and Palestinian communities looked past each other until violence and bloodshed forced a reckoning.,The New York Times,Foreign,World,"['Jews and Judaism', 'Palestinians', 'Arabs', 'Arson', 'ARABIC LANGUAGE', 'Demonstrations, Protests and Riots', 'Deaths (Fatalities)', 'Demolition', 'Gentrification', 'Discrimination']"
The Week in Business: Robinhood Fizzled as Silicon Valley Sizzled,2021-08-01,article,News,"The stock-trading app Robinhood had a weak stock market opening, while Silicon Valley companies continued to set new earnings records.",The New York Times,SundayBusiness,Business Day,"['Stocks and Bonds', 'United States Economy', 'Initial Public Offerings', 'Coronavirus (2019-nCoV)', 'Coronavirus Reopenings']"
Tunisia’s President Holds Forth on Freedoms After Seizing Power,2021-08-01,article,News,"“‘Why do you think that, at 67, I would start a career as a dictator?’” President Kais Saied said in a meeting with The New York Times, quoting Charles de Gaulle. He vowed to preserve hard-fought rights.",The New York Times,Foreign,World,"['Freedom of the Press', 'Politics and Government', 'News and News Media', 'Demonstrations, Protests and Riots']"
Homes That Sold for Around $1.5 Million,2021-08-01,article,News,Recent residential sales in New York City and the region.,The New York Times,RealEstate,Real Estate,['Real Estate and Housing (Residential)']
"The U.S. is wasting vaccine doses, even as cases rise and other countries suffer shortages.",2021-08-01,article,News,"A survey of data from 10 states shows that about one million doses have been lost because of spoilage, missed appointments and other problems.",The New York Times,National,U.S.,"['Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Stockpiling']"
‘X’ Marks the Spot: Officials Map a Route Out of the Pandemic,2021-08-01,article,News,Governments and organizations around the world are using geospatial data and digital mapping tools to guide their vaccination campaigns.,The New York Times,Science,Health,"['Vaccination and Immunization', 'Maps', 'Disease Rates', 'Coronavirus (2019-nCoV)', 'Geography', 'Computers and the Internet', 'Income Inequality', 'your-feed-health', 'your-feed-science']"
Russia Scoffs at Olympic Ban: ‘Let Them Listen to Classical Music’,2021-08-01,article,News,Sports fans and officials in the country have no trouble seeing through the thin fiction of a doping-related ban on their national symbols at the Tokyo Olympics.,The New York Times,Foreign,World,"['Athletics and Sports', 'Olympic Games (2020)', 'Olympic Games (2014)']"
N.I.H. director says asking for proof of vaccination is a step ‘in the right direction.’,2021-08-01,article,News,Businesses and government agencies are pushing employees to get vaccinated amid a surge in new coronavirus infections across the country.,The New York Times,Express,World,"['Vaccination and Immunization', 'Coronavirus (2019-nCoV)']"
A New Surge at a Santa Monica I.C.U.,2021-08-01,article,News,They thought the worst of the pandemic was behind them. Then a new wave of cases arrived at the I.C.U. at Providence Saint John’s Health Center.,The New York Times,National,U.S.,"['Coronavirus (2019-nCoV)', 'Emergency Medical Treatment', 'Hospitals', 'Deaths (Fatalities)', 'Disease Rates']"
"Olympic Sprinter From Belarus Seeks Refuge in Japan, Fearing Jail at Home",2021-08-01,article,News,"Belarus tried to force the sprinter, Kristina Timanovskaya, to return home after she criticized her coaches for registering her for the wrong event.",The New York Times,Foreign,World,"['Olympic Games (2020)', 'Asylum, Right of']"
