headline,date,doc_type,type_of_material,snippet,source,news_desk,section_name,keywords
Biden Defends Afghan Pullout and Declares an End to Nation-Building,2021-09-01,article,News,"The president offered a glimpse of a different American foreign policy in the post-9/11 world, one that he said would be guided more by competition with China and Russia.",The New York Times,Washington,U.S.,"['Speeches and Statements', 'Afghanistan War (2001- )', 'United States Defense and Military Forces', 'United States International Relations', 'United States Politics and Government', 'Evacuations and Evacuees']"
Developer Charged in Scheme to Bilk Matt Gaetz’s Family,2021-09-01,article,News,The Justice Department arrested the man for seeking $25 million for a presidential pardon that would have purportedly ended a sex trafficking investigation into Mr. Gaetz.,The New York Times,Washington,U.S.,"['United States Politics and Government', 'Frauds and Swindling', 'Amnesties, Commutations and Pardons']"
Biden Plays the Long Game as He Justifies the End of the ‘Forever War’,2021-09-01,article,News,"President Biden is banking on the assumption that he will be remembered for finally extricating the country from the war in Afghanistan, not for how he did it.",The New York Times,Washington,U.S.,"['Afghanistan War (2001- )', 'Evacuations and Evacuees', 'United States Defense and Military Forces', 'United States International Relations', 'United States Politics and Government', 'Speeches and Statements']"
Member of ISIS ‘Beatles’ Cell Plans to Plead Guilty in Abuse of Hostages,2021-09-01,article,News,An upcoming change-of-plea hearing for Alexanda Kotey suggests he is cooperating with prosecutors and could provide details about victims.,The New York Times,Washington,U.S.,"['Terrorism', 'United States Politics and Government', 'Kidnapping and Hostages']"
"Supreme Court, Breaking Silence, Won’t Block Texas Abortion Law",2021-09-01,article,News,"The law, which prohibits most abortions after six weeks and went into effect on Wednesday, was drafted by Texas lawmakers with the goal of frustrating efforts to challenge it in federal court.",The New York Times,Washington,U.S.,"['Abortion', 'Law and Legislation', 'Roe v Wade (Supreme Court Decision)', ""Women's Rights"", 'State Legislatures', 'Suits and Litigation (Civil)', 'Decisions and Verdicts', 'United States Politics and Government']"
Sustainability Advocates Ask: Why Demolish When You Can Deconstruct?,2021-09-01,article,News,"More cities are adopting deconstruction ordinances that require older homes to be taken down for salvageable parts, but they face challenges in trying to expand their efforts.",The New York Times,Business,Business Day,"['Building (Construction)', 'Salvage', 'Waste Materials and Disposal', 'Sustainable Living', 'Real Estate (Commercial)']"
Japan Needs a Lot More Tech Workers. Can It Find a Place for Women?,2021-09-01,article,News,"The country is pushing to digitally modernize itself, but one of the developed world’s starkest gender gaps is holding it back.",The New York Times,Business,Business Day,"['Women and Girls', 'Discrimination', 'Computers and the Internet', 'Engineering and Engineers', 'Labor and Jobs', 'Shortages', 'Politics and Government']"
An Impossible Task? New Zealand Tries to Eliminate Delta.,2021-09-01,article,News,The country is holding fast to a lockdown to contain an outbreak that began in mid-August. But it’s also acknowledging that lockdowns can’t go on forever.,The New York Times,Foreign,World,"['Coronavirus Delta Variant', 'Coronavirus (2019-nCoV)', 'Quarantines', 'Vaccination and Immunization']"
OPEC and other producers decide to keep adding to oil output.,2021-09-01,article,News,"The cartel led by Saudi Arabia, along with Russia, will keep to modest production increase negotiated in July.",The New York Times,Business,Business Day,"['Oil (Petroleum) and Gasoline', 'Production']"
The Secret to Raising a Resilient Kid,2021-09-01,article,News,The ability to bounce back is more important now than ever; here’s how to impart it,The New York Times,Parenting,Parenting,"['Parenting', 'audio-positive-happy', 'audio-neutral-informative']"
