headline,date,doc_type,type_of_material,snippet,source,news_desk,section_name,keywords
Plans for Alabama’s Deadly Prisons ‘Won’t Fix the Horrors’,2020-02-01,article,News,"A panel appointed by the governor acknowledged that its recommendations could not fully address what the Justice Department has called “severe, systemic” conditions.",The New York Times,National,U.S.,"['Prisons and Prisoners', 'Prison Guards and Corrections Officers', 'Eighth Amendment (US Constitution)', 'Politics and Government']"
Hillary Clinton Slams Bernie Sanders for Not Working to Unite Democrats in 2016,2020-02-01,article,News,"In a podcast interview on Friday, Mrs. Clinton also described the caucuses in Iowa, where Mr. Sanders leads in some polls, as “undemocratic.”",The New York Times,Politics,U.S.,"['Presidential Election of 2020', 'Presidential Election of 2016']"
Giuliani Sought Help for Client in Meeting With Ukrainian Official,2020-02-01,article,News,"As he discussed the possibility of a White House meeting for Ukraine’s president, President Trump’s lawyer asked to save the Kyiv mayor’s job.",The New York Times,Foreign,World,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'United States International Relations', 'Corruption (Institutional)', 'Foreign Aid', 'Impeachment', 'United States Defense and Military Forces']"
Former Coast Guard Officer Accused of Plotting Terrorism Is Sentenced to 13 Years,2020-02-01,article,News,"Christopher Paul Hasson, a self-described white nationalist, plotted to kill journalists, Democratic politicians, Supreme Court justices and those he described as “leftists in general,” prosecutors said.",The New York Times,Express,U.S.,"['Murders, Attempted Murders and Homicides', 'Firearms', 'Terrorism', 'Drug Abuse and Traffic']"
"Despite Evidence, Republicans Rallied Behind Trump. This Was Their Reasoning.",2020-02-01,article,News,"Several Senate Republicans said that even if President Trump did everything impeachment managers said, he should not be removed.",The New York Times,Washington,U.S.,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government', 'Presidential Election of 2020']"
Diplomat at Center of Trump Impeachment Retires From State Department,2020-02-01,article,News,"On a July 25 telephone call with the president of Ukraine, President Trump described Ambassador Yovanovitch as “bad news” and said, ominously, “She’s going to go through some things.”",The New York Times,Washington,U.S.,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Diplomatic Service, Embassies and Consulates']"
"Republicans Block Impeachment Witnesses, Clearing Path for Trump Acquittal",2020-02-01,article,News,"The narrow vote came after Republican senators said they did not need to hear more evidence, and pressed toward acquitting President Trump next week.",The New York Times,Washington,U.S.,"['Impeachment', 'Presidential Election of 2020', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government']"
"Once Skeptical, Senate Republicans Are All In on Trump",2020-02-01,article,News,"In pressing toward their preordained vote of acquittal, Senate Republicans made it clear they see their fortunes and futures intertwined with the president’s.",The New York Times,Washington,U.S.,"['Impeachment', 'Presidential Election of 2020', 'United States Politics and Government']"
Impeachment Briefing: Senate Votes to Block Witnesses,2020-02-01,article,News,Party leaders agreed on a schedule that would end the trial on Wednesday.,The New York Times,Washington,U.S.,['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry']
Nigerians in New York Worry Expanded Travel Ban Will Hurt Family Ties,2020-02-01,article,News,"“It’s just not right to just blanket ban a group of people,” said one college professor who has lived in the U.S. for about 20 years.",The New York Times,Express,U.S.,"['Immigration and Emigration', 'NIGERIAN-AMERICANS', 'Executive Orders and Memorandums', 'Refugees and Displaced Persons', 'Visas', 'United States Politics and Government']"
