,headline,date,doc_type,type_of_material,snippet,source,news_desk,section_name,keywords
0,‘Battling a Demon’: Drifter Sought Help Before Texas Church Shooting,2020-01-01,article,News,"The gunman who shot two parishioners at the West Freeway Church of Christ had come earlier looking for food and money, church leaders said.",The New York Times,National,U.S.,"['Churches (Buildings)', 'Murders, Attempted Murders and Homicides']"
1,F.D.A. Plans to Ban Most E-Cigarette Flavors but Menthol,2020-01-01,article,News,The tobacco and vaping industries and conservative allies intensively lobbied against a ban on popular flavored e-cigarettes.,The New York Times,Science,Health,"['E-Cigarettes', 'Recalls and Bans of Products', 'Menthol', 'Nicotine', 'Teenagers and Adolescence', 'Regulation and Deregulation of Industry', 'Smoking and Tobacco', 'Lobbying and Lobbyists', 'United States Politics and Government', 'your-feed-healthcare']"
2,Hong Kong Protesters Return to Streets as New Year Begins,2020-01-01,article,News,"Weeks of relative calm ended on Wednesday, as people marched in large numbers and the police deployed tear gas and pepper spray.",The New York Times,Foreign,World,"['Demonstrations, Protests and Riots', 'Hong Kong Protests (2019)', 'New Year']"
3,Kevin Spacey Accuser’s Estate Drops Sexual Assault Lawsuit,2020-01-01,article,News,"A Los Angeles County massage therapist, who died in September, had accused Mr. Spacey of groping him and making improper advances during a 2016 massage.",The New York Times,Express,U.S.,"['Sexual Harassment', 'Suits and Litigation (Civil)', 'Movies', '#MeToo Movement', 'Television', 'ACTORS AND ACTRESSES', 'Massage', 'Sex Crimes', 'Academy Awards (Oscars)', 'Golden Globes (Awards)', 'Tony Awards (Theater Awards)']"
4,Dizzying Day for Trump Caps a Year Full of Them,2020-01-01,article,News,"The president monitored a Middle East crisis from his golf club, threatened Iran and implored reporters to be “honorable” in 2020.",The New York Times,Washington,U.S.,"['United States International Relations', 'United States Politics and Government', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry']"
5,Meteor Showers in 2020 That Will Light Up Night Skies,2020-01-01,article,News,"All year long, Earth passes through streams of cosmic debris. Here’s a list of major meteor showers and how to spot one.",The New York Times,Science,Science,"['Meteors and Meteorites', 'Space and Astronomy', 'Earth', 'Solar System']"
6,"Rocket Launches, Trips to Mars and More 2020 Space and Astronomy Events",2020-01-01,article,News,"A year full of highs and lows in space just ended, and the 12 months to come  will be full of new highlights in orbit and beyond.",The New York Times,Science,Science,"['Space and Astronomy', 'Private Spaceflight', 'Rocket Science and Propulsion', 'Moon', 'Mars (Planet)', 'Sun', 'Mars 2020 (Mars Rover)', 'Satellites', 'International Space Station', 'Comets', 'Perseverance (Mars Rover)', 'Emirates Mars Mission', 'Tianwen-1 (Mars Mission)']"
7,How the U.S. Embassy in Iraq Became a Target,2020-01-01,article,News,"After months of turmoil in Iraq, U.S. airstrikes against a pro-Iranian militia drew a backlash.",The New York Times,Foreign,World,"['Politics and Government', 'United States International Relations', 'United States Defense and Military Forces', 'Defense and Military Forces', 'Demonstrations, Protests and Riots', 'Diplomatic Service, Embassies and Consulates', 'Corruption (Institutional)']"
8,10 Electric Vehicles to Watch,2020-01-01,article,News,"Sales doubled in 2019, but the industry’s tipping point — severing ties to the gas pump — still lies ahead. These cars will help make that happen.",The New York Times,Business,Business Day,"['Electric and Hybrid Vehicles', 'Automobile Service and Charging Stations', 'Batteries']"
9,Why the Fires in Australia Are So Bad,2020-01-01,article,News,"Bush fire season is nothing new to Australians, but this summer has been calamitous — and it’s far from over.",The New York Times,Foreign,World,"['Fires and Firefighters', 'Wildfires', 'Global Warming']"
10,Pro-Iranian Protesters End Siege of U.S. Embassy in Baghdad,2020-01-01,article,News,"Iran’s ability to deploy militias to attack the American Embassy, with Iraqi support, made clear how much power it wields in Iraq.",The New York Times,Foreign,World,"['Demonstrations, Protests and Riots', 'Diplomatic Service, Embassies and Consulates', 'United States Defense and Military Forces', 'United States International Relations']"
11,"Eat Better, Feel Better? Food Advice From the Year in Well",2020-01-01,article,News,"Intermittent fasting, drinking less alcohol and eating more oysters are some of the steps you can try.",The New York Times,Well,Well,"['Weight', 'Fasting', 'Diet and Nutrition']"
12,New Year’s Resolution: Be More Honest,2020-01-01,article,News,Embracing honesty changed my life. Maybe it can change yours.,The New York Times,Well,Well,[]
13,No More Excuses Not to Exercise,2020-01-01,article,News,Many people say they don’t have the time to work out. But most of us spend hours each day viewing screens.,The New York Times,Well,Well,"['Exercise', 'New Year', 'Leisure', 'Television', 'Time']"
14,New Cruise Ships to Set Sail for Antarctica,2020-01-01,article,News,Interested in the southernmost continent? Here’s a roundup of some of the new ships and itineraries planned for the bucket-list destination.,The New York Times,Travel,Travel,"['Cruises', 'Travel and Vacations', 'Eco-Tourism', 'Ice']"
15,The Tech That Will Invade Our Lives in 2020,2020-01-01,article,News,"From smart homes to ultrafast wireless speeds, here’s what to watch.",The New York Times,Business,Technology,"['5G (Wireless Communications)', 'Computers and the Internet', 'Wearable Computing', 'Mobile Applications', 'Wireless Communications', 'Driverless and Semiautonomous Vehicles', 'Home Automation and Smart Homes', 'Television', 'International Consumer Electronics Show', 'Television Sets and Media Devices', 'Innovation']"
16,Inside the Fake Igloo Rooftop Wars,2020-01-01,article,News,"Ahh, winter in New York City.",The New York Times,Metropolitan,New York,"['Bars and Nightclubs', 'Roofs']"
17,"100 Years Ago, the Booziest January Suddenly Dried Up",2020-01-01,article,News,"In 1920, Prohibition went into effect, but America partied on.",The New York Times,Photo,U.S.,"['Prohibition Era (1920-1933)', 'ALCOHOLIC BEVERAGES', 'Nineteen Hundred Twenties', 'Cocktails and Mixed Drinks']"
18,Elizabeth Warren Isn’t Talking Much About ‘Medicare for All’ Anymore,2020-01-01,article,News,"There are signs her campaign is seeking to calm fears about her health care proposal, including having small meetings with rural Iowa voters to explain her financing and transition plans.",The New York Times,Politics,U.S.,"['Presidential Election of 2020', 'Health Insurance and Managed Care', 'Primaries and Caucuses']"
19,"In a Homecoming Video Meant to Unite Campus, Almost Everyone Was White",2020-01-01,article,News,"The video was created to show off the University of Wisconsin. Instead, it set off a furor, and a reckoning over what it means to be a black student on campus.",The New York Times,National,U.S.,"['Colleges and Universities', 'Race and Ethnicity', 'Whites', 'Discrimination', 'Black People', 'Blacks', 'Video Recordings, Downloads and Streaming']"
20,"Bedminster, N.J.: Horses, Golf and Presidential Visits",2020-01-01,article,News,"Residents of the Somerset County township, who span the economic spectrum, often find the helicopters annoying. But the intrusion is usually short-lived.",The New York Times,RealEstate,Real Estate,['Real Estate and Housing (Residential)']
21,China Moves to Steady Its Slowing Economic Growth,2020-01-01,article,News,The country’s central bank will in effect inject $115 billion into the financial system despite signs the economy has been improving.,The New York Times,Business,Business Day,"['Economic Conditions and Trends', 'Politics and Government', 'International Trade and World Market', 'Production']"
22,Pete Buttigieg’s Campaign Says It Raised $24.7 Million in the Fourth Quarter,2020-01-01,article,News,"Mr. Buttigieg, who appears in strong position in Iowa with a month until the caucuses, continues to show fund-raising strength.",The New York Times,Politics,U.S.,"['Campaign Finance', 'Presidential Election of 2020', 'United States Politics and Government']"
23,"The Work Diary of Anna Bond, Whose Work Includes … Making Diaries",2020-01-01,article,News,"In an iCal era, the co-founder of Rifle Paper Co., seller of stationery and home goods, still relies on physical planners (and the drive-through).",The New York Times,SundayBusiness,Business Day,"['Design', 'Workplace Environment']"
24,Pika-Who? How Pokémon Go Confused the Canadian Military,2020-01-01,article,News,"“We should almost hire a 12-year-old to help us out with this,” an official wrote.",The New York Times,Express,World,"['Defense and Military Forces', 'Military Bases and Installations', 'Pokemon (Fictional Characters)', 'Mobile Applications', 'Augmented Reality (Computers)']"
25,What Kim Jong-un’s Latest Threats Say About His Trump Strategy,2020-01-01,article,News,"With an election and impeachment trial pending in the United States, North Korea’s leader added elements of caution in his threat of “shocking” action.",The New York Times,Foreign,World,"['United States International Relations', 'Nuclear Tests', 'Embargoes and Sanctions', 'Politics and Government', 'Nuclear Weapons']"
26,Mexico Prison Fight Leaves at Least 16 Inmates Dead,2020-01-01,article,News,Officials said several guns were found in the penitentiary.,The New York Times,Foreign,World,"['Prisons and Prisoners', 'Deaths (Fatalities)', 'Drug Cartels', 'Demonstrations, Protests and Riots']"
27,"$750,000 Homes in Mississippi, Missouri and Arizona",2020-01-01,article,News,"A brand-new cottage in Oxford, a 1967 modern-style home in Kansas City and a three-bedroom house with red-rock views in Sedona.",The New York Times,RealEstate,Real Estate,['Real Estate and Housing (Residential)']
28,Netanyahu Seeks Immunity From Israeli Corruption Charges,2020-01-01,article,News,"His request to Parliament is a rare move, and a potentially unpopular one, heading into a general election. But it could keep the Israeli leader out of court.",The New York Times,Foreign,World,"['Corruption (Institutional)', 'Immunity from Prosecution', 'Politics and Government', 'Elections']"
29,House Hunting in Spain: A Historic Estate For Under $2 Million,2020-01-01,article,News,"In Galicia, where the climate and the housing market are cooler, prices remain attractive to native and foreign buyers alike.",The New York Times,RealEstate,Real Estate,['Real Estate and Housing (Residential)']
30,Pope Francis Apologizes After Slapping Away a Clinging Pilgrim,2020-01-01,article,News,"As the pontiff greeted members of the public on New Year’s Eve, one woman grabbed his hand with both of hers. A video of the incident was shared widely online.",The New York Times,Foreign,World,[]
31,Stories About Equality that Gave Us Hope in 2019,2020-01-01,article,News,"At a time when hate crimes, inequality and white supremacy appear to be on the rise, these stories offered a little hope.",The New York Times,National,U.S.,"['Race and Ethnicity', 'Asian-Americans', 'Religion and Belief', 'Native Americans', 'Theater']"
32,"Flying Lanterns Probably Caused Zoo Fire in Germany, Police Say",2020-01-01,article,News,"The blaze burned down a primate enclosure, killing at least 30 animals. Three women told the police that they were sorry for using flying lanterns on New Year’s Eve.",The New York Times,Express,World,"['Fires and Firefighters', 'Zoos', 'Monkeys and Apes', 'Accidents and Safety']"
33,A Restaurant With No Leftovers,2020-01-01,article,News,A Brooklyn wine bar and restaurant is one of a handful of establishments in different cities that are trying to eliminate waste from their premises.,The New York Times,Business,Business Day,"['Waste Materials and Disposal', 'Recycling of Waste Materials', 'Restaurants', 'Food', 'Sustainable Living']"
34,A.I. Is Learning to Read Mammograms,2020-01-01,article,News,Computers that are trained to recognize patterns and interpret images may outperform humans at finding cancer on X-rays.,The New York Times,Science,Health,"['Breast Cancer', 'Mammography', 'Artificial Intelligence', 'Cancer', 'your-feed-healthcare']"
35,New Injection Method Makes an Old TB Vaccine Far More Powerful,2020-01-01,article,News,Giving the vaccine intravenously to monkeys provided 90% protection against tuberculosis. More testing is needed before humans can be inoculated that way.,The New York Times,Science,Health,"['Tuberculosis', 'Vaccination and Immunization', 'Monkeys and Apes', 'Lungs', 'Third World and Developing Countries', 'your-feed-healthcare', 'Children and Childhood']"
36,More People Are Dying on New York City’s Streets. What Went Wrong?,2020-01-01,article,News,More cyclists were killed last year than in any year in two decades. Safety groups are calling on Mayor Bill de Blasio to  strengthen his efforts.,The New York Times,Metro,New York,"['Traffic Accidents and Safety', 'Bicycles and Bicycling', 'Drunken and Reckless Driving', 'Deaths (Fatalities)', 'Accidents and Safety', 'Roads and Traffic']"
37,The Lesson of an Albanian Earthquake: The Balkans Aren’t Ready for the Big One,2020-01-01,article,News,"Successive governments have failed to address the risks posed by aging buildings and shoddy construction, leaving millions vulnerable.",The New York Times,Foreign,World,"['Earthquakes', 'Accidents and Safety', 'Buildings (Structures)', 'Engineering and Engineers']"
38,"90,000 Jews Gather to Pray and Defy a Wave of Hate",2020-01-01,article,News,A celebration to mark the end of a cycle of Talmudic study carried extra meaning in the wake of deadly anti-Semitic attacks.,The New York Times,Metro,New York,"['Jews and Judaism', 'Talmud', 'ANTI-SEMITISM']"
39,"Victim of Anti-Semitic Rampage Is Unlikely to Awake From Coma, Family Says",2020-01-01,article,News,"“Doctors are not optimistic,” the man’s relatives said several days after the stabbing attack at a Hanukkah celebration left him with likely brain damage.",The New York Times,Metro,New York,"['Jews and Judaism', 'ANTI-SEMITISM', 'Murders, Attempted Murders and Homicides', 'Hasidism', 'Discrimination', 'Hate Crimes']"
40,One Thing You Can Do: Make Your New Year’s Resolutions Count,2020-01-01,article,News,"Also this week, holiday fireworks in Iceland and beyond",The New York Times,Climate,Climate,['Global Warming']
41,"Don’t Drink and Drive, Republican Leader Said. Then He Was Arrested.",2020-01-01,article,News,The top Republican in the New York State Assembly said he would resign his leadership position after he admitted to driving while drunk.,The New York Times,Metro,New York,"['State Legislatures', 'Drunken and Reckless Driving', 'Tests (Sobriety)', 'New Year']"
42,He’s Not ‘Mayor Pete’ Anymore: Buttigieg’s Successor Is Sworn In,2020-01-01,article,News,"Pete Buttigieg rose to prominence, and viability as a presidential candidate, as the mayor of South Bend, Ind. Now that tenure has ended.",The New York Times,Politics,U.S.,"['Presidential Election of 2020', 'Elections, Mayors', 'United States Politics and Government']"
43,‘It’s Creepy’: Unexplained Drones Are Swarming by Night Over Colorado,2020-01-01,article,News,Sheriffs in western Nebraska and eastern Colorado say they don’t know who’s flying the drones — or why. The F.A.A. is investigating.,The New York Times,National,U.S.,['Drones (Pilotless Planes)']
44,Pompeo Cancels Ukraine Trip Amid Protests at Embassy in Iraq,2020-01-01,article,News,A meeting with President Volodymyr Zelensky of Ukraine would have been the first for a top Trump official since the impeachment inquiry began.,The New York Times,Washington,U.S.,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States International Relations', 'Demonstrations, Protests and Riots', 'Diplomatic Service, Embassies and Consulates']"
45,"In a Deadly Start to 2020, Gunfire Erupts Across America",2020-01-01,article,News,"It was a typical start to the new year in a country accustomed to gun violence, despite an overall drop in violent crime nationwide.",The New York Times,National,U.S.,"['Murders, Attempted Murders and Homicides', 'New Year']"
46,5 Cheap(ish) Things for Your Home Gym,2020-01-01,article,News,Transform a corner of your home into a spot where fitness goals can take shape and be realized.,The New York Times,Smarter Living,Smarter Living,[]
47,Coast Guard Suspends Search for 5 Missing After Fishing Boat Sinks Off Alaska,2020-01-02,article,News,"Two of seven crew members were rescued after the Scandies Rose, a 130-foot-long crab fishing vessel, sank on Tuesday night, the Coast Guard said.",The New York Times,Express,U.S.,"['Rescues', 'Maritime Accidents and Safety', 'Fishing, Commercial']"
48,"India Cold Wave Breaks Records, Shuts Schools and Makes Bad Air Worse",2020-01-02,article,News,"Across the north, including New Delhi, plunging temperatures have caused a run on shelters in a region more used to extreme heat.",The New York Times,Foreign,World,"['Weather', 'Traffic Accidents and Safety', 'Temperature', 'Homeless Persons']"
49,Head-Scarf Ban and Carbon Taxes: Austria Gets an Unlikely Government,2020-01-02,article,News,"After months of talks, Sebastian Kurz’s conservatives and progressive Greens agreed on a coalition that could be a harbinger for the rest of Europe.",The New York Times,Foreign,World,"['Elections', 'Legislatures and Parliaments', 'Politics and Government']"
50,Taiwan’s Top Military Official and 7 Others Die in Helicopter Crash,2020-01-02,article,News,The helicopter was carrying military personnel to an event in northeastern Taiwan when it went down on a wooded mountainside.,The New York Times,Foreign,World,"['Defense and Military Forces', 'Helicopters', 'Aviation Accidents, Safety and Disasters', 'Deaths (Fatalities)']"
51,Flash Floods in Indonesia Leave Hundreds of Thousands Homeless,2020-01-02,article,News,"At least 43 people have been killed in the most intense rains to strike Jakarta, the country’s capital, since record keeping began.",The New York Times,Foreign,World,"['Floods', 'New Year', 'Rain']"
52,New Art Museum Adds to Sarasota’s Cultural Heritage,2020-01-02,article,News,"Residents, staff and donors hope the Sarasota Art Museum of Ringling College will provide a cross section of contemporary art as layered as Sarasota itself.",The New York Times,Travel,Travel,"['Art', 'Museums']"
53,"Denying a Professor Tenure, Harvard Sparks a Debate Over Ethnic Studies",2020-01-02,article,News,"Some students of color say that even as the university defends its use of race in admissions, it devalues their experiences and fails to retain professors who support them.",The New York Times,National,U.S.,"['Colleges and Universities', 'Tenure', 'Hispanic-Americans', 'Demonstrations, Protests and Riots', 'ADMISSIONS STANDARDS', 'AFFIRMATIVE ACTION', 'Race and Ethnicity', 'Hiring and Promotion', 'Minorities']"
54,36 Hours in Santo Domingo,2020-01-02,article,News,"Away from the seaside resorts, the capital of the Dominican Republic is alive and in transition, with music, dance, delicious food and local crafts around every corner.",The New York Times,Travel,Travel,['Travel and Vacations']
55,This Union Defeated Airbnb. Now It’s Taking Aim at a New Target.,2020-01-02,article,News,The hotel workers’ union has become one of the most feared political forces in New York.,The New York Times,Metro,New York,"['Hotels and Travel Lodgings', 'Organized Labor', 'Campaign Finance', 'Lobbying and Lobbyists', 'Endorsements']"
56,"It Looks Like Health Insurance, but It’s Not. ‘Just Trust God,’ Buyers Are Told.",2020-01-02,article,News,"Some state regulators are scrutinizing nonprofit Christian cost-sharing ministries that enroll Americans struggling to pay for medical care, but aren’t legally bound to cover their members’ claims.",The New York Times,Science,Health,"['Health Insurance and Managed Care', 'Christians and Christianity', 'Nonprofit Organizations', 'Religion-State Relations', 'Regulation and Deregulation of Industry', 'Patient Protection and Affordable Care Act (2010)', 'United States Politics and Government', 'your-feed-healthcare']"
57,"Andrew Yang Raised $16.5 Million in the Last 3 Months, His Campaign Says",2020-01-02,article,News,Donations to Mr. Yang in the fourth quarter of 2019 were his highest in any such period and put him among the top fund-raisers in the Democratic presidential field.,The New York Times,Politics,U.S.,"['Presidential Election of 2020', 'Campaign Finance']"
58,Turkey Questions Pilots About Carlos Ghosn’s Escape From Japan,2020-01-02,article,News,"Mr. Ghosn, the former Nissan and Renault chief, fled Japan to avoid trial and arrived in Lebanon this week.",The New York Times,Business,Business Day,"['Fugitives', 'Extradition']"
59,"Bernie Sanders Raised $34.5 Million in the Fourth Quarter, Pacing the Field",2020-01-02,article,News,Mr. Sanders’s total is the largest three-month haul disclosed by any candidate so far in the Democratic primary race.,The New York Times,Politics,U.S.,"['Campaign Finance', 'Presidential Election of 2020', 'United States Politics and Government']"
60,Mustang From Famed ‘Bullitt’ Car Chase Heads to Auction,2020-01-02,article,News,"The owner of Steve McQueen’s “hero car” figures the price could approach $5 million, or at least far more than the $3,500 his father paid in 1974.",The New York Times,Business,Business Day,"['Automobiles', 'Antique and Classic Cars', 'Auctions']"
61,"Turkey, Flexing Its Muscles, Will Send Troops to Libya",2020-01-02,article,News,"A new wrinkle in the battle for an oil-rich country, and a signal from President Erdogan that Turkey aims to be a power broker in a volatile region.",The New York Times,Foreign,World,"['Politics and Government', 'Defense and Military Forces', 'Oil (Petroleum) and Gasoline']"
62,How Did Carlos Ghosn Flee Japan?,2020-01-02,article,News,Emerging details suggest that the former Nissan and Renault chairman owes his arrival in Lebanon to an escape plan on a grand scale.,The New York Times,Business,Business Day,[]
63,"Homes for Sale in Brooklyn, Manhattan and Queens",2020-01-02,article,News,"This week’s properties are in the Flatiron district, Forest Hills, Queens, and Greenpoint, Brooklyn.",The New York Times,RealEstate,Real Estate,['Real Estate and Housing (Residential)']
64,Homes for Sale in New York and Connecticut,2020-01-02,article,News,"This week’s properties are five-bedroom homes in Huntington Bay, N.Y., and Ridgefield, Conn.",The New York Times,RealEstate,Real Estate,['Real Estate and Housing (Residential)']
65,Julián Castro Ends Presidential Run: ‘It Simply Isn’t Our Time’,2020-01-02,article,News,"Mr. Castro, the former housing secretary and mayor of San Antonio, was the only Latino candidate in the race. He championed progressive policies but did not find his footing in polls.",The New York Times,Politics,U.S.,"['Presidential Election of 2020', 'Primaries and Caucuses', 'United States Politics and Government']"
66,Where’s the Best Place to Buy a Winter Vacation Rental?,2020-01-02,article,News,Here are some good bets for maximum profit.,The New York Times,RealEstate,Real Estate,['Renting and Leasing (Real Estate)']
67,‘It’s Going to Be a Blast Furnace’: Australia Fires Intensify,2020-01-02,article,News,"Calling for evacuations along the southeastern coast, officials said the next few days would be among the worst yet in an already catastrophic fire season.",The New York Times,Foreign,World,"['Wildfires', 'Evacuations and Evacuees', 'Politics and Government']"
68,Israeli Supreme Court Removes an Obstacle for Netanyahu,2020-01-02,article,News,The court was asked to consider whether a prime ministerial candidate charged with serious crimes can form a new government. It ruled that the petition was premature.,The New York Times,Foreign,World,"['Politics and Government', 'Courts and the Judiciary', 'Legislatures and Parliaments', 'Immunity from Prosecution']"
69,At SoftBank’s Jewel in India: ‘Toxic’ Culture and Troubling Incidents,2020-01-02,article,News,"Oyo aims to be the world’s biggest hotel chain. But its growth was fueled by questionable practices, employees said.",The New York Times,Business,Technology,"['Budget Travel', 'Hotels and Travel Lodgings', 'Venture Capital', 'Corporate Social Responsibility']"
70,Apple Deal Returns Former HBO Boss Richard Plepler to Spotlight,2020-01-02,article,News,"Ten months after he chafed under AT&T’s takeover of the network, he reboots himself as a producer in a five-year deal with Apple TV Plus.",The New York Times,Business,Business Day,"['Television', 'Movies', 'Appointments and Executive Changes']"
71,"Storm of Tumbleweeds Buries Cars, Terrifies Drivers and Astounds Police",2020-01-02,article,News,"On a flat stretch of highway in Washington State, tumbleweeds were piled as high as 30 feet across an area three football fields long.",The New York Times,Express,U.S.,"['Invasive Species', 'Roads and Traffic']"
72,Joe Biden Says He Raised $22.7 Million in the Fourth Quarter,2020-01-02,article,News,"Mr. Biden’s total, while far short of the haul that Senator Bernie Sanders announced earlier Thursday, was an improvement from the previous quarter.",The New York Times,Politics,U.S.,"['Campaign Finance', 'Presidential Election of 2020', 'United States Politics and Government']"
73,"With Partial Flavor Ban, Trump Splits the Difference on Vaping",2020-01-02,article,News,"An initiative to reduce the use of e-cigarettes by teenagers led to compromise. Sales of most flavored pods popular with youth will be forbidden, but flavored liquid nicotine for open tank devices will be exempt.",The New York Times,Science,Health,"['E-Cigarettes', 'Recalls and Bans of Products', 'Teenagers and Adolescence', 'Smoking and Tobacco', 'Menthol', 'Lobbying and Lobbyists', 'Regulation and Deregulation of Industry', 'United States Politics and Government', 'your-feed-healthcare']"
74,"Carlos Ghosn Flirted With Hollywood, Then Delivered a Plot Twist",2020-01-02,article,News,The fallen auto titan held early discussions with a movie producer before his audacious escape. The film’s villain: Japanese justice.,The New York Times,Business,Business Day,"['Automobiles', 'Fugitives', 'Securities and Commodities Violations']"
75,‘Gut Feelings’ Are Driving the Markets,2020-01-02,article,News,"Valuations are high, but investors are still willing to hold, because of a visceral emotion driven by President Trump.",The New York Times,SundayBusiness,Business Day,"['Stocks and Bonds', 'United States Economy', 'United States Politics and Government']"
76,A ‘Sir’ With Blue-Collar Roots: Britain’s Labour Race Has an Unlikely Leader,2020-01-02,article,News,"A party that lost many of its working-class voters in last month’s election may turn, unexpectedly, to a London lawyer to be its next leader, an early poll shows.",The New York Times,Foreign,World,"['Great Britain Withdrawal from EU (Brexit)', 'Politics and Government']"
77,"After Embassy Attack, U.S. Is Prepared to Pre-emptively Strike Militias in Iraq",2020-01-02,article,News,"Defense Secretary Mark T. Esper, who issued the warning after an American contractor was killed by an Iranian-supported militia, said, “The game has changed.”",The New York Times,Washington,World,"['United States Defense and Military Forces', 'Diplomatic Service, Embassies and Consulates']"
78,Christianity Today Editor Laments ‘Ethical Naïveté’ of Trump Backers,2020-01-02,article,News,"Mark Galli, who is retiring, was overwhelmed by the vocal criticism and quiet praise after his editorial in a prominent evangelical magazine called for President Trump’s ouster.",The New York Times,National,U.S.,"['Christians and Christianity', 'Evangelical Movement', 'United States Politics and Government']"
79,"As India Violence Gets Worse, Police Are Accused of Abusing Muslims",2020-01-02,article,News,"As demonstrations over a citizenship law sweep India, more accounts are emerging of mistreatment and harsh tactics by police and state officials.",The New York Times,Foreign,World,"['Muslims and Islam', 'Discrimination', 'Police Brutality, Misconduct and Shootings', 'Demonstrations, Protests and Riots', 'Citizenship and Naturalization', 'Hinduism', 'Politics and Government']"
80,Texas Judge Rules That Hospital Can Take Baby Off Life Support,2020-01-02,article,News,"The case, involving an 11-month-old girl born with a heart defect, has become a rallying point for conservatives. The child’s mother plans to appeal.",The New York Times,Express,U.S.,"['Life-Sustaining Support Systems, Withdrawal Of', 'Hospitals', 'Decisions and Verdicts']"
81,Man Captured on Doorbell Camera Footage Confessing to Murder,2020-01-02,article,News,"“I killed Jennifer,” the man said before his arrest, according to the authorities. The episode is one of several recent examples of doorbell cameras yielding footage that becomes useful to the local authorities.",The New York Times,Express,U.S.,"['Security and Warning Systems', 'Murders, Attempted Murders and Homicides', 'Cameras', 'Privacy']"
82,Video Showing Sexual Assault by Mob in Egypt Draws Outrage,2020-01-02,article,News,"The police said they were investigating the video, which showed a group of men swarming around a woman, grabbing at her as she screamed.",The New York Times,Express,World,"['Sexual Harassment', ""Women's Rights"", 'Sex Crimes', 'Demonstrations, Protests and Riots', 'Women and Girls']"
83,Which Subway Seat Is Best? Your Answer Is Obviously Wrong,2020-01-02,article,News,A viral tweet about picking a seat on New York’s subway prompted a spirited debate over which spot is prized.,The New York Times,Metro,New York,"['Subways', 'Transit Systems']"
84,The Only Safe Bet in 2020,2020-01-02,article,News,Brace yourselves for the political hurricane that’s about to make landfall.,The New York Times,Politics,U.S.,['Presidential Election of 2020']
85,More Than 200 Republicans Urge Supreme Court to Weigh Overturning Roe v. Wade,2020-01-03,article,News,Two House Democrats joined them in signing a legal brief in a case that is certain to inject the divisive politics of abortion into the 2020 presidential race.,The New York Times,Washington,U.S.,"['ABORTION', 'Roe v Wade (Supreme Court Decision)', 'Law and Legislation', 'Birth Control and Family Planning', 'United States Politics and Government']"
86,Cash-Rich Democrats Brace for Long Fight as Trump Hoards Money,2020-01-03,article,News,Fund-raising numbers for the fourth quarter of 2019 show an unusually high number of viable campaigns. Waiting for the winner: President Trump and his huge war chest.,The New York Times,Politics,U.S.,"['Campaign Finance', 'Presidential Election of 2020', 'Primaries and Caucuses', 'United States Politics and Government']"
87,Tessa Majors Murder: 13-Year-Old Suspect Must Remain in Custody,2020-01-03,article,News,"The teenager, accused in the death of the Barnard student, exhibited troubling behavior at a detention center, New York City lawyers said.",The New York Times,Metro,New York,"['Murders, Attempted Murders and Homicides']"
88,Suspect in Anti-Semitic Rampage in Monsey Is Eyed in Earlier Attack,2020-01-03,article,News,"In the attack in November, a Hasidic Jewish man was stabbed and slashed as he walked to synagogue in a New York suburb.",The New York Times,Metro,New York,"['ANTI-SEMITISM', 'Murders, Attempted Murders and Homicides', 'Hate Crimes']"
89,"U.S. Strike in Iraq Kills Qassim Suleimani, Commander of Iranian Forces",2020-01-03,article,News,"Suleimani was planning attacks on Americans across the region, leading to an airstrike in Baghdad, the Pentagon statement said. Iran’s supreme leader called for vengeance.",The New York Times,Washington,World,"['Defense and Military Forces', 'United States International Relations', 'United States Defense and Military Forces', 'Targeted Killings', 'Drones (Pilotless Planes)']"
90,Military Police Can Now Carry Personal Firearms on Marine Corps Bases,2020-01-03,article,News,"The Marine Corps said it expedited the policy change after recent fatal shootings at Navy installations in Pensacola, Fla., and at Pearl Harbor in Hawaii.",The New York Times,Express,U.S.,"['Naval Air Station Pensacola Shooting (2019)', 'United States Defense and Military Forces', 'Gun Control', 'Murders, Attempted Murders and Homicides', 'Mass Shootings']"
91,Biden Warns About Disinformation After Misleading Video,2020-01-03,article,News,"A day after a deceptively edited video of him spread on social media, Joseph R. Biden Jr. cautioned that the Democratic nominee would be vulnerable to false information in the general election.",The New York Times,Politics,U.S.,"['Presidential Election of 2020', 'Video Recordings, Downloads and Streaming', 'Rumors and Misinformation', 'Social Media']"
92,Judge Awards Nearly $13 Million to Women Who Say They Were Exploited by Porn Producers,2020-01-03,article,News,The ruling capped a three-month civil trial that exposed the bait-and-switch tactics and false promises deployed as part of a scheme to induce young women to shoot a pornographic video.,The New York Times,Express,U.S.,"['Frauds and Swindling', 'Sex Crimes', 'Pornography', 'Video Recordings, Downloads and Streaming']"
93,Killing of Iranian Commander Is Met With Criticism and Tough Talk,2020-01-03,article,News,Mixed reaction to the news that Maj. Gen. Qassim Suleimani died in a targeted strike by the United States at Baghdad International Airport.,The New York Times,Express,World,"['Targeted Killings', 'United States Politics and Government', 'Defense and Military Forces', 'Terrorism', 'Oil (Petroleum) and Gasoline', 'United States Defense and Military Forces']"
